first stage decision,expected second stage value,feasibility
[1 0 0 0 0 0 1 1 1 0],0.0,0
[0 1 1 0 1 0 1 0 0 0],26.967992208628534,1
[1 0 0 1 0 1 1 0 1 1],20.07964350643193,1
[1 0 1 1 1 1 0 1 1 0],21.949766634828457,1
[1 1 1 1 1 0 1 0 1 0],18.48687345933349,1
[1 0 1 0 0 0 1 1 0 1],24.77386061076987,1
[0 0 0 1 0 0 0 1 0 0],0.0,0
[0 1 0 0 0 1 0 0 0 1],29.790409578829195,1
[1 1 0 0 0 0 0 1 1 0],28.928465487359155,1
[0 1 1 1 1 1 1 1 0 0],24.043268790699212,1
[1 0 0 1 1 1 0 1 1 0],24.493727748229297,1
[1 1 1 1 1 1 0 1 0 0],25.83753863690381,1
[0 1 1 0 1 0 0 1 1 0],24.893361977720073,1
[1 0 1 1 0 0 0 1 1 1],22.845820264266955,1
[0 0 0 1 0 1 1 1 1 1],21.452695611117786,1
[1 0 0 0 1 0 0 1 0 1],31.312312546552242,1
[1 1 0 0 1 0 1 0 0 0],30.57939588931847,1
[0 0 0 1 0 1 1 1 1 0],22.725295516664346,1
[0 1 0 1 1 0 0 0 0 0],32.367253076804374,1
[0 0 0 0 1 0 1 1 1 1],24.692099425230918,1
[1 0 0 0 1 0 0 0 0 0],0.0,0
[1 0 0 1 1 0 1 1 0 0],26.83609535304484,1
[1 1 0 0 0 0 1 1 0 0],30.029090084009106,1
[0 0 1 1 1 0 0 1 1 1],24.315898449547095,1
[1 0 1 0 1 1 1 1 1 1],17.255621844872376,1
[0 1 0 1 0 1 0 1 0 0],30.330781277405872,1
[0 1 1 1 1 1 1 1 1 1],17.993996184673065,1
[0 1 0 1 0 0 0 0 1 0],26.86854299109796,1
[0 1 1 1 0 0 1 0 0 0],25.401236568982874,1
[1 1 1 0 0 0 1 1 0 1],21.606273045655275,1
[1 0 1 0 1 1 0 1 0 1],25.063789545480105,1
[1 0 0 0 0 1 1 0 1 1],20.07964350643193,1
[0 0 1 1 0 0 1 1 1 1],20.62283230578658,1
[0 0 0 1 1 1 0 1 0 1],30.318095591087275,1
[0 0 1 0 0 1 0 1 1 0],27.37282565132157,1
[1 1 1 0 1 0 0 1 1 0],23.543016291288666,1
[0 0 0 1 0 0 1 0 1 0],25.45495528769583,1
[1 0 0 0 0 1 1 1 1 0],24.96243368385081,1
[1 0 0 0 1 1 1 0 0 0],30.760094108287394,1
[1 1 0 1 1 1 1 1 1 1],19.500282629621758,1
[0 0 0 1 1 1 0 1 0 0],31.760158649725078,1
[1 1 1 1 0 0 1 0 0 1],21.78012117547603,1
[1 1 0 1 1 1 1 0 0 0],26.054053264420777,1
[1 1 0 1 1 0 0 0 1 0],25.477690863201097,1
[1 0 0 1 1 1 0 0 0 1],28.147989441962608,1
[0 0 0 1 0 1 1 1 0 0],28.336321416772996,1
[0 1 1 0 1 0 0 0 0 1],27.659154896238725,1
[0 1 0 0 0 0 0 1 0 1],29.538539812054523,1
[0 1 0 1 1 1 0 0 1 0],26.216907052621764,1
[1 0 1 1 0 0 1 1 1 1],17.8557017405851,1
[1 1 0 1 1 0 0 1 1 0],24.47971532357839,1
[1 0 1 0 1 0 0 0 0 0],34.33124642941586,1
[0 1 0 0 0 1 1 0 0 0],35.43513722643819,1
[0 0 1 1 1 1 1 0 0 0],26.41684046930058,1
[0 0 0 1 1 0 1 1 1 0],24.271014735108913,1
[1 1 1 1 0 0 0 0 1 0],21.97626065164301,1
[0 0 1 1 1 0 0 1 0 1],33.63484225841229,1
[0 0 1 0 0 1 0 1 0 1],27.628495448758905,1
[1 0 1 0 0 0 1 0 0 0],0.0,0
[0 1 1 0 1 0 1 1 1 0],21.444481226876007,1
[0 1 0 1 0 1 0 0 0 1],29.790409578829195,1
[1 1 0 0 1 1 0 1 1 0],25.788518925658032,1
[0 1 0 0 0 0 0 0 0 0],0.0,0
[0 0 0 1 1 0 0 0 0 0],42.29931658250115,1
[1 1 1 1 0 0 1 1 0 0],22.878872951201828,1
[1 0 1 0 0 0 0 1 0 1],32.17758383387304,1
[0 1 1 1 0 0 0 1 1 0],23.326606338074413,1
[1 0 1 0 1 0 1 1 0 0],27.046087205941994,1
[0 0 1 1 0 1 0 1 0 0],28.901095354305465,1
[0 0 0 0 0 1 0 1 1 0],30.0795739849923,1
[0 0 1 1 1 0 0 0 1 1],24.315898449547095,1
[0 1 0 1 1 0 1 1 0 0],27.452523582107098,1
[0 1 1 1 1 0 1 0 0 1],24.128636663436325,1
[0 1 1 0 0 0 0 1 0 1],26.87118557447291,1
[0 1 1 0 0 1 0 0 1 0],26.725504474042403,1
[0 1 1 0 1 0 1 1 0 1],23.422304823628853,1
[1 0 1 1 0 1 0 0 0 1],25.323967780403056,1
[1 0 0 0 0 0 0 1 0 1],0.0,0
[0 1 0 1 0 1 1 1 1 1],20.5379572980739,1
[0 0 0 0 1 1 1 1 1 0],24.292051156310002,1
[1 1 1 0 1 0 1 0 0 1],21.78012117547603,1
[1 0 0 0 1 1 1 1 1 0],22.638938503465432,1
[0 0 0 1 1 0 1 0 1 1],23.318981819186526,1
[1 0 1 1 1 0 1 0 1 0],19.02638204952101,1
[1 1 1 0 0 1 0 0 1 1],20.405202267064976,1
[0 1 1 0 1 1 0 0 0 0],29.805743462461855,1
[0 1 0 0 1 1 0 1 0 1],28.927410315043783,1
[1 1 0 0 0 0 0 1 1 1],23.247621859497293,1
[0 1 0 1 0 1 0 0 1 1],24.266898597076672,1
[1 1 0 0 1 1 0 0 0 1],27.55292555971975,1
[1 1 1 1 1 0 1 1 1 1],17.25477999525239,1
[1 0 0 0 1 0 1 0 0 1],30.146761053069163,1
[1 1 1 0 0 0 0 1 0 1],25.055153796499333,1
[1 1 1 0 0 0 1 0 0 1],21.78012117547603,1
[0 0 1 0 0 0 1 0 0 0],0.0,0
[1 0 0 0 0 0 1 1 0 0],0.0,0
[0 1 0 0 1 0 0 1 1 0],27.437323091120913,1
[1 0 1 1 0 1 1 1 1 1],17.255621844872376,1
[1 0 0 1 1 1 0 0 1 0],25.491703287852,1
[1 1 0 1 1 0 1 0 1 1],20.07880165681194,1
[0 1 0 1 0 0 1 1 0 0],27.493030023572555,1
[1 0 0 0 0 1 1 1 0 1],24.205354340609944,1
[1 0 0 0 1 0 0 1 1 1],24.32678650645445,1
[1 1 0 1 0 1 0 0 0 1],27.55292555971975,1
[1 0 1 1 1 1 1 1 0 0],22.83383168368622,1
[0 1 0 0 0 1 0 0 1 0],32.29753047236163,1
[1 1 0 1 1 0 0 1 0 1],27.654998736955427,1
[0 0 0 1 0 1 0 1 0 0],31.80066509119053,1
[1 1 1 0 0 1 1 0 0 0],26.56265068584142,1
[0 1 0 0 0 0 1 0 1 0],30.45386529388591,1
[0 1 1 1 1 0 0 1 1 1],22.054006432527864,1
[0 0 1 0 0 0 1 0 0 1],42.415881777652444,1
[1 1 0 1 1 1 1 0 1 1],19.78034317778047,1
[0 1 1 0 1 1 0 1 1 1],21.442876935517123,1
[1 0 1 1 0 1 0 1 1 0],21.990273076293917,1
[1 1 0 0 0 0 1 0 1 0],29.016595759988434,1
[1 1 0 0 0 0 1 0 0 1],24.604142837035585,1
[1 0 1 1 1 1 0 0 1 1],20.717673170747354,1
[1 0 0 0 1 0 0 0 0 1],34.71919914495211,1
[0 1 0 1 1 0 0 1 0 0],30.903373259413645,1
[1 0 1 0 0 0 1 0 1 0],23.686752106323272,1
[1 0 0 0 1 0 1 1 0 0],0.0,0
[1 0 1 1 1 0 1 0 1 1],17.794288585439908,1
[0 1 1 0 0 1 1 0 0 1],23.51750716642558,1
[0 1 0 0 0 0 0 1 1 0],30.332705127051433,1
[0 0 1 0 0 1 1 0 1 1],18.908734497716953,1
[0 0 1 1 0 1 1 0 0 1],25.18474700521948,1
[1 1 0 0 0 1 0 1 0 0],32.42628322616482,1
[0 1 1 0 0 1 1 1 0 1],22.811175326618116,1
[0 0 1 1 0 1 0 0 1 0],23.643385729138487,1
[0 0 0 1 0 1 0 0 1 0],27.18532238216203,1
[1 0 1 0 0 1 0 1 0 1],25.063789545480105,1
[1 0 1 0 1 0 1 0 1 0],20.86282648697746,1
[1 0 1 1 1 0 0 1 0 1],26.570505011218877,1
[0 1 1 0 0 1 1 1 0 0],27.90675410016329,1
[0 0 0 0 1 0 1 1 0 0],0.0,0
[1 1 1 1 0 0 1 0 0 0],23.052721081022586,1
[1 0 1 0 1 1 1 1 0 0],24.44109376479733,1
[1 1 0 1 1 1 0 0 1 0],25.17923238416962,1
[1 1 0 0 1 1 0 0 0 0],33.47825622610697,1
[1 1 1 1 1 1 0 0 1 0],21.637295731146075,1
[0 0 1 0 1 1 0 1 1 1],22.370785823591923,1
[1 0 0 1 1 0 0 1 0 0],30.720518340847793,1
[0 1 0 1 1 1 0 1 1 1],23.986838048917967,1
[1 0 1 0 0 0 0 0 0 0],0.0,0
[0 0 1 0 0 0 1 1 0 0],0.0,0
[1 0 0 0 1 1 0 0 1 0],28.74157744320096,1
[1 0 1 1 0 1 0 0 1 1],20.717673170747354,1
[0 1 0 1 1 1 1 1 1 1],20.5379572980739,1
[0 0 0 0 1 0 0 0 0 0],0.0,0
[0 0 0 1 0 1 0 0 0 0],33.49212850142514,1
[0 1 0 0 1 1 1 1 1 0],23.37731284326611,1
[0 1 0 1 1 0 0 1 1 1],24.5979675459287,1
[1 1 1 1 0 1 1 1 0 1],21.15656442197865,1
[1 1 1 0 1 0 1 1 0 1],21.606273045655275,1
[1 0 1 0 1 1 0 0 1 1],20.717673170747354,1
[1 0 1 1 0 1 0 1 0 0],26.336389451026655,1
[1 0 1 1 1 0 0 1 1 0],22.847320341441133,1
[1 1 1 1 1 0 1 0 0 0],23.01221463955713,1
[0 1 1 0 1 1 1 1 1 1],17.993996184673065,1
[0 0 0 1 1 0 1 1 0 0],33.5140339159085,1
[0 1 1 1 0 0 1 1 0 1],23.422304823628853,1
[0 0 0 0 0 1 1 0 0 1],28.008768666779037,1
[0 1 1 0 1 1 0 1 0 1],26.260056077462174,1
[1 0 0 1 1 1 0 0 0 0],30.097997897507703,1
[1 0 0 1 0 0 0 1 0 1],31.1832305342762,1
[0 1 0 0 0 1 1 1 0 0],30.983694113563296,1
[1 0 0 0 0 1 0 1 1 0],28.424485009725792,1
[0 0 1 0 0 1 1 1 1 0],23.910774325446585,1
[0 0 0 0 0 0 0 1 0 0],0.0,0
[1 1 1 0 1 1 1 1 1 1],16.956321516220918,1
[1 0 1 1 1 0 1 0 0 1],23.620915626245182,1
[1 1 1 1 0 1 0 1 1 1],20.405202267064976,1
[1 1 0 1 1 0 1 1 1 1],19.798741108653232,1
[0 0 0 0 1 1 1 1 1 1],21.452695611117786,1
[1 1 1 1 1 1 1 1 1 0],18.188414980302017,1
[0 1 0 0 1 0 0 1 0 0],32.54916527564784,1
[1 0 0 0 1 0 0 1 1 0],27.172265168644127,1
[1 0 0 0 1 0 0 1 0 0],0.0,0
[0 1 1 1 0 0 1 1 1 0],19.87772558723036,1
[1 0 1 1 0 1 0 1 0 1],25.063789545480105,1
[0 0 1 0 1 0 1 1 1 1],21.91451085058369,1
[0 1 0 1 1 1 0 0 0 1],29.790409578829195,1
[1 1 1 0 1 1 1 0 1 0],19.795677061413127,1
[0 0 0 0 0 1 0 1 1 1],24.914746936992767,1
[0 0 1 0 0 1 1 1 0 0],29.2919884003018,1
[0 0 0 1 1 1 1 1 0 1],26.8560442652123,1
[1 1 1 0 0 1 0 0 0 1],24.728903898160198,1
[0 0 0 0 1 0 0 1 1 0],32.02336963191562,1
[0 0 0 0 0 1 0 0 0 1],31.678240080163743,1
[1 1 0 0 1 0 1 0 1 0],25.27868426770599,1
[1 0 0 0 1 1 1 0 1 1],20.07964350643193,1
[0 0 0 1 1 0 0 1 0 1],36.45401184903055,1
[0 1 0 1 1 0 1 0 0 0],28.902666780540965,1
[1 1 0 1 1 0 0 1 0 0],28.913262209295958,1
[0 1 1 1 0 1 0 0 0 0],28.2389878228162,1
[0 0 1 1 1 1 0 0 1 0],23.602879287673026,1
[1 1 0 1 1 1 1 0 1 0],21.730351633325558,1
[0 0 0 0 1 0 0 1 0 1],42.115930678308885,1
[1 1 1 1 1 0 0 0 1 1],20.703660746096453,1
[0 1 1 1 0 1 0 0 1 0],22.715476841063673,1
[1 1 1 1 0 1 0 1 0 0],25.87804507836927,1
[0 1 0 0 1 0 0 0 0 1],30.483176557798277,1
[1 1 1 0 0 0 1 0 1 1],17.25477999525239,1
[1 1 1 1 1 0 0 0 1 0],21.93575421017755,1
[1 0 1 0 1 1 0 1 1 1],20.717673170747354,1
[1 0 0 0 0 0 0 0 0 0],0.0,0
[1 1 1 1 1 1 0 1 0 1],24.605445172822716,1
[1 0 0 0 1 1 1 0 1 0],25.27952611732598,1
[1 1 0 0 1 0 1 0 1 1],20.07880165681194,1
[0 0 0 0 0 0 0 0 1 1],35.45848381450025,1
[0 1 1 1 0 1 1 1 0 0],24.083775232164665,1
[0 1 1 1 0 0 1 1 1 1],18.6051256816838,1
[0 1 1 1 0 1 0 1 0 0],27.53265598300873,1
[0 1 1 1 1 1 0 0 1 0],22.674970399598227,1
[0 0 1 1 1 1 0 0 0 0],29.907989753580853,1
[1 1 0 1 1 0 1 1 0 0],25.464381458451896,1
[0 0 0 1 1 1 0 0 0 0],33.449926406604405,1
