first stage decision,expected second stage value
"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",5154.299211782602
"(1, 0, 0, 0, 0, 0, 0, 1, 0, 0)",1376.1685645505759
"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",14902.969399670594
"(0, 0, 0, 1, 0, 0, 0, 1, 0, 0)",25432.753865369523
"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",6838.787987670586
"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",41.28910903849962
"(0, 0, 1, 0, 0, 0, 0, 1, 0, 0)",18252.33686195469
"(1, 0, 0, 0, 0, 0, 0, 0, 1, 0)",11756.150541059435
"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",4645.720873858879
"(0, 1, 0, 0, 0, 0, 0, 1, 0, 0)",42.49384257873639
"(0, 0, 1, 0, 0, 0, 0, 1, 1, 0)",40.46238239965631
"(1, 0, 0, 0, 0, 1, 0, 0, 0, 0)",11845.152585059277
"(0, 0, 0, 1, 0, 0, 0, 1, 1, 0)",148.4151470607149
"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",41.17600516151561
"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",33847.41800694084
"(0, 1, 0, 0, 0, 0, 0, 0, 1, 0)",5356.618816455504
"(0, 1, 0, 1, 0, 0, 0, 1, 0, 0)",72.97428160947386
"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",607.6327065394039
"(0, 0, 0, 1, 0, 1, 0, 1, 0, 0)",182.66256697402522
"(0, 1, 0, 0, 0, 0, 1, 1, 0, 0)",42.49306733361225
