first stage decision,expected second stage value,feasibility
[1 0 0 0 0 0 1 1 1 0],30.758415578408318,1
[0 1 1 0 1 0 1 0 0 0],27.692449638908478,1
[1 0 0 1 0 1 1 0 1 1],26.035686106414637,1
[1 0 1 1 1 1 0 1 1 0],21.442577543790463,1
[1 1 1 1 1 0 1 0 1 0],20.726851011670526,1
[1 0 1 0 0 0 1 1 0 1],32.98428541326098,1
[0 0 0 1 0 0 0 1 0 0],33.237700962957504,1
[0 1 0 0 0 1 0 0 0 1],26.598317709475065,1
[1 1 0 0 0 0 0 1 1 0],26.725700152437007,1
[0 1 1 1 1 1 1 1 0 0],20.20188345984675,1
[1 0 0 1 1 1 0 1 1 0],21.442577543790463,1
[1 1 1 1 1 1 0 1 0 0],20.567361846445834,1
[0 1 1 0 1 0 0 1 1 0],25.455893473556824,1
[1 0 1 1 0 0 0 1 1 1],22.738437069515804,1
[0 0 0 1 0 1 1 1 1 1],30.44150028641759,1
[1 0 0 0 1 0 0 1 0 1],28.336274028118805,1
[1 1 0 0 1 0 1 0 0 0],28.148344322898748,1
[0 0 0 1 0 1 1 1 1 0],30.662934102354956,1
[0 1 0 1 1 0 0 0 0 0],28.41745719133229,1
[0 0 0 0 1 0 1 1 1 1],28.71775928984522,1
[1 0 0 0 1 0 0 0 0 0],0.0,0
[1 0 0 1 1 0 1 1 0 0],20.588452397272047,1
[1 1 0 0 0 0 1 1 0 0],26.796634449737702,1
[0 0 1 1 1 0 0 1 1 1],22.527648397043233,1
[1 0 1 0 1 1 1 1 1 1],20.673364136002725,1
[0 1 0 1 0 1 0 1 0 0],25.565846028609975,1
[0 1 1 1 1 1 1 1 1 1],19.890086758208184,1
[0 1 0 1 0 0 0 0 1 0],27.452426462901474,1
[0 1 1 1 0 0 1 0 0 0],25.123301228118354,1
[1 1 1 0 0 0 1 1 0 1],26.57520063380033,1
[1 0 1 0 1 1 0 1 0 1],20.89131770457318,1
[1 0 0 0 0 1 1 0 1 1],26.824842519819903,1
[0 0 1 1 0 0 1 1 1 1],30.44150028641759,1
[0 0 0 1 1 1 0 1 0 1],22.618011282744426,1
[0 0 1 0 0 1 0 1 1 0],32.96323117061145,1
[1 1 1 0 1 0 0 1 1 0],24.263918778554682,1
[0 0 0 1 0 0 1 0 1 0],35.12854671159759,1
[1 0 0 0 0 1 1 1 1 0],23.56106924182069,1
[1 0 0 0 1 1 1 0 0 0],24.91541974945389,1
[1 1 0 1 1 1 1 1 1 1],18.73022187851129,1
[0 0 0 1 1 1 0 1 0 0],25.29638408177487,1
[1 1 1 1 0 0 1 0 0 1],23.0813344304228,1
[1 1 0 1 1 1 1 0 0 0],22.844161895251613,1
[1 1 0 1 1 0 0 0 1 0],23.14633913215483,1
[1 0 0 1 1 1 0 0 0 1],23.556315600384472,1
[0 0 0 1 0 1 1 1 0 0],30.754395272622975,1
[0 1 1 0 1 0 0 0 0 1],28.38614070727322,1
[0 1 0 0 0 0 0 1 0 1],29.622205196325943,1
[0 1 0 1 1 1 0 0 1 0],24.545402877231318,1
[1 0 1 1 0 0 1 1 1 1],22.738437069515804,1
[1 1 0 1 1 0 0 1 1 0],19.896143726668278,1
[1 0 1 0 1 0 0 0 0 0],34.13289716597363,1
[0 1 0 0 0 1 1 0 0 0],27.4325978214644,1
[0 0 1 1 1 1 1 0 0 0],25.20066927635292,1
[0 0 0 1 1 0 1 1 1 0],22.749082212980603,1
[1 1 1 1 0 0 0 0 1 0],24.15689339287859,1
[0 0 1 1 1 0 0 1 0 1],22.618011282744426,1
[0 0 1 0 0 1 0 1 0 1],32.01766650825162,1
[1 0 1 0 0 0 1 0 0 0],36.49822559349118,1
[0 1 1 0 1 0 1 1 1 0],24.511405441337214,1
[0 1 0 1 0 1 0 0 0 1],26.31596911400892,1
[1 1 0 0 1 1 0 1 1 0],19.983599753719897,1
[0 1 0 0 0 0 0 0 0 0],0.0,0
[0 0 0 1 1 0 0 0 0 0],34.227836522147456,1
[1 1 1 1 0 0 1 1 0 0],21.503799954032182,1
[1 0 1 0 0 0 0 1 0 1],33.65395359253919,1
[0 1 1 1 0 0 0 1 1 0],23.96303219203532,1
[1 0 1 0 1 0 1 1 0 0],28.20000091142625,1
[0 0 1 1 0 1 0 1 0 0],32.27973853891895,1
[0 0 0 0 0 1 0 1 1 0],32.96323117061145,1
[0 0 1 1 1 0 0 0 1 1],24.88887257471435,1
