Source:_EC_decarbonization_scenario_2016_(power_generation_sheet:_final_energy_demand_+_refinaries_and_other_uses)._Norway_(NVE_-_strømbruk_mot_2040)_and_Switzerland_are_based_on_national_statistics_(and_linear_interpolation)._Bosnia,_Serbia_and_Macedonia_use_the_same_trajectory_as_Croatia_(based_on_EC_ref_2013)	Unnamed:_1	Unnamed:_2
Austria	1	69208495.58768041
BosniaH	1	12747852.69121813
Belgium	1	87183947.751946
Bulgaria	1	30091636.773569833
Switzerland	1	65368927.53283874
CzechR	1	63202871.91379661
Germany	1	545224314.0131292
Denmark	1	34711942.50134293
Estonia	1	7952492.033148475
Spain	1	251274180.6969777
Finland	1	81619243.25802527
France	1	471216108.68781394
GreatBrit.	1	343567422.1703151
Greece	1	55030848.01953944
Croatia	1	16596829.207711726
Hungary	1	37759260.52594516
Ireland	1	26403956.60291737
Italy	1	312034910.2011373
Lithuania	1	11005876.477772767
Luxemb.	1	6965864.496581133
Austria	2	72012406.12842907
BosniaH	2	12467025.495750709
Belgium	2	88812131.18713899
Bulgaria	2	30823842.04856563
Switzerland	2	65886855.06567749
CzechR	2	65857700.24242049
Germany	2	577931296.5049382
Denmark	2	36138861.79626279
Estonia	2	8259316.198084223
Spain	2	254997023.2478895
Finland	2	84989994.21104287
France	2	475874034.02486426
GreatBrit.	2	348197908.2211853
Greece	2	53085592.89126595
Croatia	2	16591527.019959852
Hungary	2	40429082.48067897
Ireland	2	27130808.18490499
Italy	2	311863890.2938935
Lithuania	2	11132216.025864094
Luxemb.	2	7610060.997886756
Austria	3	75002809.93672663
BosniaH	3	13266957.507082153
Belgium	3	92675431.3386184
Bulgaria	3	31852147.09048953
Switzerland	3	66404782.59851623
CzechR	3	67912797.2477386
Germany	3	569121607.8382292
Denmark	3	37665490.55578341
Estonia	3	8565953.593036171
Spain	3	261245146.51357353
Finland	3	85529100.3528346
France	3	488720364.8271361
GreatBrit.	3	365414903.3367297
Greece	3	51819609.599764474
Croatia	3	17207413.70829889
Hungary	3	41075484.6680941
Ireland	3	28145265.6126625
Italy	3	318721573.6580507
Lithuania	3	10953274.115235621
Luxemb.	3	8324375.271309833
Austria	4	79301250.97019376
BosniaH	4	13973280.453257792
Belgium	4	99351596.06121676
Bulgaria	4	32676782.611798726
Switzerland	4	66922710.131354995
CzechR	4	71447526.82083753
Germany	4	577015201.8220944
Denmark	4	39857237.891360916
Estonia	4	8524857.771873517
Spain	4	270853027.4305888
Finland	4	88007475.4859037
France	4	520780604.270357
GreatBrit.	4	383688809.3557601
Greece	4	54725165.82547192
Croatia	4	18330052.69776641
Hungary	4	43989099.58625237
Ireland	4	30152270.961158443
Italy	4	338696255.39732903
Lithuania	4	11197950.249672454
Luxemb.	4	9322977.420878494
Austria	5	84942493.47153418
BosniaH	5	14620033.994334277
Belgium	5	108031489.40671732
Bulgaria	5	34338643.984449446
Switzerland	5	67440637.66419375
CzechR	5	77246900.6240043
Germany	5	608702513.952142
Denmark	5	43554333.3967613
Estonia	5	9262827.982593648
Spain	5	292062852.7424808
Finland	5	95466708.04589523
France	5	564595804.3130924
GreatBrit.	5	431965500.5393698
Greece	5	57550751.4532475
Croatia	5	20404530.413878355
Hungary	5	49110505.337406434
Ireland	5	33150729.708497215
Italy	5	372058380.9984673
Lithuania	5	11860676.242115185
Luxemb.	5	10669386.796203317
Austria	6	89979143.43732385
BosniaH	6	15590164.305949008
Belgium	6	115952873.84252466
Bulgaria	6	36075838.405873016
Switzerland	6	67958565.1970325
CzechR	6	83065100.45868567
Germany	6	639567154.3974477
Denmark	6	47923528.45689345
Estonia	6	9864769.755036978
Spain	6	307055084.07406
Finland	6	102386043.37079245
France	6	587570921.9632821
GreatBrit.	6	470865192.389212
Greece	6	60699027.48410558
Croatia	6	22098322.875672832
Hungary	6	52113435.62568359
Ireland	6	35736777.213262275
Italy	6	393563993.49020404
Lithuania	6	13018807.932697486
Luxemb.	6	11469070.96864402
Austria	7	93702866.85982552
BosniaH	7	16236917.847025499
Belgium	7	121946603.94455089
Bulgaria	7	37320964.81149598
Switzerland	7	68476492.72987126
CzechR	7	87573369.23886062
Germany	7	646810460.8919566
Denmark	7	50373930.136062704
Estonia	7	10123997.793042615
Spain	7	318979200.4401522
Finland	7	106013436.96844733
France	7	599181647.7722592
GreatBrit.	7	483889644.24583995
Greece	7	60889787.65139057
Croatia	7	23341870.84548945
Hungary	7	53356212.63015797
Ireland	7	38272641.57273432
Italy	7	404009452.0940963
Lithuania	7	13426066.059018796
Luxemb.	7	12039105.93704308
Austria	8	100262067.54001331
BosniaH	8	17373502.096317284
Belgium	8	130482866.22066946
Bulgaria	8	39933432.3483007
Switzerland	8	73269847.22096226
CzechR	8	93703505.08558087
Germany	8	692087193.1543936
Denmark	8	53900105.245587096
Estonia	8	10832677.6385556
Spain	8	341307744.4709629
Finland	8	113434377.55623865
France	8	641124363.1163174
GreatBrit.	8	517761919.34304875
Greece	8	65152072.78698791
Croatia	8	24975801.804673713
Hungary	8	57091147.51426903
Ireland	8	40951726.482825726
Italy	8	432290113.7406831
Lithuania	8	14365890.683150113
Luxemb.	8	12881843.352636097
