Source:_Assumed	Unnamed:_1	Unnamed:_2
Switzerland	Austria	40
CzechR	Austria	40
Germany	Austria	40
Hungary	Austria	40
Italy	Austria	40
Croatia	BosniaH	40
France	Belgium	40
Luxemb.	Belgium	40
Greece	Bulgaria	40
Germany	Switzerland	40
France	Switzerland	40
Italy	Switzerland	40
Germany	CzechR	40
Denmark	Germany	40
France	Germany	40
Luxemb.	Germany	40
Finland	Estonia	40
France	Spain	40
GreatBrit.	France	40
Italy	France	40
Ireland	GreatBrit.	40
Italy	Greece	40
Hungary	Croatia	40
GreatBrit.	Belgium	40
GreatBrit.	Denmark	40
Italy	BosniaH	40
Italy	Croatia	40
Germany	Belgium	40
Italy	Germany	40
Ireland	Spain	40
Ireland	France	40
Luxemb.	France	40
