Node	Period	Operationalhour	Value
Germany	1	1	67075.49435981014
Germany	1	2	67516.62410010996
Germany	1	3	67909.33585056204
Germany	1	4	67678.43936165057
Germany	1	5	67466.31998667312
Germany	1	6	67616.20018493843
Germany	1	7	67613.22388473198
Germany	1	8	67539.76645622478
Germany	1	9	67671.25085023177
Germany	1	10	68017.02773221541
Germany	1	11	68357.12209992291
Germany	1	12	68513.51166425437
Germany	1	13	68723.99680258842
Germany	1	14	68778.9489217979
Germany	1	15	68334.3805204202
Germany	1	16	67847.93668202094
Germany	1	17	67434.4487801796
Germany	1	18	67001.35220787002
Germany	1	19	66690.1855106278
Germany	1	20	66490.62045034622
Germany	1	21	66627.70520872068
Germany	1	22	67024.85784350202
Germany	1	23	67519.5426192935
Germany	1	24	67590.7512926532
Germany	1	25	67954.58365965763
Germany	1	26	68398.3902305036
Germany	1	27	68604.12850708787
Germany	1	28	68293.81683375796
Germany	1	29	68059.88829201007
Germany	1	30	68202.56082181334
Germany	1	31	68079.287277372
Germany	1	32	67904.23278049768
Germany	1	33	67715.44274001077
Germany	1	34	67627.38229190055
Germany	1	35	67533.3345353228
Germany	1	36	67483.64688426648
Germany	1	37	67655.44989564364
Germany	1	38	67686.12835082242
Germany	1	39	67265.37302744763
Germany	1	40	66902.3036178598
Germany	1	41	66513.85140778571
Germany	1	42	66088.92652579166
Germany	1	43	65750.17861649816
Germany	1	44	65546.4433496385
Germany	1	45	65520.06063601483
Germany	1	46	65948.57535069513
Germany	1	47	66568.90818642956
Germany	1	48	66848.43950601426
Germany	1	49	61545.58100461884
Germany	1	50	61814.274227026945
Germany	1	51	62263.706235429316
Germany	1	52	62445.51401260486
Germany	1	53	62559.20635910685
Germany	1	54	62574.83940784596
Germany	1	55	62540.40256617313
Germany	1	56	62520.01155586805
Germany	1	57	62584.62803712199
Germany	1	58	62398.25285461577
Germany	1	59	61944.92238792719
Germany	1	60	61516.945648094676
Germany	1	61	61270.04832338734
Germany	1	62	61120.32431136812
Germany	1	63	60869.528810095755
Germany	1	64	60675.137898143126
Germany	1	65	60603.865781164015
Germany	1	66	60667.20567086724
Germany	1	67	60589.684413715746
Germany	1	68	60266.31375029076
Germany	1	69	60132.65641231734
Germany	1	70	60093.27626468585
Germany	1	71	60206.15387341043
Germany	1	72	60363.69745238838
Germany	1	73	60388.86597571233
Germany	1	74	60635.933319177886
Germany	1	75	61162.79989911133
Germany	1	76	61325.337043114196
Germany	1	77	61519.194684963484
Germany	1	78	61627.280159337766
Germany	1	79	61689.67031045341
Germany	1	80	61841.0155435956
Germany	1	81	61961.13107764161
Germany	1	82	61889.98807349905
Germany	1	83	61577.09918624752
Germany	1	84	61366.28539193452
Germany	1	85	61167.5344778158
Germany	1	86	61116.6611466475
Germany	1	87	60835.568781593094
Germany	1	88	60788.805340489016
Germany	1	89	60700.574112973336
Germany	1	90	60607.03429976097
Germany	1	91	60498.28601986497
Germany	1	92	60220.540671974595
Germany	1	93	60069.999471203344
Germany	1	94	59968.29754619699
Germany	1	95	60013.283777136836
Germany	1	96	60150.80880943891
Germany	1	97	62984.1793309137
Germany	1	98	63019.64183504377
Germany	1	99	62760.01978247255
