Source:_Transparency_Platform_ENTSOE	Unnamed:_1	Unnamed:_2	Unnamed:_3
Germany	HydroPumpStorage	1	9280
France	HydroPumpStorage	1	5049
Germany	HydroPumpStorage	2	9280
France	HydroPumpStorage	2	5049
Germany	HydroPumpStorage	3	9280
France	HydroPumpStorage	3	5049
Germany	HydroPumpStorage	4	9280
France	HydroPumpStorage	4	5049
Germany	HydroPumpStorage	5	9280
France	HydroPumpStorage	5	5049
Germany	HydroPumpStorage	6	9280
France	HydroPumpStorage	6	5049
Germany	HydroPumpStorage	7	9280
France	HydroPumpStorage	7	5049
Germany	HydroPumpStorage	8	9280
France	HydroPumpStorage	8	5049
