Node,Energy_Type,Period,Type,Value
Germany,Liginiteexisting,1,Generation,0.0
Germany,Liginiteexisting,2,Generation,0.0
Germany,Liginiteexisting,3,Generation,0.0
Germany,Liginiteexisting,4,Generation,0.0
Germany,Liginiteexisting,5,Generation,0.0
Germany,Liginiteexisting,6,Generation,0.0
Germany,Liginiteexisting,7,Generation,0.0
Germany,Liginiteexisting,8,Generation,0.0
Germany,Lignite,1,Generation,4953.9445128524085
Germany,Lignite,2,Generation,0.0001416421089013812
Germany,Lignite,3,Generation,3.5580469217737687e-06
Germany,Lignite,4,Generation,1.2848089552097591e-05
Germany,Lignite,5,Generation,1.4912480779482648e-08
Germany,Lignite,6,Generation,0.00010909869114589261
Germany,Lignite,7,Generation,8.6427134224778e-06
Germany,Lignite,8,Generation,8.313010051175003e-05
Germany,LigniteCCSadv,1,Generation,0.0
Germany,LigniteCCSadv,2,Generation,0.0
Germany,LigniteCCSadv,3,Generation,0.0
Germany,LigniteCCSadv,4,Generation,0.0
Germany,LigniteCCSadv,5,Generation,0.0
Germany,LigniteCCSadv,6,Generation,0.0
Germany,LigniteCCSadv,7,Generation,0.0
Germany,LigniteCCSadv,8,Generation,0.0
Germany,Coalexisting,1,Generation,0.0
Germany,Coalexisting,2,Generation,0.0
Germany,Coalexisting,3,Generation,0.0
Germany,Coalexisting,4,Generation,0.0
Germany,Coalexisting,5,Generation,0.0
Germany,Coalexisting,6,Generation,0.0
Germany,Coalexisting,7,Generation,0.0
Germany,Coalexisting,8,Generation,0.0
Denmark,Coalexisting,1,Generation,0.0
Denmark,Coalexisting,2,Generation,0.0
Denmark,Coalexisting,3,Generation,0.0
Denmark,Coalexisting,4,Generation,0.0
Denmark,Coalexisting,5,Generation,0.0
Denmark,Coalexisting,6,Generation,0.0
Denmark,Coalexisting,7,Generation,0.0
Denmark,Coalexisting,8,Generation,0.0
France,Coalexisting,1,Generation,0.0
France,Coalexisting,2,Generation,0.0
France,Coalexisting,3,Generation,0.0
France,Coalexisting,4,Generation,0.0
France,Coalexisting,5,Generation,0.0
France,Coalexisting,6,Generation,0.0
France,Coalexisting,7,Generation,0.0
France,Coalexisting,8,Generation,0.0
Germany,Coal,1,Generation,0.0012527722473668237
Germany,Coal,2,Generation,4.748400307993971e-09
Germany,Coal,3,Generation,8.65435350833965e-06
Germany,Coal,4,Generation,2.1502292061214316e-05
Germany,Coal,5,Generation,1.8827370093613688e-05
Germany,Coal,6,Generation,1.251965095696e-05
Germany,Coal,7,Generation,2.3893332849767476e-05
Germany,Coal,8,Generation,4.094807504030636e-05
Denmark,Coal,1,Generation,0.0010879797948786277
Denmark,Coal,2,Generation,2.906515545449336e-05
Denmark,Coal,3,Generation,2.9196877339936404e-06
Denmark,Coal,4,Generation,1.7381330802547994e-06
Denmark,Coal,5,Generation,3.933143889581326e-08
Denmark,Coal,6,Generation,7.210268524554868e-05
Denmark,Coal,7,Generation,9.610681339230504e-06
Denmark,Coal,8,Generation,1.2435161762863247e-05
France,Coal,1,Generation,0.00039623374098754315
France,Coal,2,Generation,0.0004167091918131713
France,Coal,3,Generation,1.394736266331817e-05
France,Coal,4,Generation,1.5111015278197412e-05
France,Coal,5,Generation,2.977864639408281e-06
France,Coal,6,Generation,5.910177933799753e-05
France,Coal,7,Generation,1.0097859934613935e-05
France,Coal,8,Generation,0.0002884034923275676
Germany,CoalCCSadv,1,Generation,0.0
Germany,CoalCCSadv,2,Generation,0.0
Germany,CoalCCSadv,3,Generation,0.0
Germany,CoalCCSadv,4,Generation,0.0
Germany,CoalCCSadv,5,Generation,0.0
Germany,CoalCCSadv,6,Generation,0.0
Germany,CoalCCSadv,7,Generation,0.0
Germany,CoalCCSadv,8,Generation,0.0
Denmark,CoalCCSadv,1,Generation,0.0
Denmark,CoalCCSadv,2,Generation,0.0
Denmark,CoalCCSadv,3,Generation,0.0
Denmark,CoalCCSadv,4,Generation,0.0
Denmark,CoalCCSadv,5,Generation,0.0
Denmark,CoalCCSadv,6,Generation,0.0
Denmark,CoalCCSadv,7,Generation,0.0
Denmark,CoalCCSadv,8,Generation,0.0
France,CoalCCSadv,1,Generation,0.0
France,CoalCCSadv,2,Generation,0.0
France,CoalCCSadv,3,Generation,0.0
France,CoalCCSadv,4,Generation,0.0
France,CoalCCSadv,5,Generation,0.0
France,CoalCCSadv,6,Generation,0.0
France,CoalCCSadv,7,Generation,0.0
France,CoalCCSadv,8,Generation,0.0
Germany,Gasexisting,1,Generation,0.0
Germany,Gasexisting,2,Generation,0.0
Germany,Gasexisting,3,Generation,0.0
Germany,Gasexisting,4,Generation,0.0
Germany,Gasexisting,5,Generation,0.0
Germany,Gasexisting,6,Generation,0.0
Germany,Gasexisting,7,Generation,0.0
Germany,Gasexisting,8,Generation,0.0
Denmark,Gasexisting,1,Generation,0.0
Denmark,Gasexisting,2,Generation,0.0
Denmark,Gasexisting,3,Generation,0.0
Denmark,Gasexisting,4,Generation,0.0
Denmark,Gasexisting,5,Generation,0.0
Denmark,Gasexisting,6,Generation,0.0
Denmark,Gasexisting,7,Generation,0.0
Denmark,Gasexisting,8,Generation,0.0
France,Gasexisting,1,Generation,0.0
France,Gasexisting,2,Generation,0.0
France,Gasexisting,3,Generation,0.0
France,Gasexisting,4,Generation,0.0
France,Gasexisting,5,Generation,0.0
France,Gasexisting,6,Generation,0.0
France,Gasexisting,7,Generation,0.0
France,Gasexisting,8,Generation,0.0
Germany,GasOCGT,1,Generation,0.0005461008829679263
Germany,GasOCGT,2,Generation,3289.7830480217217
Germany,GasOCGT,3,Generation,11674.195144385845
Germany,GasOCGT,4,Generation,8406.2228180448
Germany,GasOCGT,5,Generation,1.3160148727493702e-05
Germany,GasOCGT,6,Generation,1.355735660875618e-05
Germany,GasOCGT,7,Generation,7.71347410519395e-06
Germany,GasOCGT,8,Generation,6.881501707515951e-05
Denmark,GasOCGT,1,Generation,0.0005517217226099038
Denmark,GasOCGT,2,Generation,0.13413868729002276
Denmark,GasOCGT,3,Generation,1741.2591756148172
Denmark,GasOCGT,4,Generation,0.00126767087092692
Denmark,GasOCGT,5,Generation,8.294338510849824e-06
Denmark,GasOCGT,6,Generation,1064.8191102482015
Denmark,GasOCGT,7,Generation,1.0717222066502511e-05
Denmark,GasOCGT,8,Generation,1.879311446347868e-05
France,GasOCGT,1,Generation,5821.168885348337
France,GasOCGT,2,Generation,10437.44148839822
France,GasOCGT,3,Generation,3866.331464265452
France,GasOCGT,4,Generation,13623.4280060972
France,GasOCGT,5,Generation,2.8964348672437317e-05
France,GasOCGT,6,Generation,5.913317373549895e-05
France,GasOCGT,7,Generation,0.0001306843467493616
France,GasOCGT,8,Generation,3690.4091490204696
Germany,GasCCGT,1,Generation,1659.1749246976078
Germany,GasCCGT,2,Generation,70845.63264844661
Germany,GasCCGT,3,Generation,34010.16775747993
Germany,GasCCGT,4,Generation,41772.948656147724
Germany,GasCCGT,5,Generation,1.2693948002163224e-05
Germany,GasCCGT,6,Generation,2.014407315970495e-06
Germany,GasCCGT,7,Generation,0.0002685223259679416
Germany,GasCCGT,8,Generation,1.1066227777797206e-05
Denmark,GasCCGT,1,Generation,0.006596311451934977
Denmark,GasCCGT,2,Generation,1585.9621645558036
Denmark,GasCCGT,3,Generation,2951.046748443213
Denmark,GasCCGT,4,Generation,3544.83074282261
Denmark,GasCCGT,5,Generation,8.348503295882864e-06
Denmark,GasCCGT,6,Generation,5.341885370296579e-06
Denmark,GasCCGT,7,Generation,1.3591075094386604e-06
Denmark,GasCCGT,8,Generation,4.3468980148291305e-06
France,GasCCGT,1,Generation,667.2669916600926
France,GasCCGT,2,Generation,25593.917112413754
France,GasCCGT,3,Generation,4494.723932398603
France,GasCCGT,4,Generation,22530.595962131272
France,GasCCGT,5,Generation,2.4457233095329313e-05
France,GasCCGT,6,Generation,1.9483469223702315e-05
France,GasCCGT,7,Generation,2.1167330140494426e-05
France,GasCCGT,8,Generation,13155.773446367491
Germany,GasCCSadv,1,Generation,0.0
Germany,GasCCSadv,2,Generation,0.0
Germany,GasCCSadv,3,Generation,0.0
Germany,GasCCSadv,4,Generation,0.0
Germany,GasCCSadv,5,Generation,0.0
Germany,GasCCSadv,6,Generation,0.0
Germany,GasCCSadv,7,Generation,0.0
Germany,GasCCSadv,8,Generation,0.0
Denmark,GasCCSadv,1,Generation,0.0
Denmark,GasCCSadv,2,Generation,0.0
Denmark,GasCCSadv,3,Generation,0.0
Denmark,GasCCSadv,4,Generation,0.0
Denmark,GasCCSadv,5,Generation,0.0
Denmark,GasCCSadv,6,Generation,0.0
Denmark,GasCCSadv,7,Generation,0.0
Denmark,GasCCSadv,8,Generation,0.0
France,GasCCSadv,1,Generation,0.0
France,GasCCSadv,2,Generation,0.0
France,GasCCSadv,3,Generation,0.0
France,GasCCSadv,4,Generation,0.0
France,GasCCSadv,5,Generation,0.0
France,GasCCSadv,6,Generation,0.0
France,GasCCSadv,7,Generation,0.0
