Source:_STATISTICAL_FACTSHEET_2018_(ENTSO-E)	Unnamed:_1	Unnamed:_2
Austria	Coalexisting	1553
Austria	Gasexisting	4853
Austria	Oilexisting	168
Austria	Bioexisting	586
Austria	Hydroregulated	4218
Austria	Hydrorun-of-the-river	5714
Austria	Windonshore	2887
Austria	Solar	1193
Austria	Geo	1
Austria	Waste	22
BosniaH	Liginiteexisting	1993
BosniaH	Hydroregulated	1665
BosniaH	Windonshore	51
Belgium	Gasexisting	6974
Belgium	Oilexisting	404
Belgium	Bioexisting	811
Belgium	Nuclear	5919
Belgium	Hydrorun-of-the-river	125
Belgium	Windonshore	2068
Belgium	Windoffshore	1179
Belgium	Waste	302
Belgium	Solar	3581
Bulgaria	Liginiteexisting	3558
Bulgaria	Coalexisting	175
Bulgaria	Gasexisting	755
Bulgaria	Bioexisting	77
Bulgaria	Nuclear	1950
Bulgaria	Hydroregulated	1534
Bulgaria	Hydrorun-of-the-river	600
Bulgaria	Windonshore	700
Bulgaria	Solar	1052
Switzerland	Bioexisting	196
Switzerland	Nuclear	3333
Switzerland	Hydroregulated	6288
Switzerland	Hydrorun-of-the-river	4053
Switzerland	Windonshore	75
Switzerland	Waste	422
Switzerland	Solar	1664
CzechR	Liginiteexisting	8450
CzechR	Coalexisting	1200
CzechR	Gasexisting	1605
CzechR	Bioexisting	800
CzechR	Nuclear	4040
CzechR	Hydroregulated	753
CzechR	Hydrorun-of-the-river	334
CzechR	Waste	100
CzechR	Windonshore	316
CzechR	Solar	2049
Germany	Liginiteexisting	22471
Germany	Coalexisting	24645
Germany	Gasexisting	31614
Germany	Oilexisting	4440
Germany	Bioexisting	8042
Germany	Nuclear	9516
Germany	Geo	42
Germany	Hydroregulated	1267
Germany	Hydrorun-of-the-river	3781
Germany	Windonshore	51844
Germany	Waste	1784
Germany	Windoffshore	6385
Germany	Solar	43922
Denmark	Coalexisting	3700
Denmark	Gasexisting	1829
Denmark	Oilexisting	1007
Denmark	Bioexisting	2066
Denmark	Hydrorun-of-the-river	7
Denmark	Windonshore	4423
Denmark	Waste	323
Denmark	Windoffshore	1701
Denmark	Solar	1000
Estonia	Gasexisting	200
Estonia	Oilexisting	2162
Estonia	Waste	20
Estonia	Bioexisting	92
Estonia	Hydrorun-of-the-river	9
Estonia	Windonshore	341
Estonia	Solar	9
Spain	Liginiteexisting	1124
Spain	Coalexisting	8975
Spain	Gasexisting	31184
Spain	Oilexisting	3235
Spain	Bioexisting	876
Spain	Nuclear	7117
Spain	Waste	680
Spain	Hydroregulated	12034
Spain	Hydrorun-of-the-river	1942
Spain	Windonshore	23507
Spain	Solar	4714
Finland	Coalexisting	3747
Finland	Gasexisting	1912
Finland	Oilexisting	1434
Finland	Bioexisting	2061
Finland	Waste	158
Finland	Nuclear	2785
Finland	Hydrorun-of-the-river	3148
Finland	Windonshore	2013
Finland	Solar	113
France	Coalexisting	2997
France	Gasexisting	12151
France	Oilexisting	3441
France	Waste	883
France	Bioexisting	2871
France	Nuclear	63130
France	Wave	240
France	Hydrorun-of-the-river	21092
France	Windonshore	15084
France	Solar	8526
GreatBrit.	Coalexisting	10860
GreatBrit.	Gasexisting	30176
GreatBrit.	Oilexisting	882
GreatBrit.	Waste	5
GreatBrit.	Bioexisting	2017
GreatBrit.	Nuclear	9160
GreatBrit.	Hydroregulated	86
GreatBrit.	Hydrorun-of-the-river	963
GreatBrit.	Windonshore	13604
GreatBrit.	Windoffshore	6610
GreatBrit.	Solar	13100
Greece	Liginiteexisting	3904
Greece	Gasexisting	4269
Greece	Bioexisting	290
Greece	Hydroregulated	2470
Greece	Hydrorun-of-the-river	230
Greece	Windonshore	2082
Greece	Solar	2448
Croatia	Coalexisting	955
Croatia	Gasexisting	743
Croatia	Waste	6
Croatia	Bioexisting	85
Croatia	Oilexisting	320
Croatia	Hydrorun-of-the-river	426
Croatia	Hydroregulated	1388
Croatia	Windonshore	556
Croatia	Solar	52
Hungary	Liginiteexisting	1049
Hungary	Gasexisting	4042
Hungary	Oilexisting	412
Hungary	Bioexisting	319
Hungary	Nuclear	1899
Hungary	Hydroregulated	28
Hungary	Hydrorun-of-the-river	28
Hungary	Windonshore	325
Hungary	Solar	336
Ireland	Liginiteexisting	228
Ireland	Coalexisting	855
Ireland	Gasexisting	4215
Ireland	Waste	80
Ireland	Oilexisting	916
Ireland	Bioexisting	507
Ireland	Hydrorun-of-the-river	238
Ireland	Windonshore	3080
Ireland	Solar	222
Italy	Coalexisting	8749
Italy	Gasexisting	52086
Italy	Oilexisting	8599
Italy	Waste	424
Italy	Bioexisting	2934
Italy	Geo	962
Italy	Hydroregulated	5162
Italy	Hydrorun-of-the-river	12768
Italy	Windonshore	10310
Italy	Solar	20120
Lithuania	Liginiteexisting	1229
Lithuania	Gasexisting	568
Lithuania	Waste	20
Lithuania	Bioexisting	93
Lithuania	Hydrorun-of-the-river	127
Lithuania	Windonshore	533
Lithuania	Solar	83
Luxemb.	Gasexisting	136
Luxemb.	Waste	21
Luxemb.	Bioexisting	11
Luxemb.	Hydroregulated	17
Luxemb.	Windonshore	120
Luxemb.	Solar	128
