Node	Operationalhour	Scenario	Period	ElectricLoadRaw_in_MW
Germany	1	scenario1	1	63800.7875
Germany	2	scenario1	1	61715.545
Germany	3	scenario1	1	58082.2825
Germany	4	scenario1	1	54203.3625
Germany	5	scenario1	1	52799.34
Germany	6	scenario1	1	52151.865
Germany	7	scenario1	1	51965.0075
Germany	8	scenario1	1	53017.3725
Germany	9	scenario1	1	55681.88
Germany	10	scenario1	1	62397.0125
Germany	11	scenario1	1	67694.48
Germany	12	scenario1	1	70154.2875
Germany	13	scenario1	1	70124.845
Germany	14	scenario1	1	70699.045
Germany	15	scenario1	1	71075.4275
Germany	16	scenario1	1	70488.125
Germany	17	scenario1	1	69431.3925
Germany	18	scenario1	1	68448.445
Germany	19	scenario1	1	67674.5725
Germany	20	scenario1	1	67314.7525
Germany	21	scenario1	1	69533.9825
Germany	22	scenario1	1	71934.5525
Germany	23	scenario1	1	70516.3025
Germany	24	scenario1	1	66976.9075
Germany	25	scenario1	1	64005.5575
Germany	26	scenario1	1	61662.18
Germany	27	scenario1	1	58369.4275
Germany	28	scenario1	1	55308.8725
Germany	29	scenario1	1	53476.3225
Germany	30	scenario1	1	52359.5625
Germany	31	scenario1	1	52611.175
Germany	32	scenario1	1	53489.385
Germany	33	scenario1	1	55853.9425
Germany	34	scenario1	1	63414.0825
Germany	35	scenario1	1	68524.885
Germany	36	scenario1	1	70425.8825
Germany	37	scenario1	1	71392.9275
Germany	38	scenario1	1	72025.34
Germany	39	scenario1	1	72383.5875
Germany	40	scenario1	1	71998.58
Germany	41	scenario1	1	71463.8725
Germany	42	scenario1	1	70285.1725
Germany	43	scenario1	1	69579.5275
Germany	44	scenario1	1	68668.215
Germany	45	scenario1	1	70290.885
Germany	46	scenario1	1	73061.165
Germany	47	scenario1	1	71975.565
Germany	48	scenario1	1	68242.535
Denmark	1	scenario1	1	4514.23
Denmark	2	scenario1	1	4207.93
Denmark	3	scenario1	1	3892.09
Denmark	4	scenario1	1	3690.23
Denmark	5	scenario1	1	3601.91
Denmark	6	scenario1	1	3565.46
Denmark	7	scenario1	1	3575.46
Denmark	8	scenario1	1	3654.96
Denmark	9	scenario1	1	3917.04
Denmark	10	scenario1	1	4569.24
Denmark	11	scenario1	1	5252.49
