Node	Period	Season	Operationalhour	Scenario	HydroGeneratorMaxSeasonalProduction
Germany	1	winter	1	scenario1	56.4975
Germany	1	winter	2	scenario1	56.7375
Germany	1	winter	3	scenario1	63.5275
Germany	1	winter	4	scenario1	53.4075
Germany	1	winter	5	scenario1	57.43
Germany	1	winter	6	scenario1	64.64
Germany	1	winter	7	scenario1	55.195
Germany	1	winter	8	scenario1	43.1875
Germany	1	winter	9	scenario1	51.1075
Germany	1	winter	10	scenario1	51.915
Germany	1	winter	11	scenario1	106.52
Germany	1	winter	12	scenario1	120.0725
Germany	1	winter	13	scenario1	50.98
Germany	1	winter	14	scenario1	72.7125
Germany	1	winter	15	scenario1	96.68
Germany	1	winter	16	scenario1	97.6475
Germany	1	winter	17	scenario1	85.275
Germany	1	winter	18	scenario1	60.695
Germany	1	winter	19	scenario1	64.3125
Germany	1	winter	20	scenario1	66.4575
Germany	1	winter	21	scenario1	114.8225
Germany	1	winter	22	scenario1	115.84
Germany	1	winter	23	scenario1	93.3175
Germany	1	winter	24	scenario1	73.12
Germany	1	winter	25	scenario1	72.4225
Germany	1	winter	26	scenario1	71.7425
Germany	1	winter	27	scenario1	67.0
Germany	1	winter	28	scenario1	66.42
Germany	1	winter	29	scenario1	76.18
Germany	1	winter	30	scenario1	61.71
Germany	1	winter	31	scenario1	63.1025
Germany	1	winter	32	scenario1	69.985
Germany	1	winter	33	scenario1	53.8125
Germany	1	winter	34	scenario1	69.5825
Germany	1	winter	35	scenario1	119.75
Germany	1	winter	36	scenario1	120.03
Germany	1	winter	37	scenario1	105.2425
Germany	1	winter	38	scenario1	78.3825
Germany	1	winter	39	scenario1	63.99
Germany	1	winter	40	scenario1	58.405
Germany	1	winter	41	scenario1	57.9925
Germany	1	winter	42	scenario1	58.405
Germany	1	winter	43	scenario1	83.2025
Germany	1	winter	44	scenario1	83.1325
Germany	1	winter	45	scenario1	120.7525
Germany	1	winter	46	scenario1	120.9275
Germany	1	winter	47	scenario1	93.6375
Germany	1	winter	48	scenario1	75.1625
France	1	winter	1	scenario1	3209.0
France	1	winter	2	scenario1	2749.0
France	1	winter	3	scenario1	3261.0
France	1	winter	4	scenario1	3416.0
France	1	winter	5	scenario1	3688.0
France	1	winter	6	scenario1	2979.0
France	1	winter	7	scenario1	2028.0
France	1	winter	8	scenario1	1756.0
France	1	winter	9	scenario1	2351.0
France	1	winter	10	scenario1	3638.0
France	1	winter	11	scenario1	5114.0
France	1	winter	12	scenario1	5393.0
France	1	winter	13	scenario1	5627.0
France	1	winter	14	scenario1	5343.0
France	1	winter	15	scenario1	5251.0
France	1	winter	16	scenario1	5070.0
France	1	winter	17	scenario1	4810.0
France	1	winter	18	scenario1	4360.0
France	1	winter	19	scenario1	4345.0
France	1	winter	20	scenario1	4718.0
France	1	winter	21	scenario1	5139.0
France	1	winter	22	scenario1	5379.0
France	1	winter	23	scenario1	5727.0
France	1	winter	24	scenario1	5139.0
France	1	winter	25	scenario1	4571.0
France	1	winter	26	scenario1	4321.0
France	1	winter	27	scenario1	4342.0
France	1	winter	28	scenario1	3430.0
France	1	winter	29	scenario1	2346.0
France	1	winter	30	scenario1	2137.0
France	1	winter	31	scenario1	1953.0
France	1	winter	32	scenario1	2296.0
France	1	winter	33	scenario1	2348.0
France	1	winter	34	scenario1	3045.0
France	1	winter	35	scenario1	5257.0
France	1	winter	36	scenario1	5490.0
France	1	winter	37	scenario1	5834.0
France	1	winter	38	scenario1	5507.0
France	1	winter	39	scenario1	5515.0
France	1	winter	40	scenario1	4831.0
France	1	winter	41	scenario1	4587.0
France	1	winter	42	scenario1	4037.0
France	1	winter	43	scenario1	3700.0
France	1	winter	44	scenario1	3711.0
France	1	winter	45	scenario1	4705.0
France	1	winter	46	scenario1	5132.0
France	1	winter	47	scenario1	5683.0
France	1	winter	48	scenario1	5367.0
Germany	1	spring	49	scenario1	142.505
Germany	1	spring	50	scenario1	131.58
Germany	1	spring	51	scenario1	84.665
Germany	1	spring	52	scenario1	63.545
Germany	1	spring	53	scenario1	108.925
Germany	1	spring	54	scenario1	69.5125
Germany	1	spring	55	scenario1	61.9675
Germany	1	spring	56	scenario1	99.4675
Germany	1	spring	57	scenario1	81.355
Germany	1	spring	58	scenario1	87.3225
Germany	1	spring	59	scenario1	99.705
Germany	1	spring	60	scenario1	108.5525
Germany	1	spring	61	scenario1	85.8075
Germany	1	spring	62	scenario1	105.5925
Germany	1	spring	63	scenario1	123.605
Germany	1	spring	64	scenario1	114.31
Germany	1	spring	65	scenario1	76.6
Germany	1	spring	66	scenario1	128.1975
Germany	1	spring	67	scenario1	75.27
Germany	1	spring	68	scenario1	57.355
Germany	1	spring	69	scenario1	59.3925
Germany	1	spring	70	scenario1	84.405
Germany	1	spring	71	scenario1	111.3575
Germany	1	spring	72	scenario1	103.7675
Germany	1	spring	73	scenario1	87.355
Germany	1	spring	74	scenario1	61.8175
Germany	1	spring	75	scenario1	52.8225
Germany	1	spring	76	scenario1	75.02
Germany	1	spring	77	scenario1	62.615
Germany	1	spring	78	scenario1	75.7
Germany	1	spring	79	scenario1	86.63
Germany	1	spring	80	scenario1	68.49
Germany	1	spring	81	scenario1	103.8325
Germany	1	spring	82	scenario1	86.6475
Germany	1	spring	83	scenario1	84.2225
Germany	1	spring	84	scenario1	76.3225
Germany	1	spring	85	scenario1	86.7725
Germany	1	spring	86	scenario1	92.7475
Germany	1	spring	87	scenario1	158.4475
Germany	1	spring	88	scenario1	146.0225
Germany	1	spring	89	scenario1	80.8075
Germany	1	spring	90	scenario1	114.3525
Germany	1	spring	91	scenario1	70.92
Germany	1	spring	92	scenario1	79.105
Germany	1	spring	93	scenario1	59.9575
Germany	1	spring	94	scenario1	87.605
Germany	1	spring	95	scenario1	50.435
Germany	1	spring	96	scenario1	64.065
France	1	spring	49	scenario1	1191.0
France	1	spring	50	scenario1	2070.0
France	1	spring	51	scenario1	2609.0
France	1	spring	52	scenario1	2529.0
France	1	spring	53	scenario1	2082.0
France	1	spring	54	scenario1	1754.0
France	1	spring	55	scenario1	1387.0
France	1	spring	56	scenario1	860.0
France	1	spring	57	scenario1	533.0
France	1	spring	58	scenario1	683.0
France	1	spring	59	scenario1	973.0
France	1	spring	60	scenario1	583.0
France	1	spring	61	scenario1	905.0
France	1	spring	62	scenario1	1455.0
France	1	spring	63	scenario1	2656.0
France	1	spring	64	scenario1	2921.0
France	1	spring	65	scenario1	2601.0
France	1	spring	66	scenario1	2305.0
France	1	spring	67	scenario1	1876.0
France	1	spring	68	scenario1	1828.0
France	1	spring	69	scenario1	1673.0
France	1	spring	70	scenario1	1584.0
France	1	spring	71	scenario1	1147.0
France	1	spring	72	scenario1	890.0
France	1	spring	73	scenario1	984.0
France	1	spring	74	scenario1	1552.0
France	1	spring	75	scenario1	1840.0
France	1	spring	76	scenario1	1283.0
France	1	spring	77	scenario1	1204.0
France	1	spring	78	scenario1	1065.0
France	1	spring	79	scenario1	673.0
France	1	spring	80	scenario1	630.0
France	1	spring	81	scenario1	518.0
France	1	spring	82	scenario1	597.0
France	1	spring	83	scenario1	543.0
France	1	spring	84	scenario1	478.0
France	1	spring	85	scenario1	596.0
