Node	IntermitentGenerators	Operationalhour	Scenario	Period	GeneratorStochasticAvailabilityRaw
Germany	Solar	1	scenario1	1	0.0
Germany	Solar	2	scenario1	1	0.0
Germany	Solar	3	scenario1	1	0.0
Germany	Solar	4	scenario1	1	0.0
Germany	Solar	5	scenario1	1	0.0
Germany	Solar	6	scenario1	1	0.0
Germany	Solar	7	scenario1	1	0.0
Germany	Solar	8	scenario1	1	0.0
Germany	Solar	9	scenario1	1	0.0
Germany	Solar	10	scenario1	1	0.0
Germany	Solar	11	scenario1	1	0.002
Germany	Solar	12	scenario1	1	0.096
Germany	Solar	13	scenario1	1	0.237
Germany	Solar	14	scenario1	1	0.346
Germany	Solar	15	scenario1	1	0.399
Germany	Solar	16	scenario1	1	0.404
Germany	Solar	17	scenario1	1	0.37
Germany	Solar	18	scenario1	1	0.288
Germany	Solar	19	scenario1	1	0.163
Germany	Solar	20	scenario1	1	0.033
Germany	Solar	21	scenario1	1	0.0
Germany	Solar	22	scenario1	1	0.0
Germany	Solar	23	scenario1	1	0.0
Germany	Solar	24	scenario1	1	0.0
Germany	Solar	25	scenario1	1	0.0
Germany	Solar	26	scenario1	1	0.0
Germany	Solar	27	scenario1	1	0.0
Germany	Solar	28	scenario1	1	0.0
Germany	Solar	29	scenario1	1	0.0
Germany	Solar	30	scenario1	1	0.0
Germany	Solar	31	scenario1	1	0.0
Germany	Solar	32	scenario1	1	0.0
Germany	Solar	33	scenario1	1	0.0
Germany	Solar	34	scenario1	1	0.0
Germany	Solar	35	scenario1	1	0.0
Germany	Solar	36	scenario1	1	0.088
Germany	Solar	37	scenario1	1	0.212
Germany	Solar	38	scenario1	1	0.319
Germany	Solar	39	scenario1	1	0.386
Germany	Solar	40	scenario1	1	0.405
Germany	Solar	41	scenario1	1	0.371
Germany	Solar	42	scenario1	1	0.29
Germany	Solar	43	scenario1	1	0.165
Germany	Solar	44	scenario1	1	0.035
Germany	Solar	45	scenario1	1	0.0
Germany	Solar	46	scenario1	1	0.0
Germany	Solar	47	scenario1	1	0.0
Germany	Solar	48	scenario1	1	0.0
Denmark	Solar	1	scenario1	1	0.0
Denmark	Solar	2	scenario1	1	0.0
Denmark	Solar	3	scenario1	1	0.0
Denmark	Solar	4	scenario1	1	0.0
Denmark	Solar	5	scenario1	1	0.0
Denmark	Solar	6	scenario1	1	0.0
Denmark	Solar	7	scenario1	1	0.0
Denmark	Solar	8	scenario1	1	0.0
Denmark	Solar	9	scenario1	1	0.0
Denmark	Solar	10	scenario1	1	0.0
Denmark	Solar	11	scenario1	1	0.0
Denmark	Solar	12	scenario1	1	0.041
Denmark	Solar	13	scenario1	1	0.139
Denmark	Solar	14	scenario1	1	0.233
Denmark	Solar	15	scenario1	1	0.283
Denmark	Solar	16	scenario1	1	0.266
Denmark	Solar	17	scenario1	1	0.229
Denmark	Solar	18	scenario1	1	0.152
Denmark	Solar	19	scenario1	1	0.071
Denmark	Solar	20	scenario1	1	0.006
Denmark	Solar	21	scenario1	1	0.0
Denmark	Solar	22	scenario1	1	0.0
Denmark	Solar	23	scenario1	1	0.0
Denmark	Solar	24	scenario1	1	0.0
Denmark	Solar	25	scenario1	1	0.0
Denmark	Solar	26	scenario1	1	0.0
Denmark	Solar	27	scenario1	1	0.0
Denmark	Solar	28	scenario1	1	0.0
Denmark	Solar	29	scenario1	1	0.0
Denmark	Solar	30	scenario1	1	0.0
Denmark	Solar	31	scenario1	1	0.0
Denmark	Solar	32	scenario1	1	0.0
Denmark	Solar	33	scenario1	1	0.0
Denmark	Solar	34	scenario1	1	0.0
Denmark	Solar	35	scenario1	1	0.002
Denmark	Solar	36	scenario1	1	0.048
Denmark	Solar	37	scenario1	1	0.142
Denmark	Solar	38	scenario1	1	0.225
Denmark	Solar	39	scenario1	1	0.267
Denmark	Solar	40	scenario1	1	0.268
Denmark	Solar	41	scenario1	1	0.229
Denmark	Solar	42	scenario1	1	0.163
