Source:_ENTSO-E_TYNDP22_Distributed_Energy_(220310_Updated_Electricity_Modelling_Results,_sheet:_Demand)._Norway_(vedlegg_nves_langsiktig_krafmarkedsanlyse_2020-2040),_Statnett_Basis_i_2050,_Langsiktig_Markedsanalyse_2020-2050_(190_TWh_by_2050)	Unnamed:_1	Unnamed:_2
Denmark	1	43292113.3333333
France	1	466801030.0
Germany	1	553435063.333333
Denmark	2	54987212.07038
France	2	589426971.47185
Germany	2	861693729.109233
Denmark	3	66764084.2273683
France	3	653128965.938678
Germany	3	1088569058.76242
Denmark	4	82636316.6693166
France	4	732439513.724736
Germany	4	1335481005.11265
Denmark	5	96277164.1969916
France	5	797428461.144051
Germany	5	1449169582.87159
Denmark	6	109918011.724666
France	6	862417408.563366
Germany	6	1562858160.63054
Denmark	7	109918011.724666
France	7	862417408.563366
Germany	7	1562858160.63054
Denmark	8	109918011.724666
France	8	862417408.563366
Germany	8	1562858160.63054
