Node,Energy_Type,Period,Type,Value
Austria,Windonshore,1,Generation,0.1704829574359792
Austria,Windonshore,2,Generation,0.05943238132664521
Austria,Windonshore,3,Generation,0.12965477179470736
Austria,Windonshore,4,Generation,0.13861644979485732
BosniaH,Windonshore,1,Generation,2160.704537591311
BosniaH,Windonshore,2,Generation,0.0689587348752376
BosniaH,Windonshore,3,Generation,0.13330019840077126
BosniaH,Windonshore,4,Generation,0.1798344878587544
Belgium,Windonshore,1,Generation,0.12350727311331866
Belgium,Windonshore,2,Generation,0.05874898298092465
Belgium,Windonshore,3,Generation,1.3600945370081843
Belgium,Windonshore,4,Generation,0.06003856087905755
Bulgaria,Windonshore,1,Generation,6715.129329058627
Bulgaria,Windonshore,2,Generation,0.07834169586649797
Bulgaria,Windonshore,3,Generation,5295.78366427721
Bulgaria,Windonshore,4,Generation,0.25600079392720576
Switzerland,Windonshore,1,Generation,0.11386870871490373
Switzerland,Windonshore,2,Generation,0.009154258190314336
Switzerland,Windonshore,3,Generation,0.03609079190810093
Switzerland,Windonshore,4,Generation,0.09211674496598292
CzechR,Windonshore,1,Generation,0.0462611089803886
CzechR,Windonshore,2,Generation,0.03286770201659708
CzechR,Windonshore,3,Generation,0.48889112516571515
CzechR,Windonshore,4,Generation,0.3249497277497806
Germany,Windonshore,1,Generation,0.007993044717295561
Germany,Windonshore,2,Generation,1.0175145934140397
Germany,Windonshore,3,Generation,0.9248280653492688
Germany,Windonshore,4,Generation,0.12550808209851233
Denmark,Windonshore,1,Generation,11576.839672791008
Denmark,Windonshore,2,Generation,0.010591226967166713
Denmark,Windonshore,3,Generation,0.04740389547504301
Denmark,Windonshore,4,Generation,0.021586535174042066
Estonia,Windonshore,1,Generation,0.5527809960549348
Estonia,Windonshore,2,Generation,0.02303457716300338
Estonia,Windonshore,3,Generation,0.5063427073975992
Estonia,Windonshore,4,Generation,0.1256952915665363
Spain,Windonshore,1,Generation,1583.9472177096577
Spain,Windonshore,2,Generation,0.08277744417995489
Spain,Windonshore,3,Generation,32762.9063802648
Spain,Windonshore,4,Generation,0.2825740973876839
Finland,Windonshore,1,Generation,12332.72287988612
Finland,Windonshore,2,Generation,0.01740015022231053
Finland,Windonshore,3,Generation,0.7182826278081978
Finland,Windonshore,4,Generation,0.059230823507228865
France,Windonshore,1,Generation,0.6854374701688357
France,Windonshore,2,Generation,0.01097952486558832
France,Windonshore,3,Generation,0.8456361745968266
France,Windonshore,4,Generation,0.02510940819391301
GreatBrit.,Windonshore,1,Generation,0.5291543718321918
GreatBrit.,Windonshore,2,Generation,0.01256731147140417
GreatBrit.,Windonshore,3,Generation,43651.40680585357
GreatBrit.,Windonshore,4,Generation,0.029952723836871083
Greece,Windonshore,1,Generation,0.05827831926399085
Greece,Windonshore,2,Generation,0.06491289437292935
Greece,Windonshore,3,Generation,746.3396323428061
Greece,Windonshore,4,Generation,0.3145191084043367
Croatia,Windonshore,1,Generation,169.8771841570183
Croatia,Windonshore,2,Generation,0.0892776541551621
Croatia,Windonshore,3,Generation,0.19805527045221558
Croatia,Windonshore,4,Generation,0.1273174782263013
Hungary,Windonshore,1,Generation,0.0421778035018292
Hungary,Windonshore,2,Generation,0.03833958664500791
Hungary,Windonshore,3,Generation,0.6997377998641993
Hungary,Windonshore,4,Generation,0.41481368018463055
Ireland,Windonshore,1,Generation,0.12864952495965554
Ireland,Windonshore,2,Generation,0.0719745778297469
Ireland,Windonshore,3,Generation,0.46487696443621224
Ireland,Windonshore,4,Generation,0.21580273348994367
Italy,Windonshore,1,Generation,0.3453468018742569
Italy,Windonshore,2,Generation,0.00993320497954375
Italy,Windonshore,3,Generation,0.12636165822292278
Italy,Windonshore,4,Generation,0.14199498822643405
Lithuania,Windonshore,1,Generation,3315.9954145213123
Lithuania,Windonshore,2,Generation,0.02427757952551932
Lithuania,Windonshore,3,Generation,0.29175772812165796
Lithuania,Windonshore,4,Generation,0.41272606792179006
Luxemb.,Windonshore,1,Generation,0.14806945737610988
Luxemb.,Windonshore,2,Generation,0.007636737236008148
Luxemb.,Windonshore,3,Generation,0.03010783130934388
Luxemb.,Windonshore,4,Generation,0.04601436695742554
Latvia,Windonshore,1,Generation,1.73502943232225
Latvia,Windonshore,2,Generation,0.016135490762800086
Latvia,Windonshore,3,Generation,0.23731732680996911
Latvia,Windonshore,4,Generation,0.2234012138884394
Macedonia,Windonshore,1,Generation,0.07533306407724893
Macedonia,Windonshore,2,Generation,0.09049112777572882
Macedonia,Windonshore,3,Generation,0.3757677116917613
Macedonia,Windonshore,4,Generation,0.035694716911166664
Netherlands,Windonshore,1,Generation,0.23334682111953953
Netherlands,Windonshore,2,Generation,0.06056686742558825
Netherlands,Windonshore,3,Generation,0.971086469443536
Netherlands,Windonshore,4,Generation,0.05708665603461138
Poland,Windonshore,1,Generation,0.2773703447328444
Poland,Windonshore,2,Generation,0.021192612460831456
Poland,Windonshore,3,Generation,0.17653358082436033
Poland,Windonshore,4,Generation,0.055416872715693295
Portugal,Windonshore,1,Generation,0.3548393840010249
Portugal,Windonshore,2,Generation,0.3031505911404463
Portugal,Windonshore,3,Generation,4.629422517968886
Portugal,Windonshore,4,Generation,0.29032412916505035
Romania,Windonshore,1,Generation,0.2413267103884209
Romania,Windonshore,2,Generation,0.14735076653151213
Romania,Windonshore,3,Generation,3042.848958703252
Romania,Windonshore,4,Generation,0.17249567633903318
Serbia,Windonshore,1,Generation,0.03890695003886435
Serbia,Windonshore,2,Generation,0.10374384605883327
Serbia,Windonshore,3,Generation,0.5044925289546911
Serbia,Windonshore,4,Generation,0.3023213670977188
Sweden,Windonshore,1,Generation,50239.44659317655
Sweden,Windonshore,2,Generation,0.0075686388335357326
Sweden,Windonshore,3,Generation,0.05408110402303508
Sweden,Windonshore,4,Generation,0.0301494773698825
Slovenia,Windonshore,1,Generation,0.3437014156127427
Slovenia,Windonshore,2,Generation,0.06833076972050614
Slovenia,Windonshore,3,Generation,0.10044722365445477
Slovenia,Windonshore,4,Generation,0.05795893793704944
Slovakia,Windonshore,1,Generation,0.04552239825973814
Slovakia,Windonshore,2,Generation,0.05063299985135508
Slovakia,Windonshore,3,Generation,0.27920583010580025
Slovakia,Windonshore,4,Generation,0.6414440000313625
Austria,Solar,1,Generation,120178.26228314861
Austria,Solar,2,Generation,1.2380662509715101
Austria,Solar,3,Generation,1.2199873718333705
Austria,Solar,4,Generation,0.3563344427057629
BosniaH,Solar,1,Generation,20007.623301668133
BosniaH,Solar,2,Generation,1.8814991499011067
BosniaH,Solar,3,Generation,0.6368637964559181
BosniaH,Solar,4,Generation,0.3901166040262211
Belgium,Solar,1,Generation,281846.6590294434
Belgium,Solar,2,Generation,275572.24039796536
Belgium,Solar,3,Generation,0.0017719723425567602
Belgium,Solar,4,Generation,0.005468525852531487
Bulgaria,Solar,1,Generation,52086.06696800503
Bulgaria,Solar,2,Generation,13084.88611243901
Bulgaria,Solar,3,Generation,0.8157024820590095
Bulgaria,Solar,4,Generation,2.074730271381289
Switzerland,Solar,1,Generation,232598.64417860255
Switzerland,Solar,2,Generation,0.6771401201975533
Switzerland,Solar,3,Generation,0.27345951767918897
Switzerland,Solar,4,Generation,4.329455147331646
CzechR,Solar,1,Generation,159339.53000796764
CzechR,Solar,2,Generation,20579.734962087303
CzechR,Solar,3,Generation,6.316276835463932
CzechR,Solar,4,Generation,396.8558961753312
Germany,Solar,1,Generation,499999.9592192788
Germany,Solar,2,Generation,500000.0091499846
Germany,Solar,3,Generation,48.388518874125765
Germany,Solar,4,Generation,162446.2764515842
Denmark,Solar,1,Generation,68999.997127751
Denmark,Solar,2,Generation,0.0007323307061884739
Denmark,Solar,3,Generation,0.001597782277211892
Denmark,Solar,4,Generation,0.008658852487408443
Estonia,Solar,1,Generation,19450.187289607235
Estonia,Solar,2,Generation,2.029060620931693
Estonia,Solar,3,Generation,0.008825559393692835
Estonia,Solar,4,Generation,1474.125367265654
Spain,Solar,1,Generation,313053.7332276237
Spain,Solar,2,Generation,0.8362251974548695
Spain,Solar,3,Generation,0.017219908604671243
Spain,Solar,4,Generation,2.7183747510837577
Finland,Solar,1,Generation,499999.96505809115
Finland,Solar,2,Generation,499999.9162074255
Finland,Solar,3,Generation,19.232838348485508
Finland,Solar,4,Generation,302867.4045651205
France,Solar,1,Generation,499999.9540158687
France,Solar,2,Generation,499999.9600932449
France,Solar,3,Generation,13.6615450956373
France,Solar,4,Generation,1.9955785143895644
GreatBrit.,Solar,1,Generation,499999.9805525329
GreatBrit.,Solar,2,Generation,499999.9542770418
GreatBrit.,Solar,3,Generation,7.64645316512141
GreatBrit.,Solar,4,Generation,456892.29853954655
Greece,Solar,1,Generation,87706.99038337434
Greece,Solar,2,Generation,19491.258111133433
Greece,Solar,3,Generation,1.704076487963164
Greece,Solar,4,Generation,3.032090423796406
Croatia,Solar,1,Generation,50745.60495213153
Croatia,Solar,2,Generation,1667.0830577490153
Croatia,Solar,3,Generation,2.290395028405819
Croatia,Solar,4,Generation,2.2624847592773847
Hungary,Solar,1,Generation,51084.6614644347
Hungary,Solar,2,Generation,15157.065538796729
Hungary,Solar,3,Generation,5.1538312237632145
Hungary,Solar,4,Generation,1.219942973241404
Ireland,Solar,1,Generation,96432.70991301148
Ireland,Solar,2,Generation,221425.19517198773
Ireland,Solar,3,Generation,0.20039032845189683
Ireland,Solar,4,Generation,6.333103640161469
Italy,Solar,1,Generation,499999.98546917265
Italy,Solar,2,Generation,39711.805121552854
Italy,Solar,3,Generation,0.018228247484793167
Italy,Solar,4,Generation,1.7563219943642068
Lithuania,Solar,1,Generation,43005.4337954215
Lithuania,Solar,2,Generation,33898.57179849203
Lithuania,Solar,3,Generation,0.19331524413117449
Lithuania,Solar,4,Generation,31221.09278723647
Luxemb.,Solar,1,Generation,49168.49569833021
Luxemb.,Solar,2,Generation,195593.18593879306
Luxemb.,Solar,3,Generation,1.5341312973332495
Luxemb.,Solar,4,Generation,7.986566545465996
Latvia,Solar,1,Generation,46616.55075783692
Latvia,Solar,2,Generation,52015.92832164917
Latvia,Solar,3,Generation,0.1284111727181259
Latvia,Solar,4,Generation,13365.947111620086
Macedonia,Solar,1,Generation,15813.908785818425
Macedonia,Solar,2,Generation,1.409558040179285
Macedonia,Solar,3,Generation,1.0220539156063975
Macedonia,Solar,4,Generation,2.730995245012192
Netherlands,Solar,1,Generation,374365.33557676896
Netherlands,Solar,2,Generation,182697.57546357618
Netherlands,Solar,3,Generation,0.001523125830715857
Netherlands,Solar,4,Generation,0.004844665933315761
Poland,Solar,1,Generation,467713.18447039684
Poland,Solar,2,Generation,5.123816145403952
Poland,Solar,3,Generation,0.03495629090987551
Poland,Solar,4,Generation,218628.00292073571
Portugal,Solar,1,Generation,73145.05427043802
Portugal,Solar,2,Generation,0.8756337405106356
Portugal,Solar,3,Generation,1.2718150341532493
Portugal,Solar,4,Generation,1.1211046820780135
Romania,Solar,1,Generation,99446.0707234218
Romania,Solar,2,Generation,145129.771691088
Romania,Solar,3,Generation,0.9766156736959789
Romania,Solar,4,Generation,2.589361733211325
Serbia,Solar,1,Generation,60641.58667578871
Serbia,Solar,2,Generation,4.035461160089435
Serbia,Solar,3,Generation,1.171773149160089
Serbia,Solar,4,Generation,2.02394358275218
Sweden,Solar,1,Generation,499999.98838337505
Sweden,Solar,2,Generation,499999.9652028063
Sweden,Solar,3,Generation,4.174107993541199
Sweden,Solar,4,Generation,302584.59728172235
Slovenia,Solar,1,Generation,55083.09043505149
Slovenia,Solar,2,Generation,8.105919117796438
Slovenia,Solar,3,Generation,0.4987998608447182
Slovenia,Solar,4,Generation,2.05035999682923
Slovakia,Solar,1,Generation,9694.44292409244
Slovakia,Solar,2,Generation,17935.248593239936
Slovakia,Solar,3,Generation,1.4362335130717068
Slovakia,Solar,4,Generation,27439.249737358812
NO1,Windonshore,1,Generation,0.07598036082373483
NO1,Windonshore,2,Generation,0.013099586322374897
NO1,Windonshore,3,Generation,0.13627051720051644
NO1,Windonshore,4,Generation,0.03824759502842095
NO2,Windonshore,1,Generation,8662.762071996834
NO2,Windonshore,2,Generation,0.011094874165097785
NO2,Windonshore,3,Generation,0.05580029786911936
NO2,Windonshore,4,Generation,0.00962000001141804
NO3,Windonshore,1,Generation,3937.639072913002
NO3,Windonshore,2,Generation,0.004131668010830544
NO3,Windonshore,3,Generation,0.009278458015768768
NO3,Windonshore,4,Generation,0.007994033386496603
NO4,Windonshore,1,Generation,4271.916952656971
NO4,Windonshore,2,Generation,0.011932189524776489
NO4,Windonshore,3,Generation,453.21441223813764
NO4,Windonshore,4,Generation,0.015564659971283977
NO5,Windonshore,1,Generation,5512.696502205016
NO5,Windonshore,2,Generation,0.004898234900567766
NO5,Windonshore,3,Generation,0.011009523459983487
NO5,Windonshore,4,Generation,0.007836984706616102
NO1,Solar,1,Generation,169384.12725277047
