Country,Energy_Type,Period,Type,Value
Germany,Liginiteexisting,1,Generation,0.0
Germany,Liginiteexisting,2,Generation,0.0
Germany,Liginiteexisting,3,Generation,0.0
Germany,Liginiteexisting,4,Generation,0.0
Germany,Liginiteexisting,5,Generation,0.0
Germany,Liginiteexisting,6,Generation,0.0
Germany,Liginiteexisting,7,Generation,0.0
Germany,Liginiteexisting,8,Generation,0.0
Germany,Lignite,1,Generation,50.726858748425926
Germany,Lignite,2,Generation,93535.15865234857
Germany,Lignite,3,Generation,90688.79153928776
Germany,Lignite,4,Generation,4741.494479869422
Germany,Lignite,5,Generation,3356.4822841406763
Germany,Lignite,6,Generation,5690.439517398748
Germany,Lignite,7,Generation,1896.8028320475942
Germany,Lignite,8,Generation,0.0007681813917459007
Germany,LigniteCCSadv,1,Generation,0.0
Germany,LigniteCCSadv,2,Generation,0.0
Germany,LigniteCCSadv,3,Generation,0.0
Germany,LigniteCCSadv,4,Generation,0.0
Germany,LigniteCCSadv,5,Generation,0.0
Germany,LigniteCCSadv,6,Generation,0.0
Germany,LigniteCCSadv,7,Generation,0.0
Germany,LigniteCCSadv,8,Generation,0.0
Germany,Coalexisting,1,Generation,0.0
Germany,Coalexisting,2,Generation,0.0
Germany,Coalexisting,3,Generation,0.0
Germany,Coalexisting,4,Generation,0.0
Germany,Coalexisting,5,Generation,0.0
Germany,Coalexisting,6,Generation,0.0
Germany,Coalexisting,7,Generation,0.0
Germany,Coalexisting,8,Generation,0.0
Denmark,Coalexisting,1,Generation,0.0
Denmark,Coalexisting,2,Generation,0.0
Denmark,Coalexisting,3,Generation,0.0
Denmark,Coalexisting,4,Generation,0.0
Denmark,Coalexisting,5,Generation,0.0
Denmark,Coalexisting,6,Generation,0.0
Denmark,Coalexisting,7,Generation,0.0
Denmark,Coalexisting,8,Generation,0.0
France,Coalexisting,1,Generation,0.0
France,Coalexisting,2,Generation,0.0
France,Coalexisting,3,Generation,0.0
France,Coalexisting,4,Generation,0.0
France,Coalexisting,5,Generation,0.0
France,Coalexisting,6,Generation,0.0
France,Coalexisting,7,Generation,0.0
France,Coalexisting,8,Generation,0.0
Germany,Coal,1,Generation,30.96611833330482
Germany,Coal,2,Generation,3.799349996877458
Germany,Coal,3,Generation,5.195409273928367
Germany,Coal,4,Generation,0.11885890525262202
Germany,Coal,5,Generation,0.008675485146655648
Germany,Coal,6,Generation,0.005777495749264695
Germany,Coal,7,Generation,0.007909454017693503
Germany,Coal,8,Generation,0.0007757153922491544
Denmark,Coal,1,Generation,8.236300341503462
Denmark,Coal,2,Generation,0.9761431306996239
Denmark,Coal,3,Generation,0.9526473326674868
Denmark,Coal,4,Generation,0.9485178421026337
Denmark,Coal,5,Generation,0.31661184392555775
Denmark,Coal,6,Generation,0.11265504264965398
Denmark,Coal,7,Generation,1.8858528060595254
Denmark,Coal,8,Generation,3.3217832861210224
France,Coal,1,Generation,27.519597279948936
France,Coal,2,Generation,41.55296455537847
France,Coal,3,Generation,0.280982532874791
France,Coal,4,Generation,0.13201932098660762
France,Coal,5,Generation,0.012303051956421238
France,Coal,6,Generation,0.0006232111822002931
France,Coal,7,Generation,0.16443339277480673
France,Coal,8,Generation,0.11215074535946948
Germany,CoalCCSadv,1,Generation,0.0
Germany,CoalCCSadv,2,Generation,0.0
Germany,CoalCCSadv,3,Generation,0.0
Germany,CoalCCSadv,4,Generation,0.0
Germany,CoalCCSadv,5,Generation,0.0
Germany,CoalCCSadv,6,Generation,0.0
Germany,CoalCCSadv,7,Generation,0.0
Germany,CoalCCSadv,8,Generation,0.0
Denmark,CoalCCSadv,1,Generation,0.0
Denmark,CoalCCSadv,2,Generation,0.0
Denmark,CoalCCSadv,3,Generation,0.0
Denmark,CoalCCSadv,4,Generation,0.0
Denmark,CoalCCSadv,5,Generation,0.0
Denmark,CoalCCSadv,6,Generation,0.0
Denmark,CoalCCSadv,7,Generation,0.0
Denmark,CoalCCSadv,8,Generation,0.0
France,CoalCCSadv,1,Generation,0.0
France,CoalCCSadv,2,Generation,0.0
France,CoalCCSadv,3,Generation,0.0
France,CoalCCSadv,4,Generation,0.0
France,CoalCCSadv,5,Generation,0.0
France,CoalCCSadv,6,Generation,0.0
France,CoalCCSadv,7,Generation,0.0
France,CoalCCSadv,8,Generation,0.0
Germany,Gasexisting,1,Generation,0.0
Germany,Gasexisting,2,Generation,0.0
Germany,Gasexisting,3,Generation,0.0
Germany,Gasexisting,4,Generation,0.0
Germany,Gasexisting,5,Generation,0.0
Germany,Gasexisting,6,Generation,0.0
Germany,Gasexisting,7,Generation,0.0
Germany,Gasexisting,8,Generation,0.0
Denmark,Gasexisting,1,Generation,0.0
Denmark,Gasexisting,2,Generation,0.0
Denmark,Gasexisting,3,Generation,0.0
Denmark,Gasexisting,4,Generation,0.0
Denmark,Gasexisting,5,Generation,0.0
Denmark,Gasexisting,6,Generation,0.0
Denmark,Gasexisting,7,Generation,0.0
Denmark,Gasexisting,8,Generation,0.0
France,Gasexisting,1,Generation,0.0
France,Gasexisting,2,Generation,0.0
France,Gasexisting,3,Generation,0.0
France,Gasexisting,4,Generation,0.0
France,Gasexisting,5,Generation,0.0
France,Gasexisting,6,Generation,0.0
France,Gasexisting,7,Generation,0.0
France,Gasexisting,8,Generation,0.0
Germany,GasOCGT,1,Generation,44.93513827796212
Germany,GasOCGT,2,Generation,0.018760981607449243
Germany,GasOCGT,3,Generation,0.0027236427801152823
Germany,GasOCGT,4,Generation,0.0022504611638314497
Germany,GasOCGT,5,Generation,0.0019393538447399108
Germany,GasOCGT,6,Generation,0.0029460902309485382
Germany,GasOCGT,7,Generation,8.258495661761259
Germany,GasOCGT,8,Generation,2.899420602637199
Denmark,GasOCGT,1,Generation,7814.853083348442
Denmark,GasOCGT,2,Generation,6357.1307001491205
Denmark,GasOCGT,3,Generation,0.015847319873956857
Denmark,GasOCGT,4,Generation,1.0933815745922504
Denmark,GasOCGT,5,Generation,0.17232014049119548
Denmark,GasOCGT,6,Generation,1969.98300021643
Denmark,GasOCGT,7,Generation,8846.003847124555
Denmark,GasOCGT,8,Generation,1.1267634527679986
France,GasOCGT,1,Generation,90240.69641627299
France,GasOCGT,2,Generation,0.015200514430498193
France,GasOCGT,3,Generation,0.005633956622138786
France,GasOCGT,4,Generation,0.005980609363110253
France,GasOCGT,5,Generation,0.0053279669661582246
France,GasOCGT,6,Generation,0.0078122403749955865
France,GasOCGT,7,Generation,111.36797499337551
France,GasOCGT,8,Generation,0.04106828514093198
Germany,GasCCGT,1,Generation,169401.27754115273
Germany,GasCCGT,2,Generation,9695.450327639533
Germany,GasCCGT,3,Generation,7932.03989961091
Germany,GasCCGT,4,Generation,9988.477666986319
Germany,GasCCGT,5,Generation,493.5561515242517
Germany,GasCCGT,6,Generation,2444.238673278411
Germany,GasCCGT,7,Generation,169437.9511052678
Germany,GasCCGT,8,Generation,9692.571109375727
Denmark,GasCCGT,1,Generation,13998.68666705825
Denmark,GasCCGT,2,Generation,5630.084336961597
Denmark,GasCCGT,3,Generation,11093.819594875451
Denmark,GasCCGT,4,Generation,8219.48952631168
Denmark,GasCCGT,5,Generation,13268.577709575195
Denmark,GasCCGT,6,Generation,7668.1919300654345
Denmark,GasCCGT,7,Generation,11366.011906717406
Denmark,GasCCGT,8,Generation,6747.41223551453
France,GasCCGT,1,Generation,98379.45983543427
France,GasCCGT,2,Generation,3611.439406006548
France,GasCCGT,3,Generation,2954.168433735392
France,GasCCGT,4,Generation,3720.0528058204345
France,GasCCGT,5,Generation,183.70405189867685
France,GasCCGT,6,Generation,910.420944027349
France,GasCCGT,7,Generation,163484.61840116046
France,GasCCGT,8,Generation,0.013330235655969329
Germany,GasCCSadv,1,Generation,0.0
Germany,GasCCSadv,2,Generation,0.0
Germany,GasCCSadv,3,Generation,0.0
Germany,GasCCSadv,4,Generation,0.0
Germany,GasCCSadv,5,Generation,0.0
Germany,GasCCSadv,6,Generation,0.0
Germany,GasCCSadv,7,Generation,0.0
Germany,GasCCSadv,8,Generation,0.0
Denmark,GasCCSadv,1,Generation,0.0
Denmark,GasCCSadv,2,Generation,0.0
Denmark,GasCCSadv,3,Generation,0.0
Denmark,GasCCSadv,4,Generation,0.0
Denmark,GasCCSadv,5,Generation,0.0
Denmark,GasCCSadv,6,Generation,0.0
Denmark,GasCCSadv,7,Generation,0.0
Denmark,GasCCSadv,8,Generation,0.0
France,GasCCSadv,1,Generation,0.0
France,GasCCSadv,2,Generation,0.0
France,GasCCSadv,3,Generation,0.0
France,GasCCSadv,4,Generation,0.0
France,GasCCSadv,5,Generation,0.0
France,GasCCSadv,6,Generation,0.0
France,GasCCSadv,7,Generation,0.0
France,GasCCSadv,8,Generation,0.0
Germany,Oilexisting,1,Generation,0.0
Germany,Oilexisting,2,Generation,0.0
Germany,Oilexisting,3,Generation,0.0
Germany,Oilexisting,4,Generation,0.0
Germany,Oilexisting,5,Generation,0.0
Germany,Oilexisting,6,Generation,0.0
