Node,Energy_Type,Period,Type,Value
Germany,Liginiteexisting,1,Generation,0.0
Germany,Liginiteexisting,2,Generation,0.0
Germany,Liginiteexisting,3,Generation,0.0
Germany,Liginiteexisting,4,Generation,0.0
Germany,Liginiteexisting,5,Generation,0.0
Germany,Liginiteexisting,6,Generation,0.0
Germany,Liginiteexisting,7,Generation,0.0
Germany,Liginiteexisting,8,Generation,0.0
Germany,Lignite,1,Generation,2.6686803219105812e-06
Germany,Lignite,2,Generation,6.239776594751908e-07
Germany,Lignite,3,Generation,7.248980838047859e-07
Germany,Lignite,4,Generation,7.409285112070917e-07
Germany,Lignite,5,Generation,9.654711915795218e-07
Germany,Lignite,6,Generation,1.2447939415083302e-06
Germany,Lignite,7,Generation,1.7012221985166505e-06
Germany,Lignite,8,Generation,2.346321907165589e-06
Germany,LigniteCCSadv,1,Generation,0.0
Germany,LigniteCCSadv,2,Generation,0.0
Germany,LigniteCCSadv,3,Generation,0.0
Germany,LigniteCCSadv,4,Generation,0.0
Germany,LigniteCCSadv,5,Generation,0.0
Germany,LigniteCCSadv,6,Generation,0.0
Germany,LigniteCCSadv,7,Generation,0.0
Germany,LigniteCCSadv,8,Generation,0.0
Germany,Coalexisting,1,Generation,0.0
Germany,Coalexisting,2,Generation,0.0
Germany,Coalexisting,3,Generation,0.0
Germany,Coalexisting,4,Generation,0.0
Germany,Coalexisting,5,Generation,0.0
Germany,Coalexisting,6,Generation,0.0
Germany,Coalexisting,7,Generation,0.0
Germany,Coalexisting,8,Generation,0.0
Denmark,Coalexisting,1,Generation,0.0
Denmark,Coalexisting,2,Generation,0.0
Denmark,Coalexisting,3,Generation,0.0
Denmark,Coalexisting,4,Generation,0.0
Denmark,Coalexisting,5,Generation,0.0
Denmark,Coalexisting,6,Generation,0.0
Denmark,Coalexisting,7,Generation,0.0
Denmark,Coalexisting,8,Generation,0.0
France,Coalexisting,1,Generation,0.0
France,Coalexisting,2,Generation,0.0
France,Coalexisting,3,Generation,0.0
France,Coalexisting,4,Generation,0.0
France,Coalexisting,5,Generation,0.0
France,Coalexisting,6,Generation,0.0
France,Coalexisting,7,Generation,0.0
France,Coalexisting,8,Generation,0.0
Germany,Coal,1,Generation,2.9766275552428957e-06
Germany,Coal,2,Generation,6.733547383246814e-07
Germany,Coal,3,Generation,8.55458984482708e-07
Germany,Coal,4,Generation,9.098059985570734e-07
Germany,Coal,5,Generation,1.1851508496194877e-06
Germany,Coal,6,Generation,1.4646503808693732e-06
Germany,Coal,7,Generation,1.9689593042923957e-06
Germany,Coal,8,Generation,2.706819520946797e-06
Denmark,Coal,1,Generation,2.915191775055934e-06
Denmark,Coal,2,Generation,7.087520520794873e-07
Denmark,Coal,3,Generation,8.862944819241063e-07
Denmark,Coal,4,Generation,9.219148026682138e-07
Denmark,Coal,5,Generation,1.2100334813961904e-06
Denmark,Coal,6,Generation,1.5118746276669794e-06
Denmark,Coal,7,Generation,8.056440187229378e-06
Denmark,Coal,8,Generation,3.062193457931836e-11
France,Coal,1,Generation,2.9371871524838375e-06
France,Coal,2,Generation,7.25507972337777e-07
France,Coal,3,Generation,8.689528260208635e-07
France,Coal,4,Generation,9.046437343443115e-07
France,Coal,5,Generation,1.1981458706521605e-06
France,Coal,6,Generation,1.540257920165845e-06
France,Coal,7,Generation,2.0361789000910258e-06
France,Coal,8,Generation,2.6989044966752834e-06
Germany,CoalCCSadv,1,Generation,0.0
Germany,CoalCCSadv,2,Generation,0.0
Germany,CoalCCSadv,3,Generation,0.0
Germany,CoalCCSadv,4,Generation,0.0
Germany,CoalCCSadv,5,Generation,0.0
Germany,CoalCCSadv,6,Generation,0.0
Germany,CoalCCSadv,7,Generation,0.0
Germany,CoalCCSadv,8,Generation,0.0
Denmark,CoalCCSadv,1,Generation,0.0
Denmark,CoalCCSadv,2,Generation,0.0
Denmark,CoalCCSadv,3,Generation,0.0
Denmark,CoalCCSadv,4,Generation,0.0
Denmark,CoalCCSadv,5,Generation,0.0
Denmark,CoalCCSadv,6,Generation,0.0
Denmark,CoalCCSadv,7,Generation,0.0
Denmark,CoalCCSadv,8,Generation,0.0
France,CoalCCSadv,1,Generation,0.0
France,CoalCCSadv,2,Generation,0.0
France,CoalCCSadv,3,Generation,0.0
France,CoalCCSadv,4,Generation,0.0
France,CoalCCSadv,5,Generation,0.0
France,CoalCCSadv,6,Generation,0.0
France,CoalCCSadv,7,Generation,0.0
France,CoalCCSadv,8,Generation,0.0
Germany,Gasexisting,1,Generation,0.0
Germany,Gasexisting,2,Generation,0.0
Germany,Gasexisting,3,Generation,0.0
Germany,Gasexisting,4,Generation,0.0
Germany,Gasexisting,5,Generation,0.0
Germany,Gasexisting,6,Generation,0.0
Germany,Gasexisting,7,Generation,0.0
Germany,Gasexisting,8,Generation,0.0
Denmark,Gasexisting,1,Generation,0.0
Denmark,Gasexisting,2,Generation,0.0
Denmark,Gasexisting,3,Generation,0.0
Denmark,Gasexisting,4,Generation,0.0
Denmark,Gasexisting,5,Generation,0.0
Denmark,Gasexisting,6,Generation,0.0
Denmark,Gasexisting,7,Generation,0.0
Denmark,Gasexisting,8,Generation,0.0
France,Gasexisting,1,Generation,0.0
France,Gasexisting,2,Generation,0.0
France,Gasexisting,3,Generation,0.0
France,Gasexisting,4,Generation,0.0
France,Gasexisting,5,Generation,0.0
France,Gasexisting,6,Generation,0.0
France,Gasexisting,7,Generation,0.0
France,Gasexisting,8,Generation,0.0
Germany,GasOCGT,1,Generation,6.336217209435769e-06
Germany,GasOCGT,2,Generation,1.686938251980736e-06
Germany,GasOCGT,3,Generation,2.0833224599708195e-06
Germany,GasOCGT,4,Generation,2.7245115153195316e-06
Germany,GasOCGT,5,Generation,3.0912439156042313e-06
Germany,GasOCGT,6,Generation,3.886166112774707e-06
Germany,GasOCGT,7,Generation,1.1161867687674807e-05
Germany,GasOCGT,8,Generation,8.249041725577232e-06
Denmark,GasOCGT,1,Generation,5.762097756366394e-06
Denmark,GasOCGT,2,Generation,3.199016691008294e-06
Denmark,GasOCGT,3,Generation,1.5365828959765563e-06
Denmark,GasOCGT,4,Generation,2.343948356952433e-06
Denmark,GasOCGT,5,Generation,3.1607928741080184e-06
Denmark,GasOCGT,6,Generation,3.771441368048341e-06
Denmark,GasOCGT,7,Generation,0.00015737660399865435
Denmark,GasOCGT,8,Generation,4.046799378671699e-09
France,GasOCGT,1,Generation,6.332891497844174e-06
France,GasOCGT,2,Generation,1.6666338666493245e-06
France,GasOCGT,3,Generation,2.104257719219333e-06
France,GasOCGT,4,Generation,2.763219048782311e-06
France,GasOCGT,5,Generation,3.1028859050894284e-06
France,GasOCGT,6,Generation,3.859311656281633e-06
France,GasOCGT,7,Generation,1.1119984736744018e-05
France,GasOCGT,8,Generation,8.289310036421715e-06
Germany,GasCCGT,1,Generation,5.041123453604735e-06
Germany,GasCCGT,2,Generation,8.311158924711841e-07
Germany,GasCCGT,3,Generation,2.184471772131953e-06
Germany,GasCCGT,4,Generation,1.4011381341007398e-06
Germany,GasCCGT,5,Generation,3.534328131961551e-06
Germany,GasCCGT,6,Generation,2.57826088671746e-06
Germany,GasCCGT,7,Generation,9.729719727298973e-06
Germany,GasCCGT,8,Generation,6.214983687784337e-06
Denmark,GasCCGT,1,Generation,4.6960206610874484e-06
Denmark,GasCCGT,2,Generation,1.7978932663616696e-06
Denmark,GasCCGT,3,Generation,1.5371053229197877e-06
Denmark,GasCCGT,4,Generation,1.394861791156258e-06
Denmark,GasCCGT,5,Generation,3.4123381464709702e-06
Denmark,GasCCGT,6,Generation,2.8066959812880804e-06
Denmark,GasCCGT,7,Generation,5.543713299930908e-05
Denmark,GasCCGT,8,Generation,9.375139896817842e-07
France,GasCCGT,1,Generation,5.0491389719718006e-06
France,GasCCGT,2,Generation,8.381782976506774e-07
France,GasCCGT,3,Generation,2.15844062709117e-06
France,GasCCGT,4,Generation,1.4226899475944935e-06
France,GasCCGT,5,Generation,3.5432681772966806e-06
France,GasCCGT,6,Generation,2.5835752007515367e-06
France,GasCCGT,7,Generation,9.725034535732387e-06
France,GasCCGT,8,Generation,6.227106951722665e-06
Germany,GasCCSadv,1,Generation,0.0
Germany,GasCCSadv,2,Generation,0.0
Germany,GasCCSadv,3,Generation,0.0
Germany,GasCCSadv,4,Generation,0.0
Germany,GasCCSadv,5,Generation,0.0
Germany,GasCCSadv,6,Generation,0.0
Germany,GasCCSadv,7,Generation,0.0
Germany,GasCCSadv,8,Generation,0.0
Denmark,GasCCSadv,1,Generation,0.0
Denmark,GasCCSadv,2,Generation,0.0
Denmark,GasCCSadv,3,Generation,0.0
Denmark,GasCCSadv,4,Generation,0.0
Denmark,GasCCSadv,5,Generation,0.0
Denmark,GasCCSadv,6,Generation,0.0
Denmark,GasCCSadv,7,Generation,0.0
Denmark,GasCCSadv,8,Generation,0.0
France,GasCCSadv,1,Generation,0.0
France,GasCCSadv,2,Generation,0.0
France,GasCCSadv,3,Generation,0.0
