Node,Energy_Type,Period,Type,Value
Austria,Solar,1,Generation,372000.2763869665
Austria,Solar,2,Generation,372000.27140459936
Austria,Solar,3,Generation,372000.17055192415
Austria,Solar,4,Generation,372000.2426127727
Austria,Solar,5,Generation,372000.1859543765
Austria,Solar,6,Generation,372000.1094831901
Austria,Solar,7,Generation,372000.0273834397
Austria,Solar,8,Generation,371999.9119699661
BosniaH,Solar,1,Generation,83851.10776369541
BosniaH,Solar,2,Generation,129731.10339788566
BosniaH,Solar,3,Generation,202868.25347270182
BosniaH,Solar,4,Generation,202868.5381988873
BosniaH,Solar,5,Generation,203030.7951730161
BosniaH,Solar,6,Generation,144002.9686840885
BosniaH,Solar,7,Generation,111566.35542541544
BosniaH,Solar,8,Generation,38543.39101139416
Belgium,Solar,1,Generation,503581.2152471171
Belgium,Solar,2,Generation,561000.1529608186
Belgium,Solar,3,Generation,561000.0981903763
Belgium,Solar,4,Generation,561000.1225164863
Belgium,Solar,5,Generation,561000.1546273406
Belgium,Solar,6,Generation,559209.8163129194
Belgium,Solar,7,Generation,560999.8380259316
Belgium,Solar,8,Generation,560999.9688132697
Bulgaria,Solar,1,Generation,174726.06027239063
Bulgaria,Solar,2,Generation,302827.1625757932
Bulgaria,Solar,3,Generation,302828.66471165733
Bulgaria,Solar,4,Generation,302830.29505999485
Bulgaria,Solar,5,Generation,332383.18767649605
Bulgaria,Solar,6,Generation,188223.6936049182
Bulgaria,Solar,7,Generation,207108.29760870186
Bulgaria,Solar,8,Generation,232641.59463744372
Switzerland,Solar,1,Generation,372000.222845551
Switzerland,Solar,2,Generation,372000.2658593035
Switzerland,Solar,3,Generation,372000.22504821466
Switzerland,Solar,4,Generation,372000.2131448955
Switzerland,Solar,5,Generation,372000.1872626429
Switzerland,Solar,6,Generation,372000.0585753487
Switzerland,Solar,7,Generation,371999.93651412975
Switzerland,Solar,8,Generation,371999.798686669
CzechR,Solar,1,Generation,502048.386868268
CzechR,Solar,2,Generation,692999.9598388145
CzechR,Solar,3,Generation,692999.9956196297
CzechR,Solar,4,Generation,692999.7478606543
CzechR,Solar,5,Generation,693000.1018434833
CzechR,Solar,6,Generation,691975.9762257397
CzechR,Solar,7,Generation,692997.0623229217
CzechR,Solar,8,Generation,692997.8495969243
Germany,Solar,1,Generation,543922.329731005
Germany,Solar,2,Generation,1043922.6325668719
Germany,Solar,3,Generation,1373000.1496111986
Germany,Solar,4,Generation,1373000.1972372162
Germany,Solar,5,Generation,1373000.2824936192
Germany,Solar,6,Generation,1351039.322283098
Germany,Solar,7,Generation,1329078.3285698013
Germany,Solar,8,Generation,1373000.0925381363
Denmark,Solar,1,Generation,70000.34721343183
Denmark,Solar,2,Generation,70000.20321222093
Denmark,Solar,3,Generation,70000.19797656388
Denmark,Solar,4,Generation,70000.19503082246
Denmark,Solar,5,Generation,70000.28883837292
Denmark,Solar,6,Generation,70000.24385805099
Denmark,Solar,7,Generation,70000.20599528869
Denmark,Solar,8,Generation,70000.12434795285
Estonia,Solar,1,Generation,112000.04325869793
Estonia,Solar,2,Generation,112000.1928302596
Estonia,Solar,3,Generation,112000.0195398582
Estonia,Solar,4,Generation,111999.96280449933
Estonia,Solar,5,Generation,112000.06676411247
Estonia,Solar,6,Generation,111999.7231619134
Estonia,Solar,7,Generation,111999.38802581871
Estonia,Solar,8,Generation,111999.55004987272
Spain,Solar,1,Generation,504714.3645250705
Spain,Solar,2,Generation,1004714.7574436311
Spain,Solar,3,Generation,1504714.923869407
Spain,Solar,4,Generation,2004714.7730666078
Spain,Solar,5,Generation,2479838.327031373
Spain,Solar,6,Generation,2477480.3214583504
Spain,Solar,7,Generation,2475122.0944615398
Spain,Solar,8,Generation,2475119.0448096367
Finland,Solar,1,Generation,500113.2673308931
Finland,Solar,2,Generation,1000112.968667712
Finland,Solar,3,Generation,1302998.3120169847
Finland,Solar,4,Generation,1302999.514285933
Finland,Solar,5,Generation,1302999.8057116577
Finland,Solar,6,Generation,1302942.7903280724
Finland,Solar,7,Generation,1302885.4815512705
Finland,Solar,8,Generation,1302997.3620187112
France,Solar,1,Generation,508526.3354597306
France,Solar,2,Generation,1008526.6795427379
France,Solar,3,Generation,1128000.1931184845
France,Solar,4,Generation,1128000.2408574272
France,Solar,5,Generation,1128000.3121707388
France,Solar,6,Generation,1123737.397491166
France,Solar,7,Generation,1119474.3263351454
France,Solar,8,Generation,1128000.1350209722
GreatBrit.,Solar,1,Generation,513100.3314423901
GreatBrit.,Solar,2,Generation,1013100.7011666798
GreatBrit.,Solar,3,Generation,1469999.6661034175
GreatBrit.,Solar,4,Generation,1470000.0910649463
GreatBrit.,Solar,5,Generation,1470000.275206655
GreatBrit.,Solar,6,Generation,1463450.4082198683
GreatBrit.,Solar,7,Generation,1456900.3116646449
GreatBrit.,Solar,8,Generation,1469999.850709913
Greece,Solar,1,Generation,295984.87185142026
Greece,Solar,2,Generation,377682.79572957876
Greece,Solar,3,Generation,377683.8877118445
Greece,Solar,4,Generation,377684.4358721572
Greece,Solar,5,Generation,377703.8591918002
Greece,Solar,6,Generation,200770.9871143262
Greece,Solar,7,Generation,339212.2539009194
Greece,Solar,8,Generation,339226.3168020272
Croatia,Solar,1,Generation,142130.44757631712
Croatia,Solar,2,Generation,204999.7555481986
Croatia,Solar,3,Generation,204999.6549628774
Croatia,Solar,4,Generation,204999.38311944154
Croatia,Solar,5,Generation,204999.9473252679
Croatia,Solar,6,Generation,204999.82016928028
Croatia,Solar,7,Generation,146510.59409267487
Croatia,Solar,8,Generation,146514.13063391045
Hungary,Solar,1,Generation,205000.29022394298
Hungary,Solar,2,Generation,205000.0341970352
Hungary,Solar,3,Generation,204999.83357945064
Hungary,Solar,4,Generation,204999.60385484673
Hungary,Solar,5,Generation,205000.15675713413
Hungary,Solar,6,Generation,205000.03193803193
Hungary,Solar,7,Generation,204997.58976279522
Hungary,Solar,8,Generation,204997.98131264682
Ireland,Solar,1,Generation,483212.21109442384
Ireland,Solar,2,Generation,983212.0377902699
Ireland,Solar,3,Generation,1008114.7488001159
Ireland,Solar,4,Generation,1008114.7033021166
Ireland,Solar,5,Generation,1008115.3389035349
Ireland,Solar,6,Generation,749800.9206965092
Ireland,Solar,7,Generation,749688.1729788339
Ireland,Solar,8,Generation,724785.5962362373
Italy,Solar,1,Generation,520120.2064737141
Italy,Solar,2,Generation,625000.2989256785
Italy,Solar,3,Generation,625000.3217782073
Italy,Solar,4,Generation,625000.3214761976
Italy,Solar,5,Generation,625000.3252289284
Italy,Solar,6,Generation,614940.5569735786
Italy,Solar,7,Generation,625000.2860787883
Italy,Solar,8,Generation,625000.2851612491
Lithuania,Solar,1,Generation,112000.28853488118
Lithuania,Solar,2,Generation,112000.2586205766
Lithuania,Solar,3,Generation,112000.07878297698
Lithuania,Solar,4,Generation,112000.03290288006
Lithuania,Solar,5,Generation,112000.08281180065
Lithuania,Solar,6,Generation,111999.95263071805
Lithuania,Solar,7,Generation,111999.267434215
Lithuania,Solar,8,Generation,111999.28295267528
Luxemb.,Solar,1,Generation,120656.57631702191
Luxemb.,Solar,2,Generation,247322.2177213604
Luxemb.,Solar,3,Generation,426352.1284872401
Luxemb.,Solar,4,Generation,426352.3640586471
Luxemb.,Solar,5,Generation,559214.8049403809
Luxemb.,Solar,6,Generation,438631.525724118
Luxemb.,Solar,7,Generation,311951.6744940857
Luxemb.,Solar,8,Generation,206534.70150193598
Latvia,Solar,1,Generation,112000.08733729993
Latvia,Solar,2,Generation,112000.19338807787
Latvia,Solar,3,Generation,112000.02524181115
Latvia,Solar,4,Generation,111999.99921029239
Latvia,Solar,5,Generation,112000.19023857567
Latvia,Solar,6,Generation,111999.72935559007
Latvia,Solar,7,Generation,111999.58531473186
Latvia,Solar,8,Generation,111999.59999155391
Macedonia,Solar,1,Generation,45591.2901556056
Macedonia,Solar,2,Generation,73538.4442175878
Macedonia,Solar,3,Generation,73544.73969923277
Macedonia,Solar,4,Generation,73546.15371714531
Macedonia,Solar,5,Generation,91971.196374891
Macedonia,Solar,6,Generation,46398.72392359541
Macedonia,Solar,7,Generation,57200.27981650748
Macedonia,Solar,8,Generation,57205.08099773573
Netherlands,Solar,1,Generation,503937.2200481883
Netherlands,Solar,2,Generation,561000.2128947469
Netherlands,Solar,3,Generation,561000.1331822169
Netherlands,Solar,4,Generation,561000.192154948
Netherlands,Solar,5,Generation,561000.1592422515
Netherlands,Solar,6,Generation,559031.5709622663
Netherlands,Solar,7,Generation,560999.8615524154
Netherlands,Solar,8,Generation,561000.1168503761
Poland,Solar,1,Generation,500399.29394154873
Poland,Solar,2,Generation,693000.2662417908
Poland,Solar,3,Generation,693000.2565395423
Poland,Solar,4,Generation,693000.19282565
Poland,Solar,5,Generation,693000.2779161342
Poland,Solar,6,Generation,692800.6858822849
Poland,Solar,7,Generation,692999.5941797728
Poland,Solar,8,Generation,692999.9460413442
Portugal,Solar,1,Generation,239740.12402838975
Portugal,Solar,2,Generation,295491.34476145427
Portugal,Solar,3,Generation,556611.9871957627
Portugal,Solar,4,Generation,556612.1961107177
Portugal,Solar,5,Generation,556620.6469489459
Portugal,Solar,6,Generation,317169.7923460221
Portugal,Solar,7,Generation,265010.0993785944
Portugal,Solar,8,Generation,247876.974895455
Romania,Solar,1,Generation,474344.6270142253
Romania,Solar,2,Generation,546999.6157393035
Romania,Solar,3,Generation,546999.329317568
Romania,Solar,4,Generation,546999.0603571557
Romania,Solar,5,Generation,546999.140913188
Romania,Solar,6,Generation,381861.91038140235
Romania,Solar,7,Generation,405136.69514050876
Romania,Solar,8,Generation,405139.4852393532
Serbia,Solar,1,Generation,230644.2387141821
Serbia,Solar,2,Generation,389728.00612594874
Serbia,Solar,3,Generation,389728.3464644401
Serbia,Solar,4,Generation,389728.39187463856
Serbia,Solar,5,Generation,546999.8033374578
Serbia,Solar,6,Generation,316522.523792629
Serbia,Solar,7,Generation,311188.6216940769
Serbia,Solar,8,Generation,311190.3453941678
Sweden,Solar,1,Generation,500411.3023968568
Sweden,Solar,2,Generation,1000411.6405492661
Sweden,Solar,3,Generation,1302998.5470126385
Sweden,Solar,4,Generation,1302999.4642045721
Sweden,Solar,5,Generation,1303000.4920955703
Sweden,Solar,6,Generation,1302794.832386814
Sweden,Solar,7,Generation,1302588.5856130307
Sweden,Solar,8,Generation,1302998.9109250132
Slovenia,Solar,1,Generation,177279.0506662398
Slovenia,Solar,2,Generation,204999.9836203078
Slovenia,Solar,3,Generation,204999.81158082376
Slovenia,Solar,4,Generation,204999.52966101543
Slovenia,Solar,5,Generation,204999.89096516967
Slovenia,Solar,6,Generation,204999.65618298805
Slovenia,Solar,7,Generation,177136.4747376155
Slovenia,Solar,8,Generation,177144.17341163493
Slovakia,Solar,1,Generation,500530.4833751177
Slovakia,Solar,2,Generation,692997.8159449839
Slovakia,Solar,3,Generation,692997.9607065447
Slovakia,Solar,4,Generation,692997.9479323374
Slovakia,Solar,5,Generation,692999.5339006928
Slovakia,Solar,6,Generation,374790.6287173234
Slovakia,Solar,7,Generation,277581.9385482456
Slovakia,Solar,8,Generation,277585.11543151154
Austria,Waste,1,Generation,23.12099287264071
Austria,Waste,2,Generation,23.115852197668957
Austria,Waste,3,Generation,23.104954008566455
Austria,Waste,4,Generation,23.111748497728367
Austria,Waste,5,Generation,23.06134081438396
Austria,Waste,6,Generation,23.046376752774794
Austria,Waste,7,Generation,23.036948040768763
Austria,Waste,8,Generation,23.011060770506155
BosniaH,Waste,1,Generation,0.0
BosniaH,Waste,2,Generation,0.0
BosniaH,Waste,3,Generation,0.0
BosniaH,Waste,4,Generation,0.0
BosniaH,Waste,5,Generation,0.0
BosniaH,Waste,6,Generation,0.0
BosniaH,Waste,7,Generation,0.0
BosniaH,Waste,8,Generation,0.0
Belgium,Waste,1,Generation,317.1256792860341
Belgium,Waste,2,Generation,317.1244295155984
Belgium,Waste,3,Generation,317.11794155477475
Belgium,Waste,4,Generation,317.10945542890437
Belgium,Waste,5,Generation,317.1045228514622
Belgium,Waste,6,Generation,317.08860882740356
Belgium,Waste,7,Generation,317.0852737709876
Belgium,Waste,8,Generation,317.090636798851
Bulgaria,Waste,1,Generation,0.0
Bulgaria,Waste,2,Generation,0.0
Bulgaria,Waste,3,Generation,0.0
Bulgaria,Waste,4,Generation,0.0
Bulgaria,Waste,5,Generation,0.0
Bulgaria,Waste,6,Generation,0.0
Bulgaria,Waste,7,Generation,0.0
Bulgaria,Waste,8,Generation,0.0
Switzerland,Waste,1,Generation,443.12408350695125
Switzerland,Waste,2,Generation,443.11948964098
Switzerland,Waste,3,Generation,443.1154400976622
Switzerland,Waste,4,Generation,443.11370474509624
Switzerland,Waste,5,Generation,443.0950666027818
Switzerland,Waste,6,Generation,443.08121088315374
Switzerland,Waste,7,Generation,443.0671612814263
Switzerland,Waste,8,Generation,443.05140298388943
CzechR,Waste,1,Generation,105.00726098124629
CzechR,Waste,2,Generation,105.01023226156012
CzechR,Waste,3,Generation,105.00806335555718
CzechR,Waste,4,Generation,104.99022171136876
CzechR,Waste,5,Generation,104.98401106390884
CzechR,Waste,6,Generation,104.96099395807101
CzechR,Waste,7,Generation,104.94315596862805
CzechR,Waste,8,Generation,104.94299229984931
Germany,Waste,1,Generation,1873.213430974324
Germany,Waste,2,Generation,1873.2239781578667
Germany,Waste,3,Generation,1873.2143180799628
Germany,Waste,4,Generation,1873.207930753298
Germany,Waste,5,Generation,1873.201607361191
Germany,Waste,6,Generation,1873.1897701739458
Germany,Waste,7,Generation,1873.1822241686102
Germany,Waste,8,Generation,1873.1752946836473
Denmark,Waste,1,Generation,339.16512644806795
Denmark,Waste,2,Generation,339.17326270559477
Denmark,Waste,3,Generation,339.1679908830774
Denmark,Waste,4,Generation,339.16402700994865
Denmark,Waste,5,Generation,339.170726518397
Denmark,Waste,6,Generation,339.16181880711497
Denmark,Waste,7,Generation,339.15929308594536
Denmark,Waste,8,Generation,339.1516796362937
Estonia,Waste,1,Generation,20.984259135881224
Estonia,Waste,2,Generation,21.013689758513323
Estonia,Waste,3,Generation,21.011816671406752
Estonia,Waste,4,Generation,21.009345013319766
Estonia,Waste,5,Generation,20.962557916822306
Estonia,Waste,6,Generation,20.925458154239475
Estonia,Waste,7,Generation,20.90774926119418
Estonia,Waste,8,Generation,20.890964051361124
Spain,Waste,1,Generation,714.0288293983136
Spain,Waste,2,Generation,714.0221742038751
Spain,Waste,3,Generation,714.0108631114256
Spain,Waste,4,Generation,713.9952625805956
Spain,Waste,5,Generation,713.970386368173
Spain,Waste,6,Generation,713.969653399505
Spain,Waste,7,Generation,713.9663100831045
Spain,Waste,8,Generation,713.9668591549545
Finland,Waste,1,Generation,165.92530786242256
Finland,Waste,2,Generation,165.92266412923786
Finland,Waste,3,Generation,165.9201674864309
Finland,Waste,4,Generation,165.91639802853783
Finland,Waste,5,Generation,165.90397885915178
Finland,Waste,6,Generation,165.8878993177465
Finland,Waste,7,Generation,165.87329020926728
Finland,Waste,8,Generation,165.86185519418189
France,Waste,1,Generation,927.1819786731742
France,Waste,2,Generation,927.1751896857345
France,Waste,3,Generation,927.1697125636883
France,Waste,4,Generation,927.1633879543917
France,Waste,5,Generation,927.1625351578786
France,Waste,6,Generation,927.1551636387089
France,Waste,7,Generation,927.1463734784862
France,Waste,8,Generation,927.1440570823596
GreatBrit.,Waste,1,Generation,5.262099875764114
GreatBrit.,Waste,2,Generation,5.272835127457872
GreatBrit.,Waste,3,Generation,5.261026114048903
GreatBrit.,Waste,4,Generation,5.254642944353749
GreatBrit.,Waste,5,Generation,5.243526097891884
GreatBrit.,Waste,6,Generation,5.229200198090115
GreatBrit.,Waste,7,Generation,5.223700441844101
GreatBrit.,Waste,8,Generation,5.21636647385525
Greece,Waste,1,Generation,0.0
Greece,Waste,2,Generation,0.0
Greece,Waste,3,Generation,0.0
Greece,Waste,4,Generation,0.0
Greece,Waste,5,Generation,0.0
Greece,Waste,6,Generation,0.0
Greece,Waste,7,Generation,0.0
Greece,Waste,8,Generation,0.0
Croatia,Waste,1,Generation,6.053649675931272
Croatia,Waste,2,Generation,6.237081591875482
Croatia,Waste,3,Generation,6.23654314436568
Croatia,Waste,4,Generation,6.217599398148575
Croatia,Waste,5,Generation,6.220994331780835
Croatia,Waste,6,Generation,6.059840791047251
Croatia,Waste,7,Generation,6.0435702688553405
Croatia,Waste,8,Generation,6.050916034745999
Hungary,Waste,1,Generation,0.0
Hungary,Waste,2,Generation,0.0
Hungary,Waste,3,Generation,0.0
Hungary,Waste,4,Generation,0.0
Hungary,Waste,5,Generation,0.0
Hungary,Waste,6,Generation,0.0
Hungary,Waste,7,Generation,0.0
Hungary,Waste,8,Generation,0.0
Ireland,Waste,1,Generation,83.72560240434682
Ireland,Waste,2,Generation,84.00640623708246
Ireland,Waste,3,Generation,83.99117776016601
Ireland,Waste,4,Generation,83.97332041568603
Ireland,Waste,5,Generation,83.69327332906764
Ireland,Waste,6,Generation,83.43041691196075
Ireland,Waste,7,Generation,83.86171616006101
Ireland,Waste,8,Generation,83.86477243727738
Italy,Waste,1,Generation,445.23254888220396
Italy,Waste,2,Generation,445.22848494531235
Italy,Waste,3,Generation,445.2274928706443
Italy,Waste,4,Generation,445.2238734737871
Italy,Waste,5,Generation,445.2212376729837
Italy,Waste,6,Generation,445.21620542270904
Italy,Waste,7,Generation,445.20885217936626
Italy,Waste,8,Generation,445.20425051631565
Lithuania,Waste,1,Generation,21.01390466194103
Lithuania,Waste,2,Generation,21.014368361715487
Lithuania,Waste,3,Generation,21.01216073023552
Lithuania,Waste,4,Generation,21.010629861008248
Lithuania,Waste,5,Generation,20.95892135868211
Lithuania,Waste,6,Generation,20.93782720675995
Lithuania,Waste,7,Generation,20.920233390535277
Lithuania,Waste,8,Generation,20.902442011102206
Luxemb.,Waste,1,Generation,21.64277047139639
Luxemb.,Waste,2,Generation,21.95973989559932
Luxemb.,Waste,3,Generation,22.00879611724976
Luxemb.,Waste,4,Generation,21.989007646106593
Luxemb.,Waste,5,Generation,21.93852582841484
Luxemb.,Waste,6,Generation,21.606630458342394
Luxemb.,Waste,7,Generation,21.54934836072388
Luxemb.,Waste,8,Generation,21.576777509889258
Latvia,Waste,1,Generation,0.0
Latvia,Waste,2,Generation,0.0
Latvia,Waste,3,Generation,0.0
Latvia,Waste,4,Generation,0.0
Latvia,Waste,5,Generation,0.0
Latvia,Waste,6,Generation,0.0
Latvia,Waste,7,Generation,0.0
Latvia,Waste,8,Generation,0.0
Macedonia,Waste,1,Generation,0.0
Macedonia,Waste,2,Generation,0.0
Macedonia,Waste,3,Generation,0.0
Macedonia,Waste,4,Generation,0.0
Macedonia,Waste,5,Generation,0.0
Macedonia,Waste,6,Generation,0.0
Macedonia,Waste,7,Generation,0.0
Macedonia,Waste,8,Generation,0.0
Netherlands,Waste,1,Generation,795.9251991621286
Netherlands,Waste,2,Generation,795.9186085485119
Netherlands,Waste,3,Generation,795.9120536336575
Netherlands,Waste,4,Generation,795.9030870365605
Netherlands,Waste,5,Generation,795.8937006091536
Netherlands,Waste,6,Generation,795.8813830535181
Netherlands,Waste,7,Generation,795.8744854942107
Netherlands,Waste,8,Generation,795.8856787069687
Poland,Waste,1,Generation,59.88179790691274
Poland,Waste,2,Generation,59.87589211655787
Poland,Waste,3,Generation,59.870800816062044
Poland,Waste,4,Generation,59.86570711496305
Poland,Waste,5,Generation,59.8597218034212
Poland,Waste,6,Generation,59.84666812996863
Poland,Waste,7,Generation,59.834729718099595
Poland,Waste,8,Generation,59.82956451715344
Portugal,Waste,1,Generation,0.0
Portugal,Waste,2,Generation,0.0
Portugal,Waste,3,Generation,0.0
Portugal,Waste,4,Generation,0.0
Portugal,Waste,5,Generation,0.0
Portugal,Waste,6,Generation,0.0
Portugal,Waste,7,Generation,0.0
Portugal,Waste,8,Generation,0.0
Romania,Waste,1,Generation,0.0
Romania,Waste,2,Generation,0.0
Romania,Waste,3,Generation,0.0
Romania,Waste,4,Generation,0.0
Romania,Waste,5,Generation,0.0
Romania,Waste,6,Generation,0.0
Romania,Waste,7,Generation,0.0
Romania,Waste,8,Generation,0.0
Serbia,Waste,1,Generation,0.0
Serbia,Waste,2,Generation,0.0
Serbia,Waste,3,Generation,0.0
Serbia,Waste,4,Generation,0.0
Serbia,Waste,5,Generation,0.0
Serbia,Waste,6,Generation,0.0
Serbia,Waste,7,Generation,0.0
Serbia,Waste,8,Generation,0.0
Sweden,Waste,1,Generation,467.26080536488934
Sweden,Waste,2,Generation,467.2696756501736
Sweden,Waste,3,Generation,467.26587415856613
Sweden,Waste,4,Generation,467.2552742010044
Sweden,Waste,5,Generation,467.24896765909045
Sweden,Waste,6,Generation,467.2352217890261
Sweden,Waste,7,Generation,467.22272121981484
Sweden,Waste,8,Generation,467.2230874876655
Slovenia,Waste,1,Generation,8.197957928953063
Slovenia,Waste,2,Generation,8.346733937872221
Slovenia,Waste,3,Generation,8.346154225430135
Slovenia,Waste,4,Generation,8.326846754747036
Slovenia,Waste,5,Generation,8.296698008582833
Slovenia,Waste,6,Generation,8.154303949961392
Slovenia,Waste,7,Generation,8.137290760535747
Slovenia,Waste,8,Generation,8.144075400140432
Slovakia,Waste,1,Generation,19.86722349287848
Slovakia,Waste,2,Generation,19.905130904722746
Slovakia,Waste,3,Generation,19.884710509002872
Slovakia,Waste,4,Generation,19.86885834454978
Slovakia,Waste,5,Generation,19.739180527629117
Slovakia,Waste,6,Generation,19.682056762342448
Slovakia,Waste,7,Generation,19.6850310634193
Slovakia,Waste,8,Generation,19.68756114834565
NO1,Solar,1,Generation,169390.2908332508
NO1,Solar,2,Generation,169390.1904992698
NO1,Solar,3,Generation,169389.96473292698
NO1,Solar,4,Generation,169390.16553521997
NO1,Solar,5,Generation,169389.97598060273
NO1,Solar,6,Generation,169389.80939677983
NO1,Solar,7,Generation,169389.315218201
NO1,Solar,8,Generation,169390.00228060526
NO2,Solar,1,Generation,429990.12988704734
NO2,Solar,2,Generation,429990.13468096004
NO2,Solar,3,Generation,429989.9302196598
NO2,Solar,4,Generation,429990.0967121342
NO2,Solar,5,Generation,429990.0035191746
NO2,Solar,6,Generation,429989.4042430732
NO2,Solar,7,Generation,429988.6189302434
NO2,Solar,8,Generation,429989.37721311057
NO3,Solar,1,Generation,195450.10642937326
NO3,Solar,2,Generation,195450.06043978932
NO3,Solar,3,Generation,195449.82939229245
NO3,Solar,4,Generation,195450.3150780432
NO3,Solar,5,Generation,195450.28462672955
NO3,Solar,6,Generation,195449.90512998402
NO3,Solar,7,Generation,195448.91748785123
NO3,Solar,8,Generation,195449.99068352836
NO4,Solar,1,Generation,234539.26921504235
NO4,Solar,2,Generation,234539.28642904808
NO4,Solar,3,Generation,234539.22096230416
NO4,Solar,4,Generation,234540.07598212708
NO4,Solar,5,Generation,234540.3670532674
NO4,Solar,6,Generation,234539.62118980437
NO4,Solar,7,Generation,234538.32569014965
NO4,Solar,8,Generation,234539.68424594638
NO5,Solar,1,Generation,273630.02814474667
NO5,Solar,2,Generation,273629.9716250497
NO5,Solar,3,Generation,273629.8023102501
NO5,Solar,4,Generation,273629.8270295016
NO5,Solar,5,Generation,273629.84525410173
NO5,Solar,6,Generation,273629.12844932603
NO5,Solar,7,Generation,273628.3481891032
NO5,Solar,8,Generation,273629.72370179964
NO1,Waste,1,Generation,0.0
NO1,Waste,2,Generation,0.0
NO1,Waste,3,Generation,0.0
NO1,Waste,4,Generation,0.0
NO1,Waste,5,Generation,0.0
NO1,Waste,6,Generation,0.0
NO1,Waste,7,Generation,0.0
NO1,Waste,8,Generation,0.0
NO2,Waste,1,Generation,0.0
NO2,Waste,2,Generation,0.0
NO2,Waste,3,Generation,0.0
NO2,Waste,4,Generation,0.0
NO2,Waste,5,Generation,0.0
NO2,Waste,6,Generation,0.0
NO2,Waste,7,Generation,0.0
NO2,Waste,8,Generation,0.0
NO3,Waste,1,Generation,0.0
NO3,Waste,2,Generation,0.0
NO3,Waste,3,Generation,0.0
NO3,Waste,4,Generation,0.0
NO3,Waste,5,Generation,0.0
NO3,Waste,6,Generation,0.0
NO3,Waste,7,Generation,0.0
NO3,Waste,8,Generation,0.0
NO4,Waste,1,Generation,0.0
NO4,Waste,2,Generation,0.0
NO4,Waste,3,Generation,0.0
NO4,Waste,4,Generation,0.0
NO4,Waste,5,Generation,0.0
NO4,Waste,6,Generation,0.0
NO4,Waste,7,Generation,0.0
NO4,Waste,8,Generation,0.0
NO5,Waste,1,Generation,0.0
NO5,Waste,2,Generation,0.0
NO5,Waste,3,Generation,0.0
NO5,Waste,4,Generation,0.0
NO5,Waste,5,Generation,0.0
NO5,Waste,6,Generation,0.0
NO5,Waste,7,Generation,0.0
NO5,Waste,8,Generation,0.0
Switzerland,Austria,1,Transmission,1700.0129572629335
Switzerland,Austria,2,Transmission,4904.919837609876
Switzerland,Austria,3,Transmission,4904.918211443823
Switzerland,Austria,4,Transmission,4904.899569394233
Switzerland,Austria,5,Transmission,4904.879314950146
Switzerland,Austria,6,Transmission,4904.859735303252
Switzerland,Austria,7,Transmission,4904.84690338035
Switzerland,Austria,8,Transmission,4904.930415263318
CzechR,Austria,1,Transmission,1200.0165951915956
CzechR,Austria,2,Transmission,1403.4529754249086
CzechR,Austria,3,Transmission,1403.4425085240298
CzechR,Austria,4,Transmission,1403.4785605878458
CzechR,Austria,5,Transmission,1403.4623247771046
CzechR,Austria,6,Transmission,1403.4443798542022
CzechR,Austria,7,Transmission,1403.4357017168018
CzechR,Austria,8,Transmission,1403.4648117248737
Germany,Austria,1,Transmission,3432.408643070811
Germany,Austria,2,Transmission,3432.389547234682
Germany,Austria,3,Transmission,3432.386807869269
Germany,Austria,4,Transmission,3432.3880441318793
Germany,Austria,5,Transmission,3432.381854174391
Germany,Austria,6,Transmission,3432.3865450499225
Germany,Austria,7,Transmission,3432.3829213979
Germany,Austria,8,Transmission,3432.3894415452137
Hungary,Austria,1,Transmission,1200.0117074056486
Hungary,Austria,2,Transmission,1687.3320231198604
Hungary,Austria,3,Transmission,1687.3314285851538
Hungary,Austria,4,Transmission,1687.3303249138805
Hungary,Austria,5,Transmission,1687.3146197967471
Hungary,Austria,6,Transmission,1687.2961643709586
Hungary,Austria,7,Transmission,1687.290685932066
Hungary,Austria,8,Transmission,1687.3146829827374
Italy,Austria,1,Transmission,555.0190020179822
Italy,Austria,2,Transmission,1148.4778794291988
Italy,Austria,3,Transmission,1148.4676639448928
Italy,Austria,4,Transmission,1148.4779392818743
Italy,Austria,5,Transmission,1148.4761321817307
Italy,Austria,6,Transmission,1148.4766028394752
Italy,Austria,7,Transmission,1148.4775126410864
Italy,Austria,8,Transmission,1148.478426250395
Slovenia,Austria,1,Transmission,1200.0207137997104
Slovenia,Austria,2,Transmission,1594.1295963129992
Slovenia,Austria,3,Transmission,1594.1263848188626
Slovenia,Austria,4,Transmission,1594.1196713115612
Slovenia,Austria,5,Transmission,1594.111402485316
Slovenia,Austria,6,Transmission,1594.1251439601936
Slovenia,Austria,7,Transmission,1594.127955020149
Slovenia,Austria,8,Transmission,1594.1196135177415
Slovakia,Austria,1,Transmission,0.0
Slovakia,Austria,2,Transmission,914.1575693475922
