Node,Energy_Type,Period,Type,Value
Germany,Liginiteexisting,1,Generation,0.0
Germany,Liginiteexisting,2,Generation,0.0
Germany,Liginiteexisting,3,Generation,0.0
Germany,Liginiteexisting,4,Generation,0.0
Germany,Liginiteexisting,5,Generation,0.0
Germany,Liginiteexisting,6,Generation,0.0
Germany,Liginiteexisting,7,Generation,0.0
Germany,Liginiteexisting,8,Generation,0.0
Germany,Lignite,1,Generation,5.322763924600269e-09
Germany,Lignite,2,Generation,1.2612703784594036e-09
Germany,Lignite,3,Generation,1.4684999319588865e-09
Germany,Lignite,4,Generation,1.5394467237257567e-09
Germany,Lignite,5,Generation,2.008433248959642e-09
Germany,Lignite,6,Generation,2.574278689612572e-09
Germany,Lignite,7,Generation,3.5086075948496782e-09
Germany,Lignite,8,Generation,4.923168756718825e-09
Germany,LigniteCCSadv,1,Generation,0.0
Germany,LigniteCCSadv,2,Generation,0.0
Germany,LigniteCCSadv,3,Generation,0.0
Germany,LigniteCCSadv,4,Generation,0.0
Germany,LigniteCCSadv,5,Generation,0.0
Germany,LigniteCCSadv,6,Generation,0.0
Germany,LigniteCCSadv,7,Generation,0.0
Germany,LigniteCCSadv,8,Generation,0.0
Germany,Coalexisting,1,Generation,0.0
Germany,Coalexisting,2,Generation,0.0
Germany,Coalexisting,3,Generation,0.0
Germany,Coalexisting,4,Generation,0.0
Germany,Coalexisting,5,Generation,0.0
Germany,Coalexisting,6,Generation,0.0
Germany,Coalexisting,7,Generation,0.0
Germany,Coalexisting,8,Generation,0.0
Denmark,Coalexisting,1,Generation,0.0
Denmark,Coalexisting,2,Generation,0.0
Denmark,Coalexisting,3,Generation,0.0
Denmark,Coalexisting,4,Generation,0.0
Denmark,Coalexisting,5,Generation,0.0
Denmark,Coalexisting,6,Generation,0.0
Denmark,Coalexisting,7,Generation,0.0
Denmark,Coalexisting,8,Generation,0.0
France,Coalexisting,1,Generation,0.0
France,Coalexisting,2,Generation,0.0
France,Coalexisting,3,Generation,0.0
France,Coalexisting,4,Generation,0.0
France,Coalexisting,5,Generation,0.0
France,Coalexisting,6,Generation,0.0
France,Coalexisting,7,Generation,0.0
France,Coalexisting,8,Generation,0.0
Germany,Coal,1,Generation,5.939870578884568e-09
Germany,Coal,2,Generation,1.3647286189007747e-09
Germany,Coal,3,Generation,1.731604081499179e-09
Germany,Coal,4,Generation,1.8850165537289413e-09
Germany,Coal,5,Generation,2.45899425211945e-09
Germany,Coal,6,Generation,3.0299501614824096e-09
Germany,Coal,7,Generation,4.072798536176403e-09
Germany,Coal,8,Generation,5.702673154985496e-09
Denmark,Coal,1,Generation,5.939958816990084e-09
Denmark,Coal,2,Generation,1.3651985570517103e-09
Denmark,Coal,3,Generation,1.7307208188076596e-09
Denmark,Coal,4,Generation,1.884696335333676e-09
Denmark,Coal,5,Generation,2.459513895449738e-09
Denmark,Coal,6,Generation,3.0552523905519738e-09
Denmark,Coal,7,Generation,1.641209312621902e-08
Denmark,Coal,8,Generation,1.7183955589325237e-09
France,Coal,1,Generation,5.939953346639552e-09
France,Coal,2,Generation,1.3646698199824766e-09
France,Coal,3,Generation,1.7314399807310977e-09
France,Coal,4,Generation,1.8848117180596833e-09
France,Coal,5,Generation,2.4586481240834473e-09
France,Coal,6,Generation,3.031933864886197e-09
France,Coal,7,Generation,4.068917252806616e-09
France,Coal,8,Generation,5.704945439032684e-09
Germany,CoalCCSadv,1,Generation,0.0
Germany,CoalCCSadv,2,Generation,0.0
Germany,CoalCCSadv,3,Generation,0.0
Germany,CoalCCSadv,4,Generation,0.0
Germany,CoalCCSadv,5,Generation,0.0
Germany,CoalCCSadv,6,Generation,0.0
Germany,CoalCCSadv,7,Generation,0.0
Germany,CoalCCSadv,8,Generation,0.0
Denmark,CoalCCSadv,1,Generation,0.0
Denmark,CoalCCSadv,2,Generation,0.0
Denmark,CoalCCSadv,3,Generation,0.0
Denmark,CoalCCSadv,4,Generation,0.0
Denmark,CoalCCSadv,5,Generation,0.0
Denmark,CoalCCSadv,6,Generation,0.0
Denmark,CoalCCSadv,7,Generation,0.0
Denmark,CoalCCSadv,8,Generation,0.0
France,CoalCCSadv,1,Generation,0.0
France,CoalCCSadv,2,Generation,0.0
France,CoalCCSadv,3,Generation,0.0
France,CoalCCSadv,4,Generation,0.0
France,CoalCCSadv,5,Generation,0.0
France,CoalCCSadv,6,Generation,0.0
France,CoalCCSadv,7,Generation,0.0
France,CoalCCSadv,8,Generation,0.0
Germany,Gasexisting,1,Generation,0.0
Germany,Gasexisting,2,Generation,0.0
Germany,Gasexisting,3,Generation,0.0
Germany,Gasexisting,4,Generation,0.0
Germany,Gasexisting,5,Generation,0.0
Germany,Gasexisting,6,Generation,0.0
Germany,Gasexisting,7,Generation,0.0
Germany,Gasexisting,8,Generation,0.0
Denmark,Gasexisting,1,Generation,0.0
Denmark,Gasexisting,2,Generation,0.0
Denmark,Gasexisting,3,Generation,0.0
Denmark,Gasexisting,4,Generation,0.0
Denmark,Gasexisting,5,Generation,0.0
Denmark,Gasexisting,6,Generation,0.0
Denmark,Gasexisting,7,Generation,0.0
Denmark,Gasexisting,8,Generation,0.0
France,Gasexisting,1,Generation,0.0
France,Gasexisting,2,Generation,0.0
France,Gasexisting,3,Generation,0.0
France,Gasexisting,4,Generation,0.0
France,Gasexisting,5,Generation,0.0
France,Gasexisting,6,Generation,0.0
France,Gasexisting,7,Generation,0.0
France,Gasexisting,8,Generation,0.0
Germany,GasOCGT,1,Generation,1.2810227257011868e-08
Germany,GasOCGT,2,Generation,3.456291739414445e-09
Germany,GasOCGT,3,Generation,4.3031379469463625e-09
Germany,GasOCGT,4,Generation,5.356184986470946e-09
Germany,GasOCGT,5,Generation,6.8955594094383354e-09
Germany,GasOCGT,6,Generation,8.574429542468383e-09
Germany,GasOCGT,7,Generation,2.36986760188712e-08
Germany,GasOCGT,8,Generation,1.8064849628375367e-08
Denmark,GasOCGT,1,Generation,1.2401488949270224e-08
Denmark,GasOCGT,2,Generation,4.546431468336476e-09
Denmark,GasOCGT,3,Generation,3.744904303900923e-09
Denmark,GasOCGT,4,Generation,5.152011226257805e-09
Denmark,GasOCGT,5,Generation,6.651046432963385e-09
Denmark,GasOCGT,6,Generation,9.329022510057503e-09
Denmark,GasOCGT,7,Generation,3.6391089710852446e-07
Denmark,GasOCGT,8,Generation,1.9230366629373854e-10
France,GasOCGT,1,Generation,1.2810060200803321e-08
France,GasOCGT,2,Generation,3.4567354947726114e-09
France,GasOCGT,3,Generation,4.302118021574312e-09
France,GasOCGT,4,Generation,5.369680125105183e-09
France,GasOCGT,5,Generation,6.9334470267346695e-09
France,GasOCGT,6,Generation,8.437808354647326e-09
France,GasOCGT,7,Generation,2.3782362496530565e-08
France,GasOCGT,8,Generation,1.806979969739284e-08
Germany,GasCCGT,1,Generation,1.0136828262085856e-08
Germany,GasCCGT,2,Generation,1.7344667476310936e-09
Germany,GasCCGT,3,Generation,4.435603403507851e-09
Germany,GasCCGT,4,Generation,2.860099049699025e-09
Germany,GasCCGT,5,Generation,7.331732783401539e-09
Germany,GasCCGT,6,Generation,5.731736110899201e-09
Germany,GasCCGT,7,Generation,2.0520407375107768e-08
Germany,GasCCGT,8,Generation,1.3675935716349341e-08
Denmark,GasCCGT,1,Generation,9.94535230826481e-09
Denmark,GasCCGT,2,Generation,2.1986484007689e-09
Denmark,GasCCGT,3,Generation,4.165576189713737e-09
Denmark,GasCCGT,4,Generation,2.8499405178730817e-09
Denmark,GasCCGT,5,Generation,7.345233462197069e-09
Denmark,GasCCGT,6,Generation,5.748882570945817e-09
Denmark,GasCCGT,7,Generation,1.2720760404644226e-07
Denmark,GasCCGT,8,Generation,2.77493754069564e-10
France,GasCCGT,1,Generation,1.013685336590794e-08
France,GasCCGT,2,Generation,1.7342909631971639e-09
France,GasCCGT,3,Generation,4.4347146159893e-09
France,GasCCGT,4,Generation,2.8611226926588707e-09
France,GasCCGT,5,Generation,7.4124246693740235e-09
France,GasCCGT,6,Generation,5.5491410183607635e-09
France,GasCCGT,7,Generation,2.062779261454472e-08
France,GasCCGT,8,Generation,1.3661889688163978e-08
Germany,GasCCSadv,1,Generation,0.0
Germany,GasCCSadv,2,Generation,0.0
Germany,GasCCSadv,3,Generation,0.0
Germany,GasCCSadv,4,Generation,0.0
Germany,GasCCSadv,5,Generation,0.0
Germany,GasCCSadv,6,Generation,0.0
Germany,GasCCSadv,7,Generation,0.0
Germany,GasCCSadv,8,Generation,0.0
Denmark,GasCCSadv,1,Generation,0.0
Denmark,GasCCSadv,2,Generation,0.0
Denmark,GasCCSadv,3,Generation,0.0
Denmark,GasCCSadv,4,Generation,0.0
Denmark,GasCCSadv,5,Generation,0.0
Denmark,GasCCSadv,6,Generation,0.0
Denmark,GasCCSadv,7,Generation,0.0
Denmark,GasCCSadv,8,Generation,0.0
France,GasCCSadv,1,Generation,0.0
France,GasCCSadv,2,Generation,0.0
France,GasCCSadv,3,Generation,0.0
