Node,Energy_Type,Period,Type,Value
Denmark,Bio10cofiring,1,Generation,7.727213091999323
Denmark,Bio10cofiring,2,Generation,0.1257712691608281
Denmark,Bio10cofiring,3,Generation,0.4109135122308361
Denmark,Bio10cofiring,4,Generation,0.34999966589100157
Denmark,Bio10cofiring,5,Generation,0.19572593386631273
Denmark,Bio10cofiring,6,Generation,0.2002115283548683
Denmark,Bio10cofiring,7,Generation,1.438315980664515
Denmark,Bio10cofiring,8,Generation,0.38129865561187476
Denmark,Bio10cofiringCCS,1,Generation,0.0
Denmark,Bio10cofiringCCS,2,Generation,0.0
Denmark,Bio10cofiringCCS,3,Generation,0.0
Denmark,Bio10cofiringCCS,4,Generation,0.0
Denmark,Bio10cofiringCCS,5,Generation,0.0
Denmark,Bio10cofiringCCS,6,Generation,0.0
Denmark,Bio10cofiringCCS,7,Generation,0.0
Denmark,Bio10cofiringCCS,8,Generation,0.0
Denmark,Bioexisting,1,Generation,0.0
Denmark,Bioexisting,2,Generation,0.0
Denmark,Bioexisting,3,Generation,0.0
Denmark,Bioexisting,4,Generation,0.0
Denmark,Bioexisting,5,Generation,0.0
Denmark,Bioexisting,6,Generation,0.0
Denmark,Bioexisting,7,Generation,0.0
Denmark,Bioexisting,8,Generation,0.0
Denmark,Coal,1,Generation,4.5859441908751775
Denmark,Coal,2,Generation,1.3610609271806395
Denmark,Coal,3,Generation,0.645341021925657
Denmark,Coal,4,Generation,0.29474334875237074
Denmark,Coal,5,Generation,0.5013467871426428
Denmark,Coal,6,Generation,0.1260686303096628
Denmark,Coal,7,Generation,4.794332623497675
Denmark,Coal,8,Generation,9.843991836512838
Denmark,CoalCCSadv,1,Generation,0.0
Denmark,CoalCCSadv,2,Generation,0.0
Denmark,CoalCCSadv,3,Generation,0.0
Denmark,CoalCCSadv,4,Generation,0.0
Denmark,CoalCCSadv,5,Generation,0.0
Denmark,CoalCCSadv,6,Generation,0.0
Denmark,CoalCCSadv,7,Generation,0.0
Denmark,CoalCCSadv,8,Generation,0.0
Denmark,Coalexisting,1,Generation,0.0
