Node,Energy_Type,Period,Type,Value
Germany,Liginiteexisting,1,Generation,0.0
Germany,Liginiteexisting,2,Generation,0.0
Germany,Liginiteexisting,3,Generation,0.0
Germany,Liginiteexisting,4,Generation,0.0
Germany,Liginiteexisting,5,Generation,0.0
Germany,Liginiteexisting,6,Generation,0.0
Germany,Liginiteexisting,7,Generation,0.0
Germany,Liginiteexisting,8,Generation,0.0
Germany,Lignite,1,Generation,1.421676204883926e-15
Germany,Lignite,2,Generation,18445.217009696928
Germany,Lignite,3,Generation,39176.59018200476
Germany,Lignite,4,Generation,23004.908242202182
Germany,Lignite,5,Generation,2.390541976802505e-14
Germany,Lignite,6,Generation,25670.3274148629
Germany,Lignite,7,Generation,1.7883427153251986e-14
Germany,Lignite,8,Generation,30442.031784461513
Germany,LigniteCCSadv,1,Generation,0.0
Germany,LigniteCCSadv,2,Generation,0.0
Germany,LigniteCCSadv,3,Generation,0.0
Germany,LigniteCCSadv,4,Generation,0.0
Germany,LigniteCCSadv,5,Generation,0.0
Germany,LigniteCCSadv,6,Generation,0.0
Germany,LigniteCCSadv,7,Generation,0.0
Germany,LigniteCCSadv,8,Generation,0.0
Germany,Coalexisting,1,Generation,0.0
Germany,Coalexisting,2,Generation,0.0
Germany,Coalexisting,3,Generation,0.0
Germany,Coalexisting,4,Generation,0.0
Germany,Coalexisting,5,Generation,0.0
Germany,Coalexisting,6,Generation,0.0
Germany,Coalexisting,7,Generation,0.0
Germany,Coalexisting,8,Generation,0.0
Denmark,Coalexisting,1,Generation,0.0
Denmark,Coalexisting,2,Generation,0.0
Denmark,Coalexisting,3,Generation,0.0
Denmark,Coalexisting,4,Generation,0.0
Denmark,Coalexisting,5,Generation,0.0
Denmark,Coalexisting,6,Generation,0.0
Denmark,Coalexisting,7,Generation,0.0
Denmark,Coalexisting,8,Generation,0.0
France,Coalexisting,1,Generation,0.0
France,Coalexisting,2,Generation,0.0
France,Coalexisting,3,Generation,0.0
France,Coalexisting,4,Generation,0.0
France,Coalexisting,5,Generation,0.0
France,Coalexisting,6,Generation,0.0
France,Coalexisting,7,Generation,0.0
France,Coalexisting,8,Generation,0.0
Germany,Coal,1,Generation,8.505752850630211e-16
Germany,Coal,2,Generation,2.2861744956338882e-15
Germany,Coal,3,Generation,1.855531477369844e-15
Germany,Coal,4,Generation,2.3232701666559046e-15
Germany,Coal,5,Generation,2.810170906285606e-15
Germany,Coal,6,Generation,5.2271994473463456e-15
Germany,Coal,7,Generation,7.138955768876699e-15
Germany,Coal,8,Generation,3.5672705260044375e-14
Denmark,Coal,1,Generation,7.994334575015085e-16
Denmark,Coal,2,Generation,1.735706191244547e-15
Denmark,Coal,3,Generation,1.854800301687222e-15
Denmark,Coal,4,Generation,2.2093824752430567e-15
Denmark,Coal,5,Generation,2.774127556845849e-15
Denmark,Coal,6,Generation,2.5229647386392e-15
Denmark,Coal,7,Generation,3.804605406795681e-15
Denmark,Coal,8,Generation,1.1928608961385572e-14
France,Coal,1,Generation,9.653297350709063e-16
France,Coal,2,Generation,1.889990534559208e-15
France,Coal,3,Generation,2.2491452505765287e-15
France,Coal,4,Generation,2.7606706831388695e-15
France,Coal,5,Generation,1.1967135183967939e-15
France,Coal,6,Generation,4.6035009918833484e-15
France,Coal,7,Generation,3.003632066466879e-15
France,Coal,8,Generation,1.1686180580825794e-14
Germany,CoalCCSadv,1,Generation,0.0
Germany,CoalCCSadv,2,Generation,0.0
Germany,CoalCCSadv,3,Generation,0.0
Germany,CoalCCSadv,4,Generation,0.0
Germany,CoalCCSadv,5,Generation,0.0
Germany,CoalCCSadv,6,Generation,0.0
Germany,CoalCCSadv,7,Generation,0.0
Germany,CoalCCSadv,8,Generation,0.0
Denmark,CoalCCSadv,1,Generation,0.0
Denmark,CoalCCSadv,2,Generation,0.0
Denmark,CoalCCSadv,3,Generation,0.0
Denmark,CoalCCSadv,4,Generation,0.0
Denmark,CoalCCSadv,5,Generation,0.0
Denmark,CoalCCSadv,6,Generation,0.0
Denmark,CoalCCSadv,7,Generation,0.0
Denmark,CoalCCSadv,8,Generation,0.0
France,CoalCCSadv,1,Generation,0.0
France,CoalCCSadv,2,Generation,0.0
France,CoalCCSadv,3,Generation,0.0
France,CoalCCSadv,4,Generation,0.0
France,CoalCCSadv,5,Generation,0.0
France,CoalCCSadv,6,Generation,0.0
France,CoalCCSadv,7,Generation,0.0
France,CoalCCSadv,8,Generation,0.0
Germany,Gasexisting,1,Generation,0.0
Germany,Gasexisting,2,Generation,0.0
Germany,Gasexisting,3,Generation,0.0
Germany,Gasexisting,4,Generation,0.0
Germany,Gasexisting,5,Generation,0.0
Germany,Gasexisting,6,Generation,0.0
Germany,Gasexisting,7,Generation,0.0
Germany,Gasexisting,8,Generation,0.0
Denmark,Gasexisting,1,Generation,0.0
Denmark,Gasexisting,2,Generation,0.0
Denmark,Gasexisting,3,Generation,0.0
Denmark,Gasexisting,4,Generation,0.0
Denmark,Gasexisting,5,Generation,0.0
Denmark,Gasexisting,6,Generation,0.0
Denmark,Gasexisting,7,Generation,0.0
Denmark,Gasexisting,8,Generation,0.0
France,Gasexisting,1,Generation,0.0
France,Gasexisting,2,Generation,0.0
France,Gasexisting,3,Generation,0.0
France,Gasexisting,4,Generation,0.0
France,Gasexisting,5,Generation,0.0
France,Gasexisting,6,Generation,0.0
France,Gasexisting,7,Generation,0.0
France,Gasexisting,8,Generation,0.0
Germany,GasOCGT,1,Generation,4.630021128991422e-15
Germany,GasOCGT,2,Generation,59746.65277649859
Germany,GasOCGT,3,Generation,22597.085205111594
Germany,GasOCGT,4,Generation,33218.741799116906
Germany,GasOCGT,5,Generation,10926.044918526277
Germany,GasOCGT,6,Generation,8445.370003459493
Germany,GasOCGT,7,Generation,4244.499910722517
Germany,GasOCGT,8,Generation,4.080816320128695e-14
Denmark,GasOCGT,1,Generation,6.513913872880825e-15
Denmark,GasOCGT,2,Generation,2531.558398174055
Denmark,GasOCGT,3,Generation,3.036224789043061e-14
Denmark,GasOCGT,4,Generation,3950.8934717234806
Denmark,GasOCGT,5,Generation,3.5099234551744207e-14
Denmark,GasOCGT,6,Generation,6.194637920037709e-15
Denmark,GasOCGT,7,Generation,1.4064958317619656e-14
Denmark,GasOCGT,8,Generation,5.543883932783759e-10
France,GasOCGT,1,Generation,1245.9244202882135
France,GasOCGT,2,Generation,50576.8611044828
France,GasOCGT,3,Generation,14798.09027349225
France,GasOCGT,4,Generation,9196.710958374519
France,GasOCGT,5,Generation,1.8878257065340613e-15
France,GasOCGT,6,Generation,11766.357285626746
France,GasOCGT,7,Generation,1.1735214372870467e-14
France,GasOCGT,8,Generation,16625.164888529947
Germany,GasCCGT,1,Generation,3.1147278290655544e-15
Germany,GasCCGT,2,Generation,1.3404807746094368e-14
Germany,GasCCGT,3,Generation,9.621009846828325e-15
Germany,GasCCGT,4,Generation,7.77763440445843e-15
Germany,GasCCGT,5,Generation,1.43662298419378e-14
Germany,GasCCGT,6,Generation,1.6479445474404024e-14
Germany,GasCCGT,7,Generation,1.135958009971693e-14
Germany,GasCCGT,8,Generation,28541.542322746158
Denmark,GasCCGT,1,Generation,2.9562084121818317e-15
Denmark,GasCCGT,2,Generation,1.491062263813209e-14
Denmark,GasCCGT,3,Generation,5.679962030956418e-15
Denmark,GasCCGT,4,Generation,1.5255665826919538e-14
Denmark,GasCCGT,5,Generation,6.593985952198805e-15
Denmark,GasCCGT,6,Generation,5.903451605528327e-15
Denmark,GasCCGT,7,Generation,2.6684913981914062e-14
Denmark,GasCCGT,8,Generation,1.0381636088492407e-14
France,GasCCGT,1,Generation,5.315417954778177e-15
France,GasCCGT,2,Generation,7.758889521065235e-15
France,GasCCGT,3,Generation,6.568762507847426e-14
France,GasCCGT,4,Generation,1.83322233563424e-14
France,GasCCGT,5,Generation,1.5789256614286324e-15
France,GasCCGT,6,Generation,4.1856590480908243e-14
France,GasCCGT,7,Generation,4.683770471743758e-15
France,GasCCGT,8,Generation,1.3677275650260534e-14
Germany,GasCCSadv,1,Generation,0.0
Germany,GasCCSadv,2,Generation,0.0
Germany,GasCCSadv,3,Generation,0.0
Germany,GasCCSadv,4,Generation,0.0
Germany,GasCCSadv,5,Generation,0.0
Germany,GasCCSadv,6,Generation,0.0
Germany,GasCCSadv,7,Generation,0.0
Germany,GasCCSadv,8,Generation,0.0
Denmark,GasCCSadv,1,Generation,0.0
Denmark,GasCCSadv,2,Generation,0.0
Denmark,GasCCSadv,3,Generation,0.0
Denmark,GasCCSadv,4,Generation,0.0
Denmark,GasCCSadv,5,Generation,0.0
Denmark,GasCCSadv,6,Generation,0.0
Denmark,GasCCSadv,7,Generation,0.0
Denmark,GasCCSadv,8,Generation,0.0
France,GasCCSadv,1,Generation,0.0
France,GasCCSadv,2,Generation,0.0
France,GasCCSadv,3,Generation,0.0
France,GasCCSadv,4,Generation,0.0
France,GasCCSadv,5,Generation,0.0
France,GasCCSadv,6,Generation,0.0
