Scenarios,Run,Objective Value,scenario_variance,Runtime
9,1,5319303262784.897,2.9112529716071875e+21,372.2826998233795
9,2,5281524790468.972,1.4684966552639696e+21,371.13613867759705
9,3,5331090224150.984,5.3961935780384945e+20,392.0497131347656
9,4,5307553343235.993,4.4329907813040574e+20,386.18560218811035
9,5,5255577335818.103,3.241083857691071e+20,384.57592511177063
9,6,5215791435723.299,1.2712947945190924e+21,389.1249244213104
9,7,5312405870551.639,1.4685730256479414e+21,369.85232186317444
9,8,5394689404885.65,4.4786244472774197e+21,367.21177983283997
9,9,5333048459920.422,9.287667450324839e+20,369.4346685409546
9,10,5296701409884.833,1.4622125225591051e+21,373.6015696525574
