Node,Energy_Type,Period,Type,Value
Germany,Liginiteexisting,1,Generation,0.0
Germany,Liginiteexisting,2,Generation,0.0
Germany,Liginiteexisting,3,Generation,0.0
Germany,Liginiteexisting,4,Generation,0.0
Germany,Liginiteexisting,5,Generation,0.0
Germany,Liginiteexisting,6,Generation,0.0
Germany,Liginiteexisting,7,Generation,0.0
Germany,Liginiteexisting,8,Generation,0.0
Germany,Lignite,1,Generation,37.43997935072267
Germany,Lignite,2,Generation,63267.817541577366
Germany,Lignite,3,Generation,0.27185975886219677
Germany,Lignite,4,Generation,0.08076954775230191
Germany,Lignite,5,Generation,0.07508892028205928
Germany,Lignite,6,Generation,0.020199097141369013
Germany,Lignite,7,Generation,0.0232561785883884
Germany,Lignite,8,Generation,0.3025139097429207
Germany,LigniteCCSadv,1,Generation,0.0
Germany,LigniteCCSadv,2,Generation,0.0
Germany,LigniteCCSadv,3,Generation,0.0
Germany,LigniteCCSadv,4,Generation,0.0
Germany,LigniteCCSadv,5,Generation,0.0
Germany,LigniteCCSadv,6,Generation,0.0
Germany,LigniteCCSadv,7,Generation,0.0
Germany,LigniteCCSadv,8,Generation,0.0
Germany,Coalexisting,1,Generation,0.0
Germany,Coalexisting,2,Generation,0.0
Germany,Coalexisting,3,Generation,0.0
Germany,Coalexisting,4,Generation,0.0
Germany,Coalexisting,5,Generation,0.0
Germany,Coalexisting,6,Generation,0.0
Germany,Coalexisting,7,Generation,0.0
Germany,Coalexisting,8,Generation,0.0
Denmark,Coalexisting,1,Generation,0.0
Denmark,Coalexisting,2,Generation,0.0
Denmark,Coalexisting,3,Generation,0.0
Denmark,Coalexisting,4,Generation,0.0
Denmark,Coalexisting,5,Generation,0.0
Denmark,Coalexisting,6,Generation,0.0
Denmark,Coalexisting,7,Generation,0.0
Denmark,Coalexisting,8,Generation,0.0
France,Coalexisting,1,Generation,0.0
France,Coalexisting,2,Generation,0.0
France,Coalexisting,3,Generation,0.0
France,Coalexisting,4,Generation,0.0
France,Coalexisting,5,Generation,0.0
France,Coalexisting,6,Generation,0.0
France,Coalexisting,7,Generation,0.0
France,Coalexisting,8,Generation,0.0
Germany,Coal,1,Generation,25.071413536087682
Germany,Coal,2,Generation,16.970844112025386
Germany,Coal,3,Generation,120964.14257011712
Germany,Coal,4,Generation,4740.690868240088
Germany,Coal,5,Generation,3358.7673279340643
Germany,Coal,6,Generation,0.031076952141216307
Germany,Coal,7,Generation,0.03026942150476416
Germany,Coal,8,Generation,7587.497097995934
Denmark,Coal,1,Generation,8.904927484460075
Denmark,Coal,2,Generation,1.0740709251648657
Denmark,Coal,3,Generation,0.6650420887979949
Denmark,Coal,4,Generation,0.6392363742986451
Denmark,Coal,5,Generation,0.811170473029947
Denmark,Coal,6,Generation,0.13942777226526282
Denmark,Coal,7,Generation,4.749025669934633
Denmark,Coal,8,Generation,4.890311259319884
France,Coal,1,Generation,25.470070196925604
France,Coal,2,Generation,27.79674161159572
France,Coal,3,Generation,1.9452287573946108
France,Coal,4,Generation,0.4629951880170714
France,Coal,5,Generation,0.008248815013227405
France,Coal,6,Generation,0.01635300413599905
France,Coal,7,Generation,0.21870775101404283
France,Coal,8,Generation,0.2846944158718485
Germany,CoalCCSadv,1,Generation,0.0
Germany,CoalCCSadv,2,Generation,0.0
Germany,CoalCCSadv,3,Generation,0.0
Germany,CoalCCSadv,4,Generation,0.0
Germany,CoalCCSadv,5,Generation,0.0
Germany,CoalCCSadv,6,Generation,0.0
Germany,CoalCCSadv,7,Generation,0.0
Germany,CoalCCSadv,8,Generation,0.0
Denmark,CoalCCSadv,1,Generation,0.0
Denmark,CoalCCSadv,2,Generation,0.0
Denmark,CoalCCSadv,3,Generation,0.0
Denmark,CoalCCSadv,4,Generation,0.0
Denmark,CoalCCSadv,5,Generation,0.0
Denmark,CoalCCSadv,6,Generation,0.0
Denmark,CoalCCSadv,7,Generation,0.0
Denmark,CoalCCSadv,8,Generation,0.0
France,CoalCCSadv,1,Generation,0.0
France,CoalCCSadv,2,Generation,0.0
France,CoalCCSadv,3,Generation,0.0
France,CoalCCSadv,4,Generation,0.0
France,CoalCCSadv,5,Generation,0.0
France,CoalCCSadv,6,Generation,0.0
France,CoalCCSadv,7,Generation,0.0
France,CoalCCSadv,8,Generation,0.0
Germany,Gasexisting,1,Generation,0.0
Germany,Gasexisting,2,Generation,0.0
Germany,Gasexisting,3,Generation,0.0
Germany,Gasexisting,4,Generation,0.0
Germany,Gasexisting,5,Generation,0.0
Germany,Gasexisting,6,Generation,0.0
Germany,Gasexisting,7,Generation,0.0
Germany,Gasexisting,8,Generation,0.0
Denmark,Gasexisting,1,Generation,0.0
Denmark,Gasexisting,2,Generation,0.0
Denmark,Gasexisting,3,Generation,0.0
Denmark,Gasexisting,4,Generation,0.0
Denmark,Gasexisting,5,Generation,0.0
Denmark,Gasexisting,6,Generation,0.0
Denmark,Gasexisting,7,Generation,0.0
Denmark,Gasexisting,8,Generation,0.0
France,Gasexisting,1,Generation,0.0
France,Gasexisting,2,Generation,0.0
France,Gasexisting,3,Generation,0.0
France,Gasexisting,4,Generation,0.0
France,Gasexisting,5,Generation,0.0
France,Gasexisting,6,Generation,0.0
France,Gasexisting,7,Generation,0.0
France,Gasexisting,8,Generation,0.0
Germany,GasOCGT,1,Generation,41.776523711971606
Germany,GasOCGT,2,Generation,0.06799925384213215
Germany,GasOCGT,3,Generation,0.031801828210869694
Germany,GasOCGT,4,Generation,0.02586625127735435
Germany,GasOCGT,5,Generation,0.024150916340184
Germany,GasOCGT,6,Generation,0.03280200934382377
Germany,GasOCGT,7,Generation,9.675929106446933
Germany,GasOCGT,8,Generation,1.1020218998537268
Denmark,GasOCGT,1,Generation,9956.98463360398
Denmark,GasOCGT,2,Generation,1748.6112291354736
Denmark,GasOCGT,3,Generation,0.1550512648285921
Denmark,GasOCGT,4,Generation,0.18758142526538163
Denmark,GasOCGT,5,Generation,0.27597118990194053
Denmark,GasOCGT,6,Generation,0.0724424347838801
Denmark,GasOCGT,7,Generation,3894.097362560136
Denmark,GasOCGT,8,Generation,3101.8675413120286
France,GasOCGT,1,Generation,48415.18398536591
France,GasOCGT,2,Generation,0.9686002434287742
France,GasOCGT,3,Generation,0.1028200839702753
France,GasOCGT,4,Generation,0.15373420568582097
France,GasOCGT,5,Generation,0.042413631504196664
France,GasOCGT,6,Generation,0.08576747331792942
France,GasOCGT,7,Generation,32.52368799588941
France,GasOCGT,8,Generation,4.767959832138843
Germany,GasCCGT,1,Generation,169403.09746290708
Germany,GasCCGT,2,Generation,9695.659956937301
Germany,GasCCGT,3,Generation,7932.581494690877
Germany,GasCCGT,4,Generation,9988.415059017007
Germany,GasCCGT,5,Generation,493.9050959426139
Germany,GasCCGT,6,Generation,2443.8983197589187
Germany,GasCCGT,7,Generation,169434.9097288005
Germany,GasCCGT,8,Generation,9694.983583816163
Denmark,GasCCGT,1,Generation,13015.798679967405
Denmark,GasCCGT,2,Generation,7667.8536799293415
Denmark,GasCCGT,3,Generation,14222.346429152107
Denmark,GasCCGT,4,Generation,2827.142574963908
Denmark,GasCCGT,5,Generation,12293.576367424983
Denmark,GasCCGT,6,Generation,0.07676570206605522
Denmark,GasCCGT,7,Generation,14.157126471162087
Denmark,GasCCGT,8,Generation,34716.26934209507
France,GasCCGT,1,Generation,140202.8026419319
France,GasCCGT,2,Generation,3610.937122316971
France,GasCCGT,3,Generation,2954.978679892303
France,GasCCGT,4,Generation,3720.0298004395772
France,GasCCGT,5,Generation,0.05816079216590399
France,GasCCGT,6,Generation,1.9462817693344752
France,GasCCGT,7,Generation,106725.5109605631
France,GasCCGT,8,Generation,65712.31359314104
Germany,GasCCSadv,1,Generation,0.0
Germany,GasCCSadv,2,Generation,0.0
Germany,GasCCSadv,3,Generation,0.0
Germany,GasCCSadv,4,Generation,0.0
Germany,GasCCSadv,5,Generation,0.0
Germany,GasCCSadv,6,Generation,0.0
Germany,GasCCSadv,7,Generation,0.0
Germany,GasCCSadv,8,Generation,0.0
Denmark,GasCCSadv,1,Generation,0.0
Denmark,GasCCSadv,2,Generation,0.0
Denmark,GasCCSadv,3,Generation,0.0
Denmark,GasCCSadv,4,Generation,0.0
Denmark,GasCCSadv,5,Generation,0.0
Denmark,GasCCSadv,6,Generation,0.0
Denmark,GasCCSadv,7,Generation,0.0
Denmark,GasCCSadv,8,Generation,0.0
France,GasCCSadv,1,Generation,0.0
France,GasCCSadv,2,Generation,0.0
France,GasCCSadv,3,Generation,0.0
France,GasCCSadv,4,Generation,0.0
France,GasCCSadv,5,Generation,0.0
France,GasCCSadv,6,Generation,0.0
France,GasCCSadv,7,Generation,0.0
France,GasCCSadv,8,Generation,0.0
Germany,Oilexisting,1,Generation,0.0
Germany,Oilexisting,2,Generation,0.0
Germany,Oilexisting,3,Generation,0.0
Germany,Oilexisting,4,Generation,0.0
Germany,Oilexisting,5,Generation,0.0
Germany,Oilexisting,6,Generation,0.0
