Country,Energy_Type,Period,Type,Value
Germany,Liginiteexisting,1,Generation,0.0
Germany,Liginiteexisting,2,Generation,0.0
Germany,Liginiteexisting,3,Generation,0.0
Germany,Liginiteexisting,4,Generation,0.0
Germany,Liginiteexisting,5,Generation,0.0
Germany,Liginiteexisting,6,Generation,0.0
Germany,Liginiteexisting,7,Generation,0.0
Germany,Liginiteexisting,8,Generation,0.0
Germany,Lignite,1,Generation,42.14834547044172
Germany,Lignite,2,Generation,94385.59384105193
Germany,Lignite,3,Generation,89854.68669697794
Germany,Lignite,4,Generation,4726.4935647162
Germany,Lignite,5,Generation,3355.938076583576
Germany,Lignite,6,Generation,5690.4854661651725
Germany,Lignite,7,Generation,0.010869642364560313
Germany,Lignite,8,Generation,0.02322319146724601
Germany,LigniteCCSadv,1,Generation,0.0
Germany,LigniteCCSadv,2,Generation,0.0
Germany,LigniteCCSadv,3,Generation,0.0
Germany,LigniteCCSadv,4,Generation,0.0
Germany,LigniteCCSadv,5,Generation,0.0
Germany,LigniteCCSadv,6,Generation,0.0
Germany,LigniteCCSadv,7,Generation,0.0
Germany,LigniteCCSadv,8,Generation,0.0
Germany,Coalexisting,1,Generation,0.0
Germany,Coalexisting,2,Generation,0.0
Germany,Coalexisting,3,Generation,0.0
Germany,Coalexisting,4,Generation,0.0
Germany,Coalexisting,5,Generation,0.0
Germany,Coalexisting,6,Generation,0.0
Germany,Coalexisting,7,Generation,0.0
Germany,Coalexisting,8,Generation,0.0
Denmark,Coalexisting,1,Generation,0.0
Denmark,Coalexisting,2,Generation,0.0
Denmark,Coalexisting,3,Generation,0.0
Denmark,Coalexisting,4,Generation,0.0
Denmark,Coalexisting,5,Generation,0.0
Denmark,Coalexisting,6,Generation,0.0
Denmark,Coalexisting,7,Generation,0.0
Denmark,Coalexisting,8,Generation,0.0
France,Coalexisting,1,Generation,0.0
France,Coalexisting,2,Generation,0.0
France,Coalexisting,3,Generation,0.0
France,Coalexisting,4,Generation,0.0
France,Coalexisting,5,Generation,0.0
France,Coalexisting,6,Generation,0.0
France,Coalexisting,7,Generation,0.0
France,Coalexisting,8,Generation,0.0
Germany,Coal,1,Generation,26.461931512655365
Germany,Coal,2,Generation,2.108012657621214
Germany,Coal,3,Generation,3.7726771581122955
Germany,Coal,4,Generation,15.53252828410519
Germany,Coal,5,Generation,0.002908410936276774
Germany,Coal,6,Generation,0.005319246842418415
Germany,Coal,7,Generation,1896.7262871293215
Germany,Coal,8,Generation,0.006988805772394997
Denmark,Coal,1,Generation,13.063633386583213
Denmark,Coal,2,Generation,0.49854672378694254
Denmark,Coal,3,Generation,0.6914182126637635
Denmark,Coal,4,Generation,1.8619997545959237
Denmark,Coal,5,Generation,1.214316745052292
Denmark,Coal,6,Generation,0.7450486144400597
Denmark,Coal,7,Generation,2.5529913910654667
Denmark,Coal,8,Generation,2.6382100301009235
France,Coal,1,Generation,31.51508993714394
France,Coal,2,Generation,37.03417264419625
France,Coal,3,Generation,0.04658908707594363
France,Coal,4,Generation,0.5074716594041229
France,Coal,5,Generation,0.0642240405678439
France,Coal,6,Generation,0.10042549156498974
France,Coal,7,Generation,0.1540633478204684
France,Coal,8,Generation,0.06830784315757622
Germany,CoalCCSadv,1,Generation,0.0
Germany,CoalCCSadv,2,Generation,0.0
Germany,CoalCCSadv,3,Generation,0.0
Germany,CoalCCSadv,4,Generation,0.0
Germany,CoalCCSadv,5,Generation,0.0
Germany,CoalCCSadv,6,Generation,0.0
Germany,CoalCCSadv,7,Generation,0.0
Germany,CoalCCSadv,8,Generation,0.0
Denmark,CoalCCSadv,1,Generation,0.0
Denmark,CoalCCSadv,2,Generation,0.0
Denmark,CoalCCSadv,3,Generation,0.0
Denmark,CoalCCSadv,4,Generation,0.0
Denmark,CoalCCSadv,5,Generation,0.0
Denmark,CoalCCSadv,6,Generation,0.0
Denmark,CoalCCSadv,7,Generation,0.0
Denmark,CoalCCSadv,8,Generation,0.0
France,CoalCCSadv,1,Generation,0.0
France,CoalCCSadv,2,Generation,0.0
France,CoalCCSadv,3,Generation,0.0
France,CoalCCSadv,4,Generation,0.0
France,CoalCCSadv,5,Generation,0.0
France,CoalCCSadv,6,Generation,0.0
France,CoalCCSadv,7,Generation,0.0
France,CoalCCSadv,8,Generation,0.0
Germany,Gasexisting,1,Generation,0.0
Germany,Gasexisting,2,Generation,0.0
Germany,Gasexisting,3,Generation,0.0
Germany,Gasexisting,4,Generation,0.0
Germany,Gasexisting,5,Generation,0.0
Germany,Gasexisting,6,Generation,0.0
Germany,Gasexisting,7,Generation,0.0
Germany,Gasexisting,8,Generation,0.0
Denmark,Gasexisting,1,Generation,0.0
Denmark,Gasexisting,2,Generation,0.0
Denmark,Gasexisting,3,Generation,0.0
Denmark,Gasexisting,4,Generation,0.0
Denmark,Gasexisting,5,Generation,0.0
Denmark,Gasexisting,6,Generation,0.0
Denmark,Gasexisting,7,Generation,0.0
Denmark,Gasexisting,8,Generation,0.0
France,Gasexisting,1,Generation,0.0
France,Gasexisting,2,Generation,0.0
France,Gasexisting,3,Generation,0.0
France,Gasexisting,4,Generation,0.0
France,Gasexisting,5,Generation,0.0
France,Gasexisting,6,Generation,0.0
France,Gasexisting,7,Generation,0.0
France,Gasexisting,8,Generation,0.0
Germany,GasOCGT,1,Generation,54.54948034901265
Germany,GasOCGT,2,Generation,0.039958000311159585
Germany,GasOCGT,3,Generation,0.007701143555843421
Germany,GasOCGT,4,Generation,0.006440544585453565
Germany,GasOCGT,5,Generation,0.0011394295115906145
Germany,GasOCGT,6,Generation,0.0007618066650252372
Germany,GasOCGT,7,Generation,10.204097185145777
Germany,GasOCGT,8,Generation,2.303800056414827
Denmark,GasOCGT,1,Generation,9226.202684954076
Denmark,GasOCGT,2,Generation,6420.465449481098
Denmark,GasOCGT,3,Generation,0.004246808741680662
Denmark,GasOCGT,4,Generation,11.031004996060144
Denmark,GasOCGT,5,Generation,0.035896742744782766
Denmark,GasOCGT,6,Generation,5.43702289111528
Denmark,GasOCGT,7,Generation,8146.486826226668
Denmark,GasOCGT,8,Generation,4958.266522903879
France,GasOCGT,1,Generation,90546.92589607372
France,GasOCGT,2,Generation,0.08283409969125569
France,GasOCGT,3,Generation,0.0016879419326147067
France,GasOCGT,4,Generation,0.0036860598893640613
France,GasOCGT,5,Generation,0.0009469639823733588
France,GasOCGT,6,Generation,0.019157628916012262
France,GasOCGT,7,Generation,102.17820025758517
France,GasOCGT,8,Generation,0.01756504471689018
Germany,GasCCGT,1,Generation,169392.10868337622
Germany,GasCCGT,2,Generation,9694.911741772516
Germany,GasCCGT,3,Generation,7932.078921629246
Germany,GasCCGT,4,Generation,9988.481830097287
Germany,GasCCGT,5,Generation,493.56363607073956
Germany,GasCCGT,6,Generation,2444.2786063231083
Germany,GasCCGT,7,Generation,169436.44317097476
Germany,GasCCGT,8,Generation,9692.653228663568
Denmark,GasCCGT,1,Generation,13617.984978493188
Denmark,GasCCGT,2,Generation,5217.11582741222
Denmark,GasCCGT,3,Generation,9209.796532061211
Denmark,GasCCGT,4,Generation,12599.121142389073
Denmark,GasCCGT,5,Generation,9318.507084676186
Denmark,GasCCGT,6,Generation,9334.726338518103
Denmark,GasCCGT,7,Generation,10726.491697628519
Denmark,GasCCGT,8,Generation,4742.243609977489
France,GasCCGT,1,Generation,98073.64643303902
France,GasCCGT,2,Generation,3610.9688969751214
France,GasCCGT,3,Generation,2954.168867314905
France,GasCCGT,4,Generation,3720.065721330292
France,GasCCGT,5,Generation,183.73438749442442
France,GasCCGT,6,Generation,910.2467927914822
France,GasCCGT,7,Generation,141044.2377560608
France,GasCCGT,8,Generation,0.1492686918679713
Germany,GasCCSadv,1,Generation,0.0
Germany,GasCCSadv,2,Generation,0.0
Germany,GasCCSadv,3,Generation,0.0
Germany,GasCCSadv,4,Generation,0.0
Germany,GasCCSadv,5,Generation,0.0
Germany,GasCCSadv,6,Generation,0.0
Germany,GasCCSadv,7,Generation,0.0
Germany,GasCCSadv,8,Generation,0.0
Denmark,GasCCSadv,1,Generation,0.0
Denmark,GasCCSadv,2,Generation,0.0
Denmark,GasCCSadv,3,Generation,0.0
Denmark,GasCCSadv,4,Generation,0.0
Denmark,GasCCSadv,5,Generation,0.0
Denmark,GasCCSadv,6,Generation,0.0
Denmark,GasCCSadv,7,Generation,0.0
Denmark,GasCCSadv,8,Generation,0.0
France,GasCCSadv,1,Generation,0.0
France,GasCCSadv,2,Generation,0.0
France,GasCCSadv,3,Generation,0.0
France,GasCCSadv,4,Generation,0.0
France,GasCCSadv,5,Generation,0.0
France,GasCCSadv,6,Generation,0.0
France,GasCCSadv,7,Generation,0.0
France,GasCCSadv,8,Generation,0.0
Germany,Oilexisting,1,Generation,0.0
Germany,Oilexisting,2,Generation,0.0
Germany,Oilexisting,3,Generation,0.0
Germany,Oilexisting,4,Generation,0.0
Germany,Oilexisting,5,Generation,0.0
Germany,Oilexisting,6,Generation,0.0
