Source:_-	Unnamed:_1	Unnamed:_2
Switzerland	Austria	HVAC_OverheadLine
CzechR	Austria	HVAC_OverheadLine
Germany	Austria	HVAC_OverheadLine
Hungary	Austria	HVAC_OverheadLine
Italy	Austria	HVAC_OverheadLine
Croatia	BosniaH	HVAC_OverheadLine
France	Belgium	HVAC_OverheadLine
Luxemb.	Belgium	HVAC_OverheadLine
Greece	Bulgaria	HVAC_OverheadLine
Germany	Switzerland	HVAC_OverheadLine
France	Switzerland	HVAC_OverheadLine
Italy	Switzerland	HVAC_OverheadLine
Germany	CzechR	HVAC_OverheadLine
Denmark	Germany	HVAC_OverheadLine
France	Germany	HVAC_OverheadLine
Luxemb.	Germany	HVAC_OverheadLine
Finland	Estonia	HVDC_Cable
France	Spain	HVAC_OverheadLine
GreatBrit.	France	HVDC_Cable
Italy	France	HVAC_OverheadLine
Ireland	GreatBrit.	HVDC_Cable
Italy	Greece	HVDC_Cable
Hungary	Croatia	HVAC_OverheadLine
GreatBrit.	Belgium	HVDC_Cable
GreatBrit.	Denmark	HVDC_Cable
Italy	BosniaH	HVDC_Cable
Italy	Croatia	HVDC_Cable
Germany	Belgium	HVAC_OverheadLine
Italy	Germany	HVAC_OverheadLine
Ireland	Spain	HVDC_Cable
Ireland	France	HVDC_Cable
Luxemb.	France	HVAC_OverheadLine
Austria	Switzerland	HVAC_OverheadLine
Austria	CzechR	HVAC_OverheadLine
Austria	Germany	HVAC_OverheadLine
Austria	Hungary	HVAC_OverheadLine
Austria	Italy	HVAC_OverheadLine
BosniaH	Croatia	HVAC_OverheadLine
Belgium	France	HVAC_OverheadLine
Belgium	Luxemb.	HVAC_OverheadLine
Bulgaria	Greece	HVAC_OverheadLine
Switzerland	Germany	HVAC_OverheadLine
Switzerland	France	HVAC_OverheadLine
Switzerland	Italy	HVAC_OverheadLine
CzechR	Germany	HVAC_OverheadLine
Germany	Denmark	HVAC_OverheadLine
Germany	France	HVAC_OverheadLine
Germany	Luxemb.	HVAC_OverheadLine
Estonia	Finland	HVDC_Cable
Spain	France	HVAC_OverheadLine
France	GreatBrit.	HVDC_Cable
France	Italy	HVAC_OverheadLine
GreatBrit.	Ireland	HVDC_Cable
Greece	Italy	HVDC_Cable
Croatia	Hungary	HVAC_OverheadLine
Belgium	GreatBrit.	HVDC_Cable
Denmark	GreatBrit.	HVDC_Cable
BosniaH	Italy	HVDC_Cable
Croatia	Italy	HVDC_Cable
Belgium	Germany	HVAC_OverheadLine
Germany	Italy	HVAC_OverheadLine
Spain	Ireland	HVDC_Cable
France	Ireland	HVDC_Cable
France	Luxemb.	HVAC_OverheadLine
