Node,Energy_Type,Period,Type,Value
Germany,Liginiteexisting,1,Generation,0.0
Germany,Liginiteexisting,2,Generation,0.0
Germany,Liginiteexisting,3,Generation,0.0
Germany,Liginiteexisting,4,Generation,0.0
Germany,Liginiteexisting,5,Generation,0.0
Germany,Liginiteexisting,6,Generation,0.0
Germany,Liginiteexisting,7,Generation,0.0
Germany,Liginiteexisting,8,Generation,0.0
Germany,Lignite,1,Generation,1.0518467283544976e-15
Germany,Lignite,2,Generation,1.4143264941984898e-15
Germany,Lignite,3,Generation,1.1674876692111438e-15
Germany,Lignite,4,Generation,2.0885043694118505e-15
Germany,Lignite,5,Generation,7.879263389945557e-16
Germany,Lignite,6,Generation,1.1127024957933168e-15
Germany,Lignite,7,Generation,1.5171410764191803e-15
Germany,Lignite,8,Generation,3.262162189620049e-15
Germany,LigniteCCSadv,1,Generation,0.0
Germany,LigniteCCSadv,2,Generation,0.0
Germany,LigniteCCSadv,3,Generation,0.0
Germany,LigniteCCSadv,4,Generation,0.0
Germany,LigniteCCSadv,5,Generation,0.0
Germany,LigniteCCSadv,6,Generation,0.0
Germany,LigniteCCSadv,7,Generation,0.0
Germany,LigniteCCSadv,8,Generation,0.0
Germany,Coalexisting,1,Generation,0.0
Germany,Coalexisting,2,Generation,0.0
Germany,Coalexisting,3,Generation,0.0
Germany,Coalexisting,4,Generation,0.0
Germany,Coalexisting,5,Generation,0.0
Germany,Coalexisting,6,Generation,0.0
Germany,Coalexisting,7,Generation,0.0
Germany,Coalexisting,8,Generation,0.0
Denmark,Coalexisting,1,Generation,0.0
Denmark,Coalexisting,2,Generation,0.0
Denmark,Coalexisting,3,Generation,0.0
Denmark,Coalexisting,4,Generation,0.0
Denmark,Coalexisting,5,Generation,0.0
Denmark,Coalexisting,6,Generation,0.0
Denmark,Coalexisting,7,Generation,0.0
Denmark,Coalexisting,8,Generation,0.0
France,Coalexisting,1,Generation,0.0
France,Coalexisting,2,Generation,0.0
France,Coalexisting,3,Generation,0.0
France,Coalexisting,4,Generation,0.0
France,Coalexisting,5,Generation,0.0
France,Coalexisting,6,Generation,0.0
France,Coalexisting,7,Generation,0.0
France,Coalexisting,8,Generation,0.0
Germany,Coal,1,Generation,6.816645626287552e-16
Germany,Coal,2,Generation,1.4676348926983112e-15
Germany,Coal,3,Generation,1.7558582376842128e-15
Germany,Coal,4,Generation,1.8544230980882237e-15
Germany,Coal,5,Generation,2.049978841964889e-15
Germany,Coal,6,Generation,2.2798228245790424e-15
Germany,Coal,7,Generation,2.183182906934112e-15
Germany,Coal,8,Generation,4.172361116430535e-15
Denmark,Coal,1,Generation,7.737378156344277e-16
Denmark,Coal,2,Generation,9.252424976254973e-16
Denmark,Coal,3,Generation,1.3668299444939358e-15
Denmark,Coal,4,Generation,1.8842880043788273e-15
Denmark,Coal,5,Generation,1.3036665875408288e-15
Denmark,Coal,6,Generation,2.3739754584695325e-15
Denmark,Coal,7,Generation,2.2223274269485015e-15
Denmark,Coal,8,Generation,3.337741278364534e-15
France,Coal,1,Generation,8.890607725122496e-16
France,Coal,2,Generation,1.0904994898140617e-15
France,Coal,3,Generation,1.8440689899291155e-15
France,Coal,4,Generation,9.059053964446962e-16
France,Coal,5,Generation,5.913076914072531e-16
France,Coal,6,Generation,1.3365414874156048e-15
France,Coal,7,Generation,4.214260187788207e-15
France,Coal,8,Generation,4.581031744649904e-15
Germany,CoalCCSadv,1,Generation,0.0
Germany,CoalCCSadv,2,Generation,0.0
Germany,CoalCCSadv,3,Generation,0.0
Germany,CoalCCSadv,4,Generation,0.0
Germany,CoalCCSadv,5,Generation,0.0
Germany,CoalCCSadv,6,Generation,0.0
Germany,CoalCCSadv,7,Generation,0.0
Germany,CoalCCSadv,8,Generation,0.0
Denmark,CoalCCSadv,1,Generation,0.0
Denmark,CoalCCSadv,2,Generation,0.0
Denmark,CoalCCSadv,3,Generation,0.0
Denmark,CoalCCSadv,4,Generation,0.0
Denmark,CoalCCSadv,5,Generation,0.0
Denmark,CoalCCSadv,6,Generation,0.0
Denmark,CoalCCSadv,7,Generation,0.0
Denmark,CoalCCSadv,8,Generation,0.0
France,CoalCCSadv,1,Generation,0.0
France,CoalCCSadv,2,Generation,0.0
France,CoalCCSadv,3,Generation,0.0
France,CoalCCSadv,4,Generation,0.0
France,CoalCCSadv,5,Generation,0.0
France,CoalCCSadv,6,Generation,0.0
France,CoalCCSadv,7,Generation,0.0
France,CoalCCSadv,8,Generation,0.0
Germany,Gasexisting,1,Generation,0.0
Germany,Gasexisting,2,Generation,0.0
Germany,Gasexisting,3,Generation,0.0
Germany,Gasexisting,4,Generation,0.0
Germany,Gasexisting,5,Generation,0.0
Germany,Gasexisting,6,Generation,0.0
Germany,Gasexisting,7,Generation,0.0
Germany,Gasexisting,8,Generation,0.0
Denmark,Gasexisting,1,Generation,0.0
Denmark,Gasexisting,2,Generation,0.0
Denmark,Gasexisting,3,Generation,0.0
Denmark,Gasexisting,4,Generation,0.0
Denmark,Gasexisting,5,Generation,0.0
Denmark,Gasexisting,6,Generation,0.0
Denmark,Gasexisting,7,Generation,0.0
Denmark,Gasexisting,8,Generation,0.0
France,Gasexisting,1,Generation,0.0
France,Gasexisting,2,Generation,0.0
France,Gasexisting,3,Generation,0.0
France,Gasexisting,4,Generation,0.0
France,Gasexisting,5,Generation,0.0
France,Gasexisting,6,Generation,0.0
France,Gasexisting,7,Generation,0.0
France,Gasexisting,8,Generation,0.0
Germany,GasOCGT,1,Generation,27430.449507902627
Germany,GasOCGT,2,Generation,4.030381757821487e-15
Germany,GasOCGT,3,Generation,1.9192928708249366e-15
Germany,GasOCGT,4,Generation,1.4189184808093065e-15
Germany,GasOCGT,5,Generation,3.1706879102244134e-14
Germany,GasOCGT,6,Generation,1.5836084260442594e-15
Germany,GasOCGT,7,Generation,2.6309238359279196e-15
Germany,GasOCGT,8,Generation,2.50107450635677e-15
Denmark,GasOCGT,1,Generation,780.58024875481
Denmark,GasOCGT,2,Generation,3203.861187167073
Denmark,GasOCGT,3,Generation,3736.540773758935
Denmark,GasOCGT,4,Generation,2389.773553358028
Denmark,GasOCGT,5,Generation,1.7440921306900306e-15
Denmark,GasOCGT,6,Generation,6.008503242661955e-14
Denmark,GasOCGT,7,Generation,2.4211545990809095e-15
Denmark,GasOCGT,8,Generation,1.3841171889898582e-14
France,GasOCGT,1,Generation,33674.82051404295
France,GasOCGT,2,Generation,4.620644270936944e-15
France,GasOCGT,3,Generation,266.7982429829505
France,GasOCGT,4,Generation,12516.244558487213
France,GasOCGT,5,Generation,6.499610605851914e-16
France,GasOCGT,6,Generation,1.0366708623911128e-14
France,GasOCGT,7,Generation,5.035904994577171e-15
France,GasOCGT,8,Generation,32584.814449936137
Germany,GasCCGT,1,Generation,2.1568485164775836e-15
Germany,GasCCGT,2,Generation,90087.16925249905
Germany,GasCCGT,3,Generation,59461.62749126429
Germany,GasCCGT,4,Generation,20082.96528679556
Germany,GasCCGT,5,Generation,2.0287447145447268e-14
Germany,GasCCGT,6,Generation,2.36818599693744e-15
Germany,GasCCGT,7,Generation,7.742058006082852e-15
Germany,GasCCGT,8,Generation,106240.298223216
Denmark,GasCCGT,1,Generation,2.580205543522954e-14
Denmark,GasCCGT,2,Generation,3.3646230337727033e-15
Denmark,GasCCGT,3,Generation,3.363603359466883e-15
Denmark,GasCCGT,4,Generation,4.718585788137286e-14
Denmark,GasCCGT,5,Generation,2.8599206034620507e-12
Denmark,GasCCGT,6,Generation,995.332374209162
Denmark,GasCCGT,7,Generation,3.8093857563805414e-15
Denmark,GasCCGT,8,Generation,4.8704205363377636e-15
France,GasCCGT,1,Generation,4.786903188832795e-15
France,GasCCGT,2,Generation,49388.09471350972
France,GasCCGT,3,Generation,1.8929536614148625e-15
France,GasCCGT,4,Generation,1.5513516150950235e-14
France,GasCCGT,5,Generation,6.48143358717044e-16
France,GasCCGT,6,Generation,7493.925588536527
France,GasCCGT,7,Generation,3.94598629555704e-15
France,GasCCGT,8,Generation,4.886975040438862e-15
Germany,GasCCSadv,1,Generation,0.0
Germany,GasCCSadv,2,Generation,0.0
Germany,GasCCSadv,3,Generation,0.0
Germany,GasCCSadv,4,Generation,0.0
Germany,GasCCSadv,5,Generation,0.0
Germany,GasCCSadv,6,Generation,0.0
Germany,GasCCSadv,7,Generation,0.0
Germany,GasCCSadv,8,Generation,0.0
Denmark,GasCCSadv,1,Generation,0.0
Denmark,GasCCSadv,2,Generation,0.0
Denmark,GasCCSadv,3,Generation,0.0
Denmark,GasCCSadv,4,Generation,0.0
Denmark,GasCCSadv,5,Generation,0.0
Denmark,GasCCSadv,6,Generation,0.0
Denmark,GasCCSadv,7,Generation,0.0
Denmark,GasCCSadv,8,Generation,0.0
France,GasCCSadv,1,Generation,0.0
France,GasCCSadv,2,Generation,0.0
France,GasCCSadv,3,Generation,0.0
France,GasCCSadv,4,Generation,0.0
France,GasCCSadv,5,Generation,0.0
