seed,num_of_sce,time_limit,lower_bound,upper_bound
13,5,3600,1619117370277.8386,1915861816497.0547
12,5,3600,1590681917066.7542,1780827777311.716
11,5,3600,1585207836929.1023,1849449864375.6797
14,5,3600,1571230349802.4111,1832934254862.7583
15,5,3600,1569973671134.5234,1889013919657.3804
16,5,3600,1552597685772.3237,1864440629532.6685
17,5,3600,1571032418625.7634,1773025178860.3381
18,5,3600,1574518168668.155,1857937470848.1467
19,5,3600,1570219534728.3213,1837041380873.714
20,5,3600,1583900768632.0884,1830849358485.4995
