seed,num_of_sce,runtime,lower_bound,upper_bound
12,5,94.902124,1999975388211.349,2049443746670.168
13,5,97.977706,1974318424973.1663,2029658679129.0664
14,5,112.067075,1964797367442.2104,2016121652269.0134
15,5,114.784524,1964181972264.0989,2014109156313.0298
11,5,139.734139,2011864779374.155,2064070880685.6216
16,5,100.103884,1924185313856.6453,1972712640516.4958
17,5,102.172802,1930257756523.9897,1987190255070.5771
18,5,107.988057,1932476670892.1492,1989212436238.7324
19,5,109.003679,1967788460254.084,2019681925320.051
20,5,141.258314,1956414462336.785,2012940082142.0884
12,10,145.891141,1998506141004.0454,2054189315917.571
11,10,147.174924,1986276818124.3662,2051725953096.2122
14,10,130.653430,1942305856983.8496,2004570034957.3875
13,10,144.211745,1954971196589.7642,2019813629398.3867
15,10,127.026468,1951253197910.3906,2017038367032.993
16,10,128.802786,1960240199578.2793,2022865066837.6685
17,10,149.802914,1958887171606.4197,2019374501732.521
18,10,154.135894,1960388232495.0554,2028565751387.8887
19,10,130.905811,1981822501876.288,2049932902629.8652
20,10,150.063335,1969704124211.211,2028138303508.3057
11,20,162.531743,1945280037009.2117,2018258716240.7039
12,20,140.909434,1971133139817.118,2029213055665.8198
13,20,158.820099,1962925511874.9263,2024643127435.7197
14,20,158.121464,1966697278756.8848,2030915335484.3726
15,20,162.074404,1966714445071.4485,2034013781679.7007
16,20,161.377807,1949948165050.5166,2013992429561.428
17,20,138.962412,1955225249549.611,2022993480338.939
18,20,164.783439,1966982684674.0024,2034967574457.3276
19,20,144.891066,1962872365546.9736,2027087590674.4841
20,20,168.431234,1972093979911.7222,2037556290658.7632
11,5,121.014399,2011864779374.0923,2064071120974.5063
11,5,385.636087,2011864779374.0923,2060860436821.0679
11,5,43.738442,2011864779374.155,4340363199327.078
11,5,232.725741,2011864779374.155,2063232948457.2686
11,5,381.329957,2011864779374.0923,2060860436821.0679
11,5,3606.970247,2011864779374.155,2058709754645.5034
12,5,60,1999975388211.317,2359084550301.6895
14,5,60,1964797367442.1384,2032857469496.2407
11,5,60,2011864779374.0923,2106163992622.8308
13,5,60,1974318424973.0847,2063474911230.829
15,5,60,1964181972264.036,2045826023766.106
19,5,60,1967788460253.983,2295633321220.214
18,5,60,1932476670892.0806,2343212280265.0137
16,5,60,1924185313856.565,2006555501089.524
17,5,60,1930257756523.9097,2290291539468.566
20,5,60,1956414462336.6938,2049169046041.1455
12,5,300,1999975388211.317,2044842328719.8193
14,5,300,1964797367442.1384,2011895925542.72
11,5,300,2011864779374.0923,2061298142394.582
13,5,300,1974318424973.0847,2024660146657.2095
15,5,300,1964181972264.036,2011255986401.238
16,5,300,1924185313856.565,1968561768349.5408
18,5,300,1932476670892.0806,1983985468543.236
19,5,300,1967788460253.983,2015986244659.7056
17,5,300,1930257756523.9097,1982813419710.8147
20,5,300,1956414462336.6938,2007582795886.953
14,5,600,1964797367442.1384,2010091378453.7966
11,5,600,2011864779374.0923,2060162636840.367
