Node,Energy_Type,Period,Type,Value
Germany,Liginiteexisting,1,Generation,0.0
Germany,Liginiteexisting,2,Generation,0.0
Germany,Liginiteexisting,3,Generation,0.0
Germany,Liginiteexisting,4,Generation,0.0
Germany,Liginiteexisting,5,Generation,0.0
Germany,Liginiteexisting,6,Generation,0.0
Germany,Liginiteexisting,7,Generation,0.0
Germany,Liginiteexisting,8,Generation,0.0
Germany,Lignite,1,Generation,8168.0161158226565
Germany,Lignite,2,Generation,71229.65898526245
Germany,Lignite,3,Generation,2.32325317407649e-13
Germany,Lignite,4,Generation,6442.688421055861
Germany,Lignite,5,Generation,3.0923814925838224e-14
Germany,Lignite,6,Generation,2.585364155465121e-14
Germany,Lignite,7,Generation,7.244809644540628e-14
Germany,Lignite,8,Generation,8.347525859083307e-14
Germany,LigniteCCSadv,1,Generation,0.0
Germany,LigniteCCSadv,2,Generation,0.0
Germany,LigniteCCSadv,3,Generation,0.0
Germany,LigniteCCSadv,4,Generation,0.0
Germany,LigniteCCSadv,5,Generation,0.0
Germany,LigniteCCSadv,6,Generation,0.0
Germany,LigniteCCSadv,7,Generation,0.0
Germany,LigniteCCSadv,8,Generation,0.0
Germany,Coalexisting,1,Generation,0.0
Germany,Coalexisting,2,Generation,0.0
Germany,Coalexisting,3,Generation,0.0
Germany,Coalexisting,4,Generation,0.0
Germany,Coalexisting,5,Generation,0.0
Germany,Coalexisting,6,Generation,0.0
Germany,Coalexisting,7,Generation,0.0
Germany,Coalexisting,8,Generation,0.0
Denmark,Coalexisting,1,Generation,0.0
Denmark,Coalexisting,2,Generation,0.0
Denmark,Coalexisting,3,Generation,0.0
Denmark,Coalexisting,4,Generation,0.0
Denmark,Coalexisting,5,Generation,0.0
Denmark,Coalexisting,6,Generation,0.0
Denmark,Coalexisting,7,Generation,0.0
Denmark,Coalexisting,8,Generation,0.0
France,Coalexisting,1,Generation,0.0
France,Coalexisting,2,Generation,0.0
France,Coalexisting,3,Generation,0.0
France,Coalexisting,4,Generation,0.0
France,Coalexisting,5,Generation,0.0
France,Coalexisting,6,Generation,0.0
France,Coalexisting,7,Generation,0.0
France,Coalexisting,8,Generation,0.0
Germany,Coal,1,Generation,2.6403555304665526e-14
Germany,Coal,2,Generation,2.3170713975731494e-14
Germany,Coal,3,Generation,5.2587872951556365e-14
Germany,Coal,4,Generation,6.508758448334633e-14
Germany,Coal,5,Generation,1.0609947720532656e-13
Germany,Coal,6,Generation,2.8778986840770544e-14
Germany,Coal,7,Generation,6.800559926760508e-14
Germany,Coal,8,Generation,1.1053898167806785e-13
Denmark,Coal,1,Generation,1.6328985556783124e-14
Denmark,Coal,2,Generation,2.2470245515171024e-14
Denmark,Coal,3,Generation,3.370136290261168e-14
Denmark,Coal,4,Generation,2.3971098659142475e-14
Denmark,Coal,5,Generation,3.336897593497793e-14
Denmark,Coal,6,Generation,6.203034592632301e-14
Denmark,Coal,7,Generation,1.1892025589411196e-13
Denmark,Coal,8,Generation,1.582564612987551e-13
France,Coal,1,Generation,1.3574780954556891e-14
France,Coal,2,Generation,2.649243560147576e-14
France,Coal,3,Generation,2.2910311326364613e-14
France,Coal,4,Generation,4.6762552006516416e-14
France,Coal,5,Generation,1.7121157057770755e-14
France,Coal,6,Generation,4.7517089955546864e-14
France,Coal,7,Generation,7.404679322443726e-14
France,Coal,8,Generation,2.022886599701897e-13
Germany,CoalCCSadv,1,Generation,0.0
Germany,CoalCCSadv,2,Generation,0.0
Germany,CoalCCSadv,3,Generation,0.0
Germany,CoalCCSadv,4,Generation,0.0
Germany,CoalCCSadv,5,Generation,0.0
Germany,CoalCCSadv,6,Generation,0.0
Germany,CoalCCSadv,7,Generation,0.0
Germany,CoalCCSadv,8,Generation,0.0
Denmark,CoalCCSadv,1,Generation,0.0
Denmark,CoalCCSadv,2,Generation,0.0
Denmark,CoalCCSadv,3,Generation,0.0
Denmark,CoalCCSadv,4,Generation,0.0
Denmark,CoalCCSadv,5,Generation,0.0
Denmark,CoalCCSadv,6,Generation,0.0
Denmark,CoalCCSadv,7,Generation,0.0
Denmark,CoalCCSadv,8,Generation,0.0
France,CoalCCSadv,1,Generation,0.0
France,CoalCCSadv,2,Generation,0.0
France,CoalCCSadv,3,Generation,0.0
France,CoalCCSadv,4,Generation,0.0
France,CoalCCSadv,5,Generation,0.0
France,CoalCCSadv,6,Generation,0.0
France,CoalCCSadv,7,Generation,0.0
France,CoalCCSadv,8,Generation,0.0
Germany,Gasexisting,1,Generation,0.0
Germany,Gasexisting,2,Generation,0.0
Germany,Gasexisting,3,Generation,0.0
Germany,Gasexisting,4,Generation,0.0
Germany,Gasexisting,5,Generation,0.0
Germany,Gasexisting,6,Generation,0.0
Germany,Gasexisting,7,Generation,0.0
Germany,Gasexisting,8,Generation,0.0
Denmark,Gasexisting,1,Generation,0.0
Denmark,Gasexisting,2,Generation,0.0
Denmark,Gasexisting,3,Generation,0.0
Denmark,Gasexisting,4,Generation,0.0
Denmark,Gasexisting,5,Generation,0.0
Denmark,Gasexisting,6,Generation,0.0
Denmark,Gasexisting,7,Generation,0.0
Denmark,Gasexisting,8,Generation,0.0
France,Gasexisting,1,Generation,0.0
France,Gasexisting,2,Generation,0.0
France,Gasexisting,3,Generation,0.0
France,Gasexisting,4,Generation,0.0
France,Gasexisting,5,Generation,0.0
France,Gasexisting,6,Generation,0.0
France,Gasexisting,7,Generation,0.0
France,Gasexisting,8,Generation,0.0
Germany,GasOCGT,1,Generation,17760.28347130515
Germany,GasOCGT,2,Generation,1.3765242877166946e-14
Germany,GasOCGT,3,Generation,2.8295357458625283e-14
Germany,GasOCGT,4,Generation,67384.36236907887
Germany,GasOCGT,5,Generation,1.5250646715900127e-14
Germany,GasOCGT,6,Generation,22922.591870559514
Germany,GasOCGT,7,Generation,1.6548900910768326e-12
Germany,GasOCGT,8,Generation,109693.04576036164
Denmark,GasOCGT,1,Generation,559.3382345292579
Denmark,GasOCGT,2,Generation,5161.278887626217
Denmark,GasOCGT,3,Generation,359.8333869746686
Denmark,GasOCGT,4,Generation,6.865690269228688e-13
Denmark,GasOCGT,5,Generation,6.672081938109624e-14
Denmark,GasOCGT,6,Generation,7.449002546726354e-14
Denmark,GasOCGT,7,Generation,9.398969557286475e-13
Denmark,GasOCGT,8,Generation,1.7615093374313718e-13
France,GasOCGT,1,Generation,32133.497367259246
France,GasOCGT,2,Generation,44192.810061785385
France,GasOCGT,3,Generation,13536.447260851652
France,GasOCGT,4,Generation,16195.884239144394
France,GasOCGT,5,Generation,4.520501474572776e-14
France,GasOCGT,6,Generation,16182.009144547
France,GasOCGT,7,Generation,1.022958165845095e-13
France,GasOCGT,8,Generation,1.9754934170310676e-13
Germany,GasCCGT,1,Generation,2.3751248972372926e-14
Germany,GasCCGT,2,Generation,91932.7622890565
Germany,GasCCGT,3,Generation,3.109572824955595e-13
Germany,GasCCGT,4,Generation,3.8173538549929e-14
Germany,GasCCGT,5,Generation,1.1336402005615649e-13
Germany,GasCCGT,6,Generation,1.0967017794350861e-14
Germany,GasCCGT,7,Generation,9.612787888745072e-14
Germany,GasCCGT,8,Generation,9.09750531553824e-14
Denmark,GasCCGT,1,Generation,2.6478812219032116e-13
Denmark,GasCCGT,2,Generation,7.189752462639833e-14
Denmark,GasCCGT,3,Generation,4.290969286558954e-12
Denmark,GasCCGT,4,Generation,2.338890421259093e-14
Denmark,GasCCGT,5,Generation,1.0491366396660619e-13
Denmark,GasCCGT,6,Generation,4.957616987810656e-14
Denmark,GasCCGT,7,Generation,244.78789916131439
Denmark,GasCCGT,8,Generation,63155.20112694509
France,GasCCGT,1,Generation,4.859173189057752e-14
France,GasCCGT,2,Generation,1.0859422760450601e-12
France,GasCCGT,3,Generation,4.341663947364019e-14
France,GasCCGT,4,Generation,5.461072187266971e-13
France,GasCCGT,5,Generation,2.5519434863870665e-14
France,GasCCGT,6,Generation,8.172178953538917e-14
France,GasCCGT,7,Generation,25434.615956454425
France,GasCCGT,8,Generation,40196.56680728873
Germany,GasCCSadv,1,Generation,0.0
Germany,GasCCSadv,2,Generation,0.0
Germany,GasCCSadv,3,Generation,0.0
Germany,GasCCSadv,4,Generation,0.0
Germany,GasCCSadv,5,Generation,0.0
Germany,GasCCSadv,6,Generation,0.0
Germany,GasCCSadv,7,Generation,0.0
Germany,GasCCSadv,8,Generation,0.0
Denmark,GasCCSadv,1,Generation,0.0
Denmark,GasCCSadv,2,Generation,0.0
Denmark,GasCCSadv,3,Generation,0.0
Denmark,GasCCSadv,4,Generation,0.0
Denmark,GasCCSadv,5,Generation,0.0
Denmark,GasCCSadv,6,Generation,0.0
Denmark,GasCCSadv,7,Generation,0.0
Denmark,GasCCSadv,8,Generation,0.0
France,GasCCSadv,1,Generation,0.0
France,GasCCSadv,2,Generation,0.0
France,GasCCSadv,3,Generation,0.0
France,GasCCSadv,4,Generation,0.0
France,GasCCSadv,5,Generation,0.0
France,GasCCSadv,6,Generation,0.0
