Node,Energy_Type,Period,Type,Value
Denmark,Bio10cofiring,1,Generation,0.0040170329409977435
Denmark,Bio10cofiring,2,Generation,0.0013408429509682942
Denmark,Bio10cofiring,3,Generation,0.001290323485747488
Denmark,Bio10cofiring,4,Generation,0.0012861954775449573
Denmark,Bio10cofiring,5,Generation,0.0014512836635700954
Denmark,Bio10cofiring,6,Generation,4.827169973784044e-09
Denmark,Bio10cofiring,7,Generation,5.753366221098789e-09
Denmark,Bio10cofiring,8,Generation,1.8314118358666816e-08
Denmark,Bio10cofiringCCS,1,Generation,0.0
Denmark,Bio10cofiringCCS,2,Generation,0.0
Denmark,Bio10cofiringCCS,3,Generation,0.0
Denmark,Bio10cofiringCCS,4,Generation,0.0
Denmark,Bio10cofiringCCS,5,Generation,0.0
Denmark,Bio10cofiringCCS,6,Generation,0.0
Denmark,Bio10cofiringCCS,7,Generation,0.0
Denmark,Bio10cofiringCCS,8,Generation,0.0
Denmark,Bioexisting,1,Generation,0.0
Denmark,Bioexisting,2,Generation,0.0
Denmark,Bioexisting,3,Generation,0.0
Denmark,Bioexisting,4,Generation,0.0
Denmark,Bioexisting,5,Generation,0.0
Denmark,Bioexisting,6,Generation,0.0
Denmark,Bioexisting,7,Generation,0.0
Denmark,Bioexisting,8,Generation,0.0
Denmark,Coal,1,Generation,0.001347978991620005
Denmark,Coal,2,Generation,0.0010379860172586531
Denmark,Coal,3,Generation,0.0011286671795521233
Denmark,Coal,4,Generation,0.0012472290132992873
Denmark,Coal,5,Generation,0.0014254137887048642
Denmark,Coal,6,Generation,5.165132885892404e-09
Denmark,Coal,7,Generation,6.169864361180294e-09
Denmark,Coal,8,Generation,1.967326520706672e-08
Denmark,CoalCCSadv,1,Generation,0.0
Denmark,CoalCCSadv,2,Generation,0.0
Denmark,CoalCCSadv,3,Generation,0.0
Denmark,CoalCCSadv,4,Generation,0.0
Denmark,CoalCCSadv,5,Generation,0.0
Denmark,CoalCCSadv,6,Generation,0.0
Denmark,CoalCCSadv,7,Generation,0.0
Denmark,CoalCCSadv,8,Generation,0.0
Denmark,Coalexisting,1,Generation,0.0
Denmark,Coalexisting,2,Generation,0.0
Denmark,Coalexisting,3,Generation,0.0
Denmark,Coalexisting,4,Generation,0.0
Denmark,Coalexisting,5,Generation,0.0
Denmark,Coalexisting,6,Generation,0.0
Denmark,Coalexisting,7,Generation,0.0
Denmark,Coalexisting,8,Generation,0.0
Denmark,GasCCGT,1,Generation,1.2593409752193137
Denmark,GasCCGT,2,Generation,1841.2086901761331
Denmark,GasCCGT,3,Generation,1140.1051649066212
Denmark,GasCCGT,4,Generation,6822.257206470507
Denmark,GasCCGT,5,Generation,37.70036076775726
Denmark,GasCCGT,6,Generation,3.4092654408822274e-08
Denmark,GasCCGT,7,Generation,2.375577141043695e-08
Denmark,GasCCGT,8,Generation,2.211662063911478e-07
Denmark,GasCCSadv,1,Generation,0.0
Denmark,GasCCSadv,2,Generation,0.0
Denmark,GasCCSadv,3,Generation,0.0
Denmark,GasCCSadv,4,Generation,0.0
Denmark,GasCCSadv,5,Generation,0.0
Denmark,GasCCSadv,6,Generation,0.0
Denmark,GasCCSadv,7,Generation,0.0
Denmark,GasCCSadv,8,Generation,0.0
Denmark,GasOCGT,1,Generation,0.006515984727475889
Denmark,GasOCGT,2,Generation,4.412528881906628
Denmark,GasOCGT,3,Generation,1338.707760827197
Denmark,GasOCGT,4,Generation,5.101539915596227
Denmark,GasOCGT,5,Generation,0.03417744887633513
Denmark,GasOCGT,6,Generation,2.732952444610909e-08
Denmark,GasOCGT,7,Generation,3.1823228682609624e-08
Denmark,GasOCGT,8,Generation,2.1617333165482752e-06
Denmark,Gasexisting,1,Generation,0.0
Denmark,Gasexisting,2,Generation,0.0
Denmark,Gasexisting,3,Generation,0.0
Denmark,Gasexisting,4,Generation,0.0
Denmark,Gasexisting,5,Generation,0.0
Denmark,Gasexisting,6,Generation,0.0
Denmark,Gasexisting,7,Generation,0.0
Denmark,Gasexisting,8,Generation,0.0
Denmark,Hydrorun-of-the-river,1,Generation,2.3654236040921297e-08
Denmark,Hydrorun-of-the-river,2,Generation,1.2584555547495928
Denmark,Hydrorun-of-the-river,3,Generation,3.402629254026715e-07
Denmark,Hydrorun-of-the-river,4,Generation,0.7415440636218964
Denmark,Hydrorun-of-the-river,5,Generation,3.497557684275307e-09
Denmark,Hydrorun-of-the-river,6,Generation,4.156500097021059e-09
Denmark,Hydrorun-of-the-river,7,Generation,3.1745560797734685e-09
