seed,n_I,n_J,n_K,n_L,final_samples,iterations,optimality_gap,prediction_gap
40,5,3,6,4,2,0,1.9113389811543962,18.387717007240852
40,10,6,12,8,2,0,0.0,63.2750511450127
40,20,12,24,16,2,0,0.5337317815153765,99.99885380597361
40,40,24,48,32,2,0,0.14351530640679075,100.0223181638924
40,80,48,96,64,2,0,0.7958267406354423,99.9960309696035
81,5,3,6,4,2,0,0.0,19.961803583049836
81,10,6,12,8,2,0,1.9350266519104413e-14,60.10983465403731
81,20,12,24,16,2,0,0.9005767372701068,99.99738907801604
81,40,24,48,32,2,0,0.9880768261365804,100.02148200097847
81,80,48,96,64,2,0,0.34726639643739965,99.99558712586905
87,5,3,6,4,2,0,0.0,22.03207093963832
87,10,6,12,8,2,0,2.2298586318309527e-14,57.28879549512652
87,20,12,24,16,2,0,0.380208977136987,99.99811679544663
87,40,24,48,32,2,0,1.00388552062257,100.02305902864623
87,80,48,96,64,2,0,1.5428953679240625,99.99629769292322
68,5,3,6,4,2,0,1.5751722020265098,26.96462794076001
68,10,6,12,8,2,0,1.0924268441456506,80.68564250485221
68,20,12,24,16,2,0,0.6037961452277409,99.99667025941034
68,40,24,48,32,2,0,0.5672086372908589,100.02186150555747
68,80,48,96,64,2,0,0.5628102727153697,99.99578416272072
27,5,3,6,4,65,6,1.8226480788323711,16.072185108296758
27,10,6,12,8,2,0,2.1235050539342264e-14,70.78672180184388
27,20,12,24,16,2,0,0.40761551738930846,99.99839765241933
27,40,24,48,32,2,0,0.9651657605713179,100.02133832198015
27,80,48,96,64,2,0,1.0026914205705177,99.99576426684278
23,5,3,6,4,5,2,1.0872704901227792,8.24647791280014
23,10,6,12,8,2,0,2.1656358593890026,93.14667634664399
23,20,12,24,16,2,0,0.04616551325253035,99.99828879402484
23,40,24,48,32,2,0,0.8953589797907786,100.02301767481516
23,80,48,96,64,2,0,0.6459595329426515,99.99582878433102
62,5,3,6,4,2,0,0.0,53.11981536038354
62,10,6,12,8,2,0,2.0263988619335692e-14,91.25701600993375
62,20,12,24,16,2,0,1.417259068931009,99.99715281903048
62,40,24,48,32,2,0,1.153691427499543,100.02360826009064
62,80,48,96,64,2,0,1.2688237278824872,99.99600576144259
66,5,3,6,4,2,0,0.4419195674518166,58.36049488097233
66,10,6,12,8,2,0,0.8106776390569044,81.17534029611281
66,20,12,24,16,2,0,0.0,99.99903040149925
66,40,24,48,32,2,0,1.6122400180920604,100.02310191410363
66,80,48,96,64,2,0,0.32935682367885666,99.99601897857531
1,5,3,6,4,2,0,0.0,47.26056920535233
1,10,6,12,8,5,2,2.5879753031861212,27.89448474373645
1,20,12,24,16,2,0,0.020031265980276693,99.99922094967012
1,40,24,48,32,2,0,0.1831629628332648,100.02228365246928
1,80,48,96,64,2,0,1.1713238282745186,99.99563271888849
43,5,3,6,4,2,0,0.0,50.76669560527714
43,10,6,12,8,2,0,0.0,70.3213750929895
43,20,12,24,16,257,8,1.2936827762125271,2.910481970555763
43,40,24,48,32,2,0,0.3230083527402891,100.02176176132681
43,80,48,96,64,2,0,1.3159859413474402,99.9959215878023
36,5,3,6,4,2,0,0.16056543563646308,55.58266479976477
36,10,6,12,8,2,0,0.3336861192729296,80.55863236549379
36,20,12,24,16,2,0,0.8939127417622721,99.9982317062719
36,40,24,48,32,2,0,0.5265379912218925,100.02372499113773
36,80,48,96,64,2,0,0.7496863183908257,99.99555706418774
7,5,3,6,4,2,0,0.0,25.88597667709603
7,10,6,12,8,2,0,0.621271375967069,99.5667590933919
7,20,12,24,16,2,0,4.323453024207667e-14,99.9962454734216
7,40,24,48,32,2,0,1.0098513136005132,100.02211695245427
7,80,48,96,64,2,0,0.8209116601348994,99.99612530727185
98,5,3,6,4,2,0,2.0204804471357793e-14,37.652437676718456
98,10,6,12,8,257,8,2.4381540200020067,14.424625717391336
98,20,12,24,16,2,0,0.6424352614441989,99.99761544902186
98,40,24,48,32,2,0,0.21853339105522251,100.0224347242382
98,80,48,96,64,2,0,1.5128112909525722,99.99557398503046
79,5,3,6,4,513,9,1.116604727935588,3.1362796721005113
79,10,6,12,8,2,0,1.2064971232573556,74.28889746523603
79,20,12,24,16,17,4,0.21924803608386872,0.5200649359366704
79,40,24,48,32,2,0,0.5490430667799368,100.02284271157511
79,80,48,96,64,2,0,2.5371319605706932,99.99583849283502
83,5,3,6,4,2,0,0.0,13.266094239090155
83,10,6,12,8,2,0,2.017116236487723e-14,92.75898692701374
83,20,12,24,16,2,0,0.7246303608916725,99.99731750580953
83,40,24,48,32,2,0,0.44382307209718574,100.02297424635958
83,80,48,96,64,2,0,0.5617840039495058,99.9959137890991
70,5,3,6,4,2,0,4.1800662436944945e-09,32.18481861721764
70,10,6,12,8,2,0,0.03442815968941965,100.00133226398297
70,20,12,24,16,2,0,0.13341267161566395,99.99775642099978
70,40,24,48,32,2,0,2.865040645821073,100.02283891322499
70,80,48,96,64,2,0,1.580358619099779,99.99580275478458
31,5,3,6,4,257,8,2.853471667436234,13.148457275262881
31,10,6,12,8,2,0,0.0,54.251671426532056
31,20,12,24,16,2,0,0.43676549146349153,99.99680349213634
31,40,24,48,32,2,0,0.786990901285191,100.02309684090034
31,80,48,96,64,2,0,1.7421143612049077,99.99628594951949
71,5,3,6,4,2,0,0.0,48.04909697977958
