seed,n_I,n_J,n_K,n_L,n_S,final_samples,iterations,optimality_gap,prediction_gap
35,5,3,6,4,10,2,0,0.4878023461498563,17.125695284407634
35,10,6,12,8,10,2,0,0.8398779772297924,12.305077479797527
35,40,24,48,32,10,2,0,0.0,100.01760145530562
10,5,3,6,4,10,2,0,0.0,12.633452443953534
10,10,6,12,8,10,2,0,1.42646380893646,0.14600339151531924
10,40,24,48,32,10,2,0,0.23894252287442866,100.01696858018371
88,5,3,6,4,10,2,0,1.8703493363947966e-14,18.086751753495793
88,10,6,12,8,10,2,0,0.3739293381057775,7.795493546382694
88,40,24,48,32,10,2,0,0.0,100.0165856449797
53,5,3,6,4,10,2,0,0.0,35.73226943425881
53,10,6,12,8,10,2,0,0.9805151583486987,5.011489617777854
53,40,24,48,32,10,2,0,0.14985376929288746,100.01642252025609
49,5,3,6,4,10,2,0,0.1625278125570158,30.30131921656095
49,10,6,12,8,10,2,0,0.0,6.239857996520916
49,40,24,48,32,10,2,0,0.10422353043867941,100.01769425475851
93,5,3,6,4,10,2,0,1.211959705682998,11.140655403472277
93,10,6,12,8,10,2,0,0.0,14.249530756630408
93,40,24,48,32,10,2,0,0.057816271093383116,100.01874217670901
58,5,3,6,4,10,2,0,1.7222186959174115,8.478140838312413
58,10,6,12,8,10,2,0,0.1350181672084384,0.8291244667670705
58,40,24,48,32,10,2,0,0.16237420613793688,100.01812997410022
92,5,3,6,4,10,2,0,2.011642143296758e-14,1.5876080440307063
92,10,6,12,8,10,2,0,0.0,4.482244678934038
92,40,24,48,32,10,2,0,0.022198122954255165,100.01909321075655
75,5,3,6,4,10,2,0,0.0,21.666849305614885
75,10,6,12,8,10,2,0,0.0,2.491744511333376
75,40,24,48,32,10,2,0,0.21113150708237496,100.01641167258796
29,5,3,6,4,10,2,0,0.0,6.990407244596825
29,10,6,12,8,10,2,0,0.0,4.669637875980278
29,40,24,48,32,10,2,0,1.3331361766017302,100.01654369633673
5,5,3,6,4,10,2,0,0.4179109594298489,21.374669059467234
5,10,6,12,8,10,2,0,0.021111565620169612,17.944345048209406
5,40,24,48,32,10,2,0,0.4467866663229602,100.01713747881101
70,5,3,6,4,10,2,0,1.0014918159911794,36.58167931362629
70,10,6,12,8,10,2,0,0.0,12.469026546445683
70,40,24,48,32,10,2,0,0.22152469438200556,100.01764011781651
16,5,3,6,4,10,2,0,2.76146466038877,38.35666503077138
16,10,6,12,8,10,2,0,0.3819170340628837,4.0772550065708675
16,40,24,48,32,10,2,0,0.09517722146036259,100.01704098904646
51,5,3,6,4,10,2,0,0.6083311267794468,22.556688503772367
51,10,6,12,8,10,2,0,4.213389298408393e-14,20.766972715355777
51,40,24,48,32,10,2,0,0.12412615375110597,100.01708752038343
28,5,3,6,4,10,2,0,1.3722538427370294,25.76228092880565
28,10,6,12,8,10,2,0,0.4656570886128378,4.504648679673024
28,40,24,48,32,10,2,0,0.0,100.01649161256654
90,5,3,6,4,10,257,8,2.22504330693012,1.5578533858802992
90,10,6,12,8,10,2,0,0.09667858252926347,11.317797711251185
90,40,24,48,32,10,2,0,0.2619835147440786,100.01526907693963
97,5,3,6,4,10,2,0,0.0,25.949277923964065
97,10,6,12,8,10,2,0,0.0,11.470121895875401
97,40,24,48,32,10,2,0,0.13523193303507686,100.01561116660886
81,5,3,6,4,10,2,0,0.0,12.987592065816077
81,10,6,12,8,10,2,0,0.013921019007229267,6.467798140538955
81,40,24,48,32,10,2,0,0.20603427471922475,100.01866716198444
82,5,3,6,4,10,2,0,0.0,30.638179390049743
82,10,6,12,8,10,2,0,2.6357359897830097,23.446087807708608
82,40,24,48,32,10,2,0,0.06220118533587317,100.01706022187766
39,5,3,6,4,10,2,0,2.489709653039538,24.214883993929558
39,10,6,12,8,10,2,0,0.0,18.25229696288233
39,40,24,48,32,10,2,0,0.5314859403426219,100.01910650117574
4,5,3,6,4,10,33,5,2.9910294168561604,2.4409923771020723
4,10,6,12,8,10,2,0,0.0,13.548529550754939
4,40,24,48,32,10,2,0,0.38939932610174566,100.01672920559663
9,5,3,6,4,10,2,0,2.0218145562728687,21.707797954143622
9,10,6,12,8,10,2,0,0.15013210518743128,22.983603669479162
9,40,24,48,32,10,2,0,0.039164049123934085,100.01740238492336
44,5,3,6,4,10,2,0,0.0,24.661378151794906
