i,v_i,xi_i,Q_i
1,"[169403.67596736562, 121913.58078311173, 2.1522692131848524, 3.591860096726211, 55630.2550836222, 17178.02683214509, 56309.136374867194, 13861.09427610774, 28.037887782425805, 10648.031007090733, 2765.0, 2300.0]","[33.022628834349916, -7.545289129544328, 0.6381262965386792, -10.417337142194087, 0.0766383017557431, -9.514487559914855, 0.11661502241994147, 2.633801568590011, -8.729948905873254, -6.393931112265877, -5.260978340285427, -5.822325533096618, 4.254869651530943, 6.402867759357722, 5.421692331941519, -0.8198298216899014, -2.0310388612669326, -0.34845363447445454, 1.2649045585460363, 4.0967472246959264, 1.3256635456508645, 1.914074946897556, 0.9619071057315464, 2.0019055950485556, -3.7773169978614605, -0.7436439473864165, -3.1206283748312598, -2.476348437238871, 4.074031982742019, 1.322675938376315, -0.35721971235882727, -3.6757697913692655, 2.9211500714187886, -0.28070591731484085, -1.406687877439939, -0.40855891503068326, -1.923952686437063, 1.4874009213733534, -1.7790332008018999, 2.450455704246315, -1.2118263058297434, 1.159471583754008, -1.1619618871182174, 0.029082601828125127, -0.6906513939868328, 1.9125213314887806, 1.6307017016502927, 1.2135089956191736, 1.495883750897827, -0.45613699368026583, 0.38270032858903286, 2.3120466979748384, 0.3876468993998758, 0.46958458782463036, 1.9743709318857885, -0.42270581805343294, -0.1866862473540401, 0.9053222287306896, 0.47071301553158296, -0.04201194651766278, 1.6897922177403535, -0.11605996561456777, 0.3616496344419939, 0.3690772711447439, 1.9354411559070432, -3.0401071793036056, -1.3230477726654972, -1.3471792603119759, -1.091442104933334, 0.4286007888482961, -0.18287792473159142, 0.6203624573700425, 1.9624589671078203]",345534275043.52515
1,"[169409.5766077134, 104073.77909118505, 3.4627772391473255, 3.288316185957145, 55630.66242930463, 17178.05218681057, 56309.23494744496, 13861.191734898437, 1823.799497284901, 10648.029891650809, 2765.0, 2300.0]","[32.297344701618165, -10.773229612695934, -6.322928185560077, -4.144545327767072, 10.98717254845796, 0.0867404531717491, 5.482153342108671, -3.969227858078467, 5.5060497426154935, -2.2133301924263518, -1.2727033221056516, 11.550487776823369, -3.0744328838099824, 0.2691626783243965, -4.615421827945292, 4.516548363478645, -1.5944930789810492, 5.289236254073118, 1.584546551350219, 0.3321685234846071, -2.1345495126840874, 0.5123894241583427, -3.0600493468975114, 6.823605493878725, -2.025611487696532, 1.1123386004183409, -3.122102882563211, 1.013667792130605, 2.9590940083903776, 0.2568924888571373, 1.3195998796341644, 1.37756783083787, -2.1149924420272757, -3.510584070442029, 1.9282191088943432, 1.1706457250353959, 2.1011878574662304, -0.29599636199000423, 0.7548322478285903, -1.748555420123177, 1.8931725978890042, 0.2945977203871824, -1.3360480668615209, 0.4375779748800897, -0.7873881063999069, -0.16419682528663324, 1.560125334966465, -1.060530328667853, -0.3754937322459055, 0.11520189094883587, -0.6087907482460414, 0.13197016204542275, -0.7779538128983406, 0.06335809911500745, 1.3486266160902336, -0.9209594933946327, 1.8075322289814584, -0.1107430956888004, -1.140759813755783, -0.22780746741013677, 0.5575716846496355, -1.693379814359432, -2.318301006797597, 0.2549324033218906, 1.1124823843127463, 0.5466025154048849, 1.2093759906976047, -0.8334592639599476, 1.5457909510975318, 0.9036060376140735, 2.038890249524414, 0.49589089224052985, 0.8805698977546668]",785495296135.329
1,"[169410.80524892823, 140202.8180415683, 3.177797822500592, 3.064500713173967, 55630.62069762969, 17178.052186641515, 56309.133800609365, 13861.076454735332, 13.49775112626386, 10648.030611247663, 2765.0, 2300.0]","[32.77920239292476, -7.57839244910618, -2.535186457669736, -4.97632455291949, 5.4727920177449505, 10.109611344134567, -4.157886444485705, -4.984649803196759, -3.670407381580825, -2.065315225457524, -4.7293891200321765, 4.841961448098134, -11.017186983586349, 1.0141705360216482, -1.296568348454294, -3.5382977128312114, 4.377120835408235, 2.608927144399858, 2.182801738724006, 0.23907760046723042, -1.643364927814232, -5.095657846150672, 2.7104468974821008, 7.526438948352533, 2.148116254057276, 0.6742912396406906, 5.946085482387249, 1.373673591619003, -0.3367129421385706, 1.222973930250977, 0.181701351582669, 1.4500324169605814, -1.51088718384846, 0.8094810098740104, 2.100950649410154, -5.634277235125875, 2.6079990397236097, 0.6722860681152352, 0.7420083209183713, -1.2622774677684696, 0.07699708491799487, -0.8397556847612724, -1.2734498302641803, -0.6052080872396189, 0.8295151973837905, -1.7651206998229854, 0.39747572729526137, 0.4389700165921341, 0.8848872131267514, -0.046239816791536, -1.313094318887984, 2.1983836984137692, 3.6408233169495863, 0.07418781126241879, -1.1058842594247338, -2.0297225185518197, -0.05729047295555991, -1.0758584536308797, 0.9169342343890554, 0.8938061314588126, -2.1445367297420423, 0.6221123964127483, 1.4538313074686844, 0.2827940445666212, -0.7069063206970365, -0.9024539349540879, -0.6080012805123185, 2.2718408554437155, -1.1564111268585586, -0.7516834172930059, 0.1145059062538959, 1.2479503022308507, 0.6442051310514614]",195359027157.26367
1,"[169388.31216653335, 129910.01007902864, 3.462786765439571, 3.064496539925831, 55630.19811314445, 17178.004942433723, 56309.13637338659, 13861.094275248377, 14.450210445607548, 56.10230176073138, 2765.0, 2300.0]","[32.576697453426036, -4.330597495717312, 4.200100069761352, 0.6491816575541758, -3.469213952545797, 10.352504700517589, 8.85263378869008, 7.862027136693232, -9.759178424768175, -7.549156857086275, 8.959542363750934, 0.06194802955143242, 2.704275555192803, 0.04163145991277798, 3.0926309946447814, 5.350392934938876, 0.2879761585789215, -1.2461272412530455, 4.719041541143026, -0.4338016889815842, 2.0911671015136277, -0.04725107043275391, -1.060308220989031, 0.5536535830317314, 0.15173338731038766, 2.0338374161253547, 6.886785452372964, -0.5750162941288531, -0.49494046868320346, 0.4692883454215125, 1.2712371985926454, 0.7682606247718817, -2.2981402279638385, -3.4375693613612084, 0.9131242041599401, -4.523906174624766, -2.7223211579122353, -1.835493383452072, -0.5662130410971624, 3.612566303324179, -0.7880472172695432, 1.4034227113942055, -0.6733633229685024, 0.40240494986437997, 1.7854770491891265, -3.068906992518821, -3.8878237725852975, 0.5848803138853614, 2.3333182197506006, -0.3526723791402361, -0.13794688631349963, 2.019920138527944, 3.7669395677875275, 1.0790233796219002, 2.109034353341872, 0.10671093652708954, -0.42203268289938034, 0.9056854501435279, -0.06872432097250139, -0.24023579909424825, 0.9867514716617226, -0.8566598700440171, 0.26951268559909125, -2.2167968835779455, -0.5644797200870951, 0.42153707980422866, -1.3094196400183478, -1.3703666915926302, 0.34262463874867866, 2.536569902856362, 1.39983667264027, 0.6786930649571808, -0.17496230625605266]",209369507662.71912
1,"[169427.11476277804, 100608.49418800825, 3.181239880972012, 3.591859575404726, 55630.46560801265, 17178.45226712095, 56309.119931720554, 13861.107741508178, 13.495289468231297, 26.98805938322438, 2765.0, 2300.0]","[33.55598961691958, -0.8502764617193765, -2.912971988588304, -12.599481542921792, 0.23529779726919475, -3.6415280046209597, 5.9503215215731275, -1.7544077856699671, -3.9200123475967295, 5.416367354145104, -2.0015621482392185, 2.869743270256645, -3.9147888652328446, 6.531289126377615, 4.756276653553394, 0.6956005920642382, -0.3533525913134591, -0.6519289827662822, 0.3905978204870898, 1.0456213112197212, 2.822846056081945, 1.4184859449084029, 5.430585410147648, -2.5044162853644636, -3.0997221384440032, -0.17640508311653855, 5.572218622724773, 3.5822378316760832, -1.1049961794091159, -2.251483295973624, -1.272821813310579, 1.2529975655796768, 2.373365080409511, -0.9131889610719793, -1.6311268218516202, 3.08020955812722, -0.06538351889347785, -0.06605524622414202, -2.2391048438981254, -3.1428812557091144, 1.2675839532110955, -0.07788851571299293, 0.5419241576986582, -1.7144710522072002, 1.21539350259473, 3.306435322835716, -0.9532576635946017, 2.047678547042401, 0.6585166063985826, 0.753694490480791, 2.3102666398238294, -1.1943294601881738, -1.4643115874302468, 0.2837068970340823, -1.5261447507212342, -0.638213625943195, -0.42590285143229345, -0.5323060050998066, -0.3508562627983034, 0.8539628896437218, -2.2331810386687856, -1.3354753674246975, 2.107934114988529, -0.6225229099105634, 0.0862031903430141, -0.32029565404611937, 0.3189202393762914, 1.0601111849731488, -1.718626910243353, 0.22862313279426952, -0.5913147876469855, 0.7450968462481229, 1.6200689042902747]",213191934783.38416
1,"[169403.6759531712, 100608.502223307, 3.5897149032533364, 1.7944176880348865, 55632.25781420377, 17178.052186812532, 56309.14976142406, 13861.191734898926, 1823.7994981318332, 3908.057977029273, 2765.0, 2300.0]","[33.152548934953636, 16.84500452311947, 4.107574057334906, 12.165628872192556, -6.24483340692565, -1.312362575160216, -4.285620214401891, -4.916161401741719, -4.584408200241571, -1.1077374244567564, -3.8998543706318594, -9.768430615744577, 1.5870955073576618, -0.1656713616541747, 2.3590971251104826, 2.7708627395206435, 1.875773628801331, 3.042421285701135, 3.3926411618963823, -1.0662760574616361, -0.33229604729915035, 1.1715215358984843, 0.9949094745186021, 1.9070805665290398, -0.3751642655976177, 1.4669251806665229, -6.410836624889383, 0.43425232197095764, 2.3668494092960466, -2.065311807872335, -1.8500375529287352, -1.2739876592648582, -1.196578802365991, -0.5778914170722247, -4.73429099056425, 0.6046651686898563, -1.3772318080985677, -2.176364579023702, 1.482579906648815, 5.089530476500092, 3.7060775114292537, 0.8991886749317236, 1.691331714325195, -0.05045044005017113, 0.06908541993238554, -1.4009472049551186, -1.296948512386729, -0.2932611197964038, -1.776111232793758, 0.24415388087435658, -2.945969239494006, -0.25972900931695275, 1.078124879979259, -0.19815232326955168, 1.1013867055349038, 1.4163211006991803, 0.7682493413463157, -0.2952980053635885, 1.6030203098716767, -1.6837347902444972, -0.6775619001413522, -1.1579517920858675, 0.11823550639216926, -1.5770497315477423, -0.30250973783840757, 0.6254122892820905, 1.4676761683558013, 1.6273888825761695, 1.6463721601493646, -0.6019811425212099, -0.06063870575511537, -1.1568152660121724, 1.5708240784656529]",227610614268.31866
1,"[169427.11476277804, 100608.49418800825, 3.181239880972012, 3.591859575404726, 55630.46560801265, 17178.45226712095, 56309.119931720554, 13861.107741508178, 13.495289468231297, 26.98805938322438, 2765.0, 2300.0]","[32.55605510785157, -6.428985112741062, 2.1965913683278213, -3.0980674741320122, -7.8172110958445975, -7.63082184930561, 1.3772927375119852, 7.945139279259919, -3.6966268105988775, -3.22191429895123, -6.624202753972984, 5.397616001538464, 7.978114878276018, 13.071611476173892, -3.1831875084031034, 4.801008898994103, 10.733880076745294, -0.5083369056988944, -0.8298173444422091, 9.035361625397949, 1.042638323179405, 5.391306242199466, 0.278196694896526, 3.3418340033609213, -3.964730461372245, -0.1846097569620233, -3.171420020984804, 2.2697717724705235, 4.230439324372098, -0.7711719311225335, 1.8500790021013593, 3.9598120836889086, 0.5392031493153434, 0.8153649681365475, 1.225403143149222, -0.9474376358171764, 3.841218439193388, -3.816941120993325, 2.40210384649052, 3.0104238185115904, 0.7022630314391103, -1.8984827424400548, -0.6985237468989299, 1.411627755250416, 1.825917312357231, -0.30080207109938906, 1.601876246693261, -1.0553319216498551, -0.14972959200731606, -0.3380436529092374, -0.540965218918226, -1.3247305425562033, -0.168959478815575, 1.7096720777001866, 0.8232601831593302, -1.424327937550865, 0.17714337648508935, -0.82723203130517, -1.5814468637469923, -0.895957961834799, -0.2850302198083601, 0.8322369248137023, -1.627182397309955, 0.7873271485939669, -1.036866287814714, -2.573327836628127, 1.112795137974241, 2.989584110771562, -1.2804667652719857, 0.2856471860525323, 2.364876614780657, 1.29233215194355, 2.2922016592636547]",393844885404.7092
1,"[169388.31226254828, 110160.24587335563, 3.177793815315957, 3.454362505076596, 55632.25782142723, 17178.091331106865, 56309.22364830597, 13861.015157071384, 66.1390060834609, 10648.0231170839, 2765.0, 2300.0]","[32.51705017462472, 12.395580930966371, 3.1166932118283195, -7.473253724129773, -0.8836699317820904, -4.619448347918422, 9.531415931272164, 0.9386492116418115, -2.9427472938926256, 2.7064185349381766, -6.701286919198915, -0.22947086952549456, -1.942013586140891, -6.318533008066815, 0.1417754022503038, 3.877328032381606, 0.6509655836479286, -2.4217368051162502, -1.8711519704867292, 2.7863518403253265, -1.0109405880029667, -7.752125618654364, -1.7042169850308804, 5.155899435772835, 4.112018362210993, 2.3356031165631292, 3.816216254573109, -4.977897339295295, -1.1391095265597875, 0.028655046552892163, 4.073445467410188, 1.8250595186160097, 3.5854941235672033, -2.310216825613847, 0.010364396729250245, 4.041419872036382, -0.05186908319821928, -3.4315153712896276, -3.038777454732335, -0.8284064404938692, -0.6159140623137744, 2.861276609605178, -2.031878841423516, 1.3710328300646926, -0.01818172947912452, 0.17021547835710338, 4.2007472163441975, 0.432021897172007, 2.1935002679202285, 0.564860112186853, -0.02020673991260422, 0.35984753436201583, -0.20383025530170013, 1.0542565746442254, -0.6025938240066433, -0.27768626340172947, 1.8881400040917564, 0.311310568916542, 0.530386443422257, 0.689382033052884, -1.4731529738859164, 1.5885218021764447, -0.914148801763975, 0.9515939780873997, -3.1949178110367358, -0.07792754381653669, 1.123451718803263, -0.6034827098334296, 0.09126050600363213, -0.9941324381451904, -1.6195292879612229, -0.8555779778276954, 2.5280630652953633]",226815527201.85284
1,"[169388.3122298352, 121169.0139216842, 3.3111607296607204, 3.779112397298795, 55630.00198723814, 17178.228332746916, 56309.04378137001, 13861.041749239464, 8.067528230287328, 28.87384218140971, 2765.0, 2300.0]","[32.58515259496701, -6.386300875537771, 6.563532866909344, -9.083186550313009, -2.4488962552303177, 10.616193081342544, 8.808425956480681, 4.952588328858708, 5.981219763782574, -4.887355407299651, 5.189716367822461, -12.514975502540407, -3.9115061279246337, -5.342193793350538, -6.192707583333505, -1.1761174884476477, 5.575836756889157, 2.000729724554078, -5.710135895800921, 1.994314673698288, 3.1905922816132715, 5.8715196576469895, 2.038894269664923, 1.2587250337458817, -1.0757936341613799, -1.204929177017142, -4.925911990409301, 5.571283962675511, -1.2218958635692125, -0.42965904966667706, 0.5225073786722011, -0.36505565600204287, 2.8444896362698837, -1.1561482793792721, -4.845568720050787, 0.218697137761656, -1.472138051159816, -1.0051880667435045, -1.4917440491128036, -0.03450867092986044, 1.5140826293186833, -2.638186541665855, -3.606033106530226, -0.2611312249693104, -4.865417881103221, 0.8562900432101181, -2.582284991707652, 0.16038732646834558, 1.9948140930984066, -0.1846328804239298, -2.39881296743616, 0.19300953951468122, -0.007990741342597227, 3.9684987963038356, 3.0617792314989405, 0.003758878148278077, 1.4974424711892411, 0.15658717511498843, 0.6913475193849522, 2.764934888030707, 2.8930620397670066, -1.0844248311327271, 0.7636293897769469, -2.336477378344285, -0.9773557414899844, -0.911844432327531, 0.3520605990353737, 1.0155659539287896, 0.21856116407499643, 3.37568124699947, -0.39187420352293106, -0.21604693284704166, -1.184479126519976]",435605766330.8025
1,"[169410.86987143266, 78624.63386011332, 3.4627769421825656, 3.28831649285087, 55630.129304366914, 17178.014666848198, 56309.14581701688, 13861.23133145175, 1823.8010104505993, 132.30487442539393, 2765.0, 2300.0]","[33.491544352411786, -9.88308155869893, -10.431731649404707, -4.125945158252391, 0.4391038133928233, 7.275852022662279, -11.218933047759695, -7.427443354413848, -0.7611748268161702, -0.25719257989307964, -6.813086541922497, 3.117779831321436, 0.9996700197550679, -7.354872924798371, 2.796653745255409, -0.32777067483288524, 4.771092659041538, -1.1511887911377816, -1.227236121159987, -0.3877334543268073, 2.9833924532417835, 1.4107578938346852, -1.8091833086347853, -4.1059014032985965, -0.8096057464407687, -1.8558813359764803, 4.315464087652671, -2.7992972264787404, 1.7979167774177365, 2.170422485160443, 1.2577560975546704, 0.022158040284613004, -1.4504489190072811, 1.0720225007955437, 5.377104453574923, -1.5292298210371458, 2.288716264497224, -1.9624741387393625, -1.6354222269504053, -2.559254747102283, -1.0085489574309143, -1.851814972747507, -1.3009827379746788, -0.004459908624669885, 1.1063384524914073, -0.9156069275478317, -0.8451233661106874, -0.7291991067044529, -1.0560023072124851, 0.8460884598874515, -0.04315109623677702, 1.232171304608573, -0.08407798882154552, 1.176139467163542, 0.7244813407545065, -1.3280093751163589, 0.20693182221008938, -0.5580698107166744, -0.39321342342260646, 2.136638634461655, -2.4334142428322254, -0.8913056488923631, 1.1024863650062344, -1.9074484037463413, 0.14345855756429793, 0.328806982117731, 0.29919832968117177, -0.13578238130121198, 0.7530627854275004, 0.38029090597357745, 0.5133016642691863, 1.9944906816781274, -0.029982351720850585]",204584355953.73563
