Source:_-	Unnamed:_1
Switzerland	Austria
CzechR	Austria
Germany	Austria
Hungary	Austria
Italy	Austria
Croatia	BosniaH
Italy	BosniaH
Germany	Belgium
France	Belgium
GreatBrit.	Belgium
Luxemb.	Belgium
Greece	Bulgaria
Austria	Switzerland
Germany	Switzerland
France	Switzerland
Italy	Switzerland
Austria	CzechR
Germany	CzechR
Austria	Germany
Belgium	Germany
Switzerland	Germany
CzechR	Germany
Denmark	Germany
France	Germany
Italy	Germany
Luxemb.	Germany
Germany	Denmark
GreatBrit.	Denmark
Finland	Estonia
France	Spain
Ireland	Spain
Estonia	Finland
Belgium	France
Switzerland	France
Germany	France
Spain	France
GreatBrit.	France
Ireland	France
Italy	France
Luxemb.	France
Belgium	GreatBrit.
Denmark	GreatBrit.
France	GreatBrit.
Ireland	GreatBrit.
Bulgaria	Greece
Italy	Greece
BosniaH	Croatia
Hungary	Croatia
Italy	Croatia
Austria	Hungary
Croatia	Hungary
Spain	Ireland
France	Ireland
GreatBrit.	Ireland
Austria	Italy
BosniaH	Italy
Switzerland	Italy
Germany	Italy
France	Italy
Greece	Italy
Croatia	Italy
Belgium	Luxemb.
Germany	Luxemb.
France	Luxemb.
