Source:_-	Unnamed:_1
BosniaH	Liginiteexisting
Bulgaria	Liginiteexisting
CzechR	Liginiteexisting
Germany	Liginiteexisting
Estonia	Liginiteexisting
Greece	Liginiteexisting
Hungary	Liginiteexisting
Ireland	Liginiteexisting
BosniaH	Lignite
Bulgaria	Lignite
CzechR	Lignite
Germany	Lignite
Estonia	Lignite
Greece	Lignite
Hungary	Lignite
Ireland	Lignite
BosniaH	LigniteCCSadv
Bulgaria	LigniteCCSadv
CzechR	LigniteCCSadv
Germany	LigniteCCSadv
Estonia	LigniteCCSadv
Greece	LigniteCCSadv
Hungary	LigniteCCSadv
Ireland	LigniteCCSadv
Austria	Coalexisting
BosniaH	Coalexisting
Bulgaria	Coalexisting
CzechR	Coalexisting
Germany	Coalexisting
Denmark	Coalexisting
Spain	Coalexisting
Finland	Coalexisting
France	Coalexisting
GreatBrit.	Coalexisting
Croatia	Coalexisting
Hungary	Coalexisting
Ireland	Coalexisting
Italy	Coalexisting
Austria	Coal
BosniaH	Coal
Belgium	Coal
Bulgaria	Coal
CzechR	Coal
Germany	Coal
Denmark	Coal
Spain	Coal
Finland	Coal
France	Coal
GreatBrit.	Coal
Croatia	Coal
Hungary	Coal
Ireland	Coal
Italy	Coal
Austria	CoalCCSadv
BosniaH	CoalCCSadv
Belgium	CoalCCSadv
Bulgaria	CoalCCSadv
CzechR	CoalCCSadv
Germany	CoalCCSadv
Denmark	CoalCCSadv
Spain	CoalCCSadv
Finland	CoalCCSadv
France	CoalCCSadv
GreatBrit.	CoalCCSadv
Croatia	CoalCCSadv
Hungary	CoalCCSadv
Ireland	CoalCCSadv
Italy	CoalCCSadv
Austria	Gasexisting
Belgium	Gasexisting
Bulgaria	Gasexisting
CzechR	Gasexisting
Germany	Gasexisting
Denmark	Gasexisting
Estonia	Gasexisting
Spain	Gasexisting
Finland	Gasexisting
France	Gasexisting
GreatBrit.	Gasexisting
Greece	Gasexisting
Croatia	Gasexisting
Hungary	Gasexisting
Ireland	Gasexisting
Italy	Gasexisting
Lithuania	Gasexisting
Luxemb.	Gasexisting
Austria	GasOCGT
Belgium	GasOCGT
Bulgaria	GasOCGT
Switzerland	GasOCGT
CzechR	GasOCGT
Germany	GasOCGT
Denmark	GasOCGT
Estonia	GasOCGT
Spain	GasOCGT
Finland	GasOCGT
France	GasOCGT
GreatBrit.	GasOCGT
Greece	GasOCGT
Croatia	GasOCGT
Hungary	GasOCGT
Ireland	GasOCGT
Italy	GasOCGT
Lithuania	GasOCGT
Luxemb.	GasOCGT
Austria	GasCCGT
Belgium	GasCCGT
Bulgaria	GasCCGT
Switzerland	GasCCGT
CzechR	GasCCGT
Germany	GasCCGT
Denmark	GasCCGT
Estonia	GasCCGT
Spain	GasCCGT
Finland	GasCCGT
France	GasCCGT
GreatBrit.	GasCCGT
Greece	GasCCGT
Croatia	GasCCGT
Hungary	GasCCGT
Ireland	GasCCGT
