Source:_Assumed	Unnamed:_1	Unnamed:_2	Unnamed:_3
Germany	Existing	1	0
Denmark	Existing	1	0
France	Existing	1	0
Germany	Existing	2	0
Denmark	Existing	2	0
France	Existing	2	0
Germany	Existing	3	0
Denmark	Existing	3	0
France	Existing	3	0
Germany	Existing	4	0
Denmark	Existing	4	0
France	Existing	4	0
Germany	Existing	5	0
Denmark	Existing	5	0
France	Existing	5	0
Germany	Existing	6	0
Denmark	Existing	6	0
France	Existing	6	0
Germany	Existing	7	0
Denmark	Existing	7	0
France	Existing	7	0
Germany	Existing	8	0
Denmark	Existing	8	0
France	Existing	8	0
Germany	CCS	1	0
Denmark	CCS	1	0
France	CCS	1	0
Germany	CCS	2	0
Denmark	CCS	2	0
France	CCS	2	0
Germany	CCS	3	0
Denmark	CCS	3	0
France	CCS	3	0
Germany	CCS	4	0
Denmark	CCS	4	0
France	CCS	4	0
Germany	CCS	5	0
Denmark	CCS	5	0
France	CCS	5	0
Germany	CCS	6	0
Denmark	CCS	6	0
France	CCS	6	0
Germany	CCS	7	0
Denmark	CCS	7	0
France	CCS	7	0
Germany	CCS	8	0
Denmark	CCS	8	0
France	CCS	8	0
