seed,num_of_sce,time_limit,lower_bound,upper_bound
17,5,36000,1571032418625.7583,1602333577084.7227
19,5,36000,1570219534728.3225,1598879259221.966
18,5,36000,1574518168668.1543,1608511350420.079
15,5,36000,1569973671134.5256,1597318542725.322
12,5,36000,1590681917066.7588,1619842174600.459
16,5,36000,1552597685772.3276,1578594642935.9736
13,5,36000,1619117370277.8447,1648047654618.8853
11,5,36000,1585207836929.096,1607738611578.8086
12,5,21600,1590681917066.7588,1631420377494.284
11,5,21600,1585207836929.096,1615681773456.9243
13,5,21600,1619117370277.8447,1662842425434.5889
15,5,21600,1569973671134.5256,1606934209019.9556
17,5,21600,1571032418625.7583,1652038485725.4053
16,5,21600,1552597685772.3276,1586587239882.639
18,5,21600,1574518168668.1543,1661613739586.2559
11,5,400,1577356585505.1555,2719921797357.3506
13,5,400,1607073070659.2139,2719555196792.9443
17,5,400,1551188476472.2483,2683034505969.2915
18,5,400,1546274769984.6113,2702214107535.1274
15,5,400,1519515343574.6672,2738535951452.06
14,5,400,1544220781120.662,2718760145850.4077
12,5,400,1550045720281.376,2811877568081.4854
16,5,400,1532041617812.5144,2587940276190.7764
19,5,400,1521869842711.3584,2587739060128.6523
20,5,400,1538911708200.6116,2751973331037.1973
11,5,400,1577356585505.1555,895878905825.9048
18,5,400,1546274769984.6113,864429886907.5703
12,5,400,1550045720281.376,819779144778.6626
13,5,400,1607073070659.2139,942007314731.5132
15,5,400,1519515343574.6672,824784022588.0111
14,5,400,1544220781120.662,889692698835.6675
17,5,400,1551188476472.2483,895953689541.0461
16,5,400,1532041617812.5144,882265383575.5874
19,5,400,1521869842711.3584,900835641145.9608
20,5,400,1538911708200.6116,821443776358.831
16,5,400,1532041617812.5144,1614032077895.211
12,5,400,1550045720281.376,1657976385883.6113
19,5,400,1521869842711.3584,1593556836619.086
13,5,400,1607073070659.2139,1698031745965.8203
11,5,400,1577356585505.1555,1667899903212.5493
14,5,400,1544220781120.662,1654284567980.612
18,5,400,1546274769984.6113,1645286327762.0737
17,5,400,1551188476472.2483,1659814864623.2466
15,5,400,1519515343574.6672,1634955767833.2686
11,10,21600,1591343152290.195,929300638849.5107
15,10,21600,1569116079480.733,882787057787.6674
13,10,21600,1590961659159.3394,927312788510.4148
14,10,21600,1561094739671.1626,882001479993.3232
12,10,21600,1611765316171.5776,945704677150.804
20,10,21600,1596170334722.1636,944158134255.3394
16,10,21600,1569242465662.9512,905843515860.3931
17,10,21600,1577687954334.5012,942786653397.9055
19,10,21600,1578413761181.8171,886267644324.3271
19,5,21600,1570219534728.3213,944085077125.495
13,5,21600,1619117370277.8364,976395338741.5504
15,5,21600,1569973671134.527,956023554736.758
14,5,21600,1571230349802.4062,988520980539.8589
17,5,21600,1571032418625.7632,920100492743.5591
16,5,21600,1552597685772.3281,890587791155.3191
12,5,21600,1590681917066.753,977893733298.4756
18,5,21600,1574518168668.1538,1487207689895.0332
20,5,21600,1583900768632.1072,960885239406.7844
