seed,num_of_sce,runtime,lower_bound
12,5,3600,1483189916293.60
14,5,3600,1258322647489.86
13,5,3600,1411433126867.62
11,5,3600,1232394567759.71
15,5,3600,1239175912862.92
16,5,3600,1362909725437.88
18,5,3600,1173407608702.36
20,5,3600,1413159098577.75
19,5,3600,1213191142993.57
17,5,3600,1358547604146.07
13,10,3600,1230997277770.87
12,10,3600,1239132373616.74
11,10,3600,1167423198560.20
14,10,3600,1509269497839.81
15,10,3600,1387953784302.74
19,10,3600,1345218341294.35
20,10,3600,1422210181013.08
16,10,3600,1438323652775.59
17,10,3600,1549500817732.13
18,10,3600,1722756307090.17
11,20,3600,1276461498151.72
12,20,3600,1514852378067.60
13,20,3600,1569737050310.24
14,20,3600,1185159318061.06
17,20,3600,1531651250001.02
16,20,3600,1403346475163.85
18,20,3600,1418719357037.63
20,20,3600,1522100312085.19
19,20,3600,1514189683889.63
15,20,3600,1484144035504.65
11,5,300,47666029933.18
14,5,300,42065490167.07
12,5,300,45904560047.31
13,5,300,44813532268.15
17,5,300,39138634012.19
18,5,300,38787327307.33
20,5,300,40693643663.29
11,10,300,44973415312.47
11,20,300,40168421444.90
13,10,300,41041309344.59
12,20,300,44187290765.01
14,10,300,40366925443.35
13,20,300,43414090011.94
15,10,300,41777784895.75
14,20,300,43667090930.10
16,10,300,44085520695.85
17,10,300,38047672547.00
15,20,300,45607926981.47
18,10,300,42765328383.50
16,20,300,42595172545.65
19,10,300,45798026304.35
20,10,300,41786700843.97
17,20,300,42217490541.50
16,5,300,39066521344.68
15,5,300,39205626128.17
18,20,300,43401176875.47
19,20,300,44336448461.20
20,20,300,44782781645.88
19,5,300,44450708495.50
12,10,300,45578375259.75
12,5,60,0.00
13,5,60,0.00
11,5,60,0.00
14,5,60,0.00
16,5,60,0.00
17,5,60,0.00
15,5,60,0.00
19,5,60,0.00
20,5,60,0.00
18,5,60,0.00
17,10,60,0.00
15,10,60,0.00
13,10,60,0.00
16,10,60,0.00
14,10,60,0.00
11,10,60,0.00
12,10,60,0.00
20,10,60,0.00
19,10,60,0.00
18,10,60,0.00
12,20,60,0.00
13,20,60,0.00
11,20,60,0.00
14,20,60,0.00
15,20,60,0.00
17,20,60,0.00
16,20,60,0.00
18,20,60,0.00
19,20,60,0.00
20,20,60,0.00
11,5,600,186212901670.49
16,5,600,176819273707.32
13,5,600,54030616434.85
18,5,600,155640544299.06
14,5,600,158810024796.80
17,5,600,240541170854.84
20,5,600,164098585378.98
12,5,600,179278785295.14
13,10,600,52327689277.67
19,5,600,180514542875.03
11,10,600,95496433900.65
12,10,600,57446129326.75
15,5,600,256906633765.02
14,10,600,186041870636.88
15,10,600,55037498379.28
18,10,600,98843307418.00
19,10,600,56883274322.77
16,10,600,92863268253.92
20,10,600,182001205031.50
12,20,600,113151097898.54
15,20,600,113449277571.89
17,10,600,104182485884.22
17,20,600,55777364470.92
20,20,600,106444878482.77
18,20,600,46443528879.37
11,20,600,43201147103.61
14,20,600,46041244149.25
13,20,600,57735595623.11
16,20,600,42595172545.65
19,20,600,47010863510.35
