Node,Energy_Type,Period,Type,Value
Germany,Liginiteexisting,1,Generation,0.0
Germany,Liginiteexisting,2,Generation,0.0
Germany,Liginiteexisting,3,Generation,0.0
Germany,Liginiteexisting,4,Generation,0.0
Germany,Liginiteexisting,5,Generation,0.0
Germany,Liginiteexisting,6,Generation,0.0
Germany,Liginiteexisting,7,Generation,0.0
Germany,Liginiteexisting,8,Generation,0.0
Germany,Lignite,1,Generation,7.005308607166672e-15
Germany,Lignite,2,Generation,9.280992911398755e-15
Germany,Lignite,3,Generation,8.64760442289056e-15
Germany,Lignite,4,Generation,6.616883964365979e-15
Germany,Lignite,5,Generation,4.3413598968720734e-15
Germany,Lignite,6,Generation,6.6571056790754824e-15
Germany,Lignite,7,Generation,7.216770743061715e-15
Germany,Lignite,8,Generation,9.96417688612854e-15
Germany,LigniteCCSadv,1,Generation,0.0
Germany,LigniteCCSadv,2,Generation,0.0
Germany,LigniteCCSadv,3,Generation,0.0
Germany,LigniteCCSadv,4,Generation,0.0
Germany,LigniteCCSadv,5,Generation,0.0
Germany,LigniteCCSadv,6,Generation,0.0
Germany,LigniteCCSadv,7,Generation,0.0
Germany,LigniteCCSadv,8,Generation,0.0
Germany,Coalexisting,1,Generation,0.0
Germany,Coalexisting,2,Generation,0.0
Germany,Coalexisting,3,Generation,0.0
Germany,Coalexisting,4,Generation,0.0
Germany,Coalexisting,5,Generation,0.0
Germany,Coalexisting,6,Generation,0.0
Germany,Coalexisting,7,Generation,0.0
Germany,Coalexisting,8,Generation,0.0
Denmark,Coalexisting,1,Generation,0.0
Denmark,Coalexisting,2,Generation,0.0
Denmark,Coalexisting,3,Generation,0.0
Denmark,Coalexisting,4,Generation,0.0
Denmark,Coalexisting,5,Generation,0.0
Denmark,Coalexisting,6,Generation,0.0
Denmark,Coalexisting,7,Generation,0.0
Denmark,Coalexisting,8,Generation,0.0
France,Coalexisting,1,Generation,0.0
France,Coalexisting,2,Generation,0.0
France,Coalexisting,3,Generation,0.0
France,Coalexisting,4,Generation,0.0
France,Coalexisting,5,Generation,0.0
France,Coalexisting,6,Generation,0.0
France,Coalexisting,7,Generation,0.0
France,Coalexisting,8,Generation,0.0
Germany,Coal,1,Generation,6.33709477301772e-15
Germany,Coal,2,Generation,8.437181788834246e-15
Germany,Coal,3,Generation,7.977253006647296e-15
Germany,Coal,4,Generation,5.922282583654658e-15
Germany,Coal,5,Generation,1.0872285812614811e-14
Germany,Coal,6,Generation,1.3107845626274922e-14
Germany,Coal,7,Generation,1.2278095484611076e-14
Germany,Coal,8,Generation,7.106442026828152e-15
Denmark,Coal,1,Generation,5.602132385754142e-15
Denmark,Coal,2,Generation,6.749002199412381e-15
Denmark,Coal,3,Generation,4.4853678768776286e-14
Denmark,Coal,4,Generation,6.924097029387096e-15
Denmark,Coal,5,Generation,9.437865367884627e-15
Denmark,Coal,6,Generation,1.7246287065797265e-14
Denmark,Coal,7,Generation,1.1604676990784427e-14
Denmark,Coal,8,Generation,1.8357381695010806e-14
France,Coal,1,Generation,4.552586369369339e-15
France,Coal,2,Generation,6.063986208580598e-15
France,Coal,3,Generation,9.624555571266926e-15
France,Coal,4,Generation,6.029056020704343e-15
France,Coal,5,Generation,3.5586993164420694e-15
France,Coal,6,Generation,6.336309508650143e-15
France,Coal,7,Generation,1.4812571609615012e-14
France,Coal,8,Generation,7.736728800654306e-14
Germany,CoalCCSadv,1,Generation,0.0
Germany,CoalCCSadv,2,Generation,0.0
Germany,CoalCCSadv,3,Generation,0.0
Germany,CoalCCSadv,4,Generation,0.0
Germany,CoalCCSadv,5,Generation,0.0
Germany,CoalCCSadv,6,Generation,0.0
Germany,CoalCCSadv,7,Generation,0.0
Germany,CoalCCSadv,8,Generation,0.0
Denmark,CoalCCSadv,1,Generation,0.0
Denmark,CoalCCSadv,2,Generation,0.0
Denmark,CoalCCSadv,3,Generation,0.0
Denmark,CoalCCSadv,4,Generation,0.0
Denmark,CoalCCSadv,5,Generation,0.0
Denmark,CoalCCSadv,6,Generation,0.0
Denmark,CoalCCSadv,7,Generation,0.0
Denmark,CoalCCSadv,8,Generation,0.0
France,CoalCCSadv,1,Generation,0.0
France,CoalCCSadv,2,Generation,0.0
France,CoalCCSadv,3,Generation,0.0
France,CoalCCSadv,4,Generation,0.0
France,CoalCCSadv,5,Generation,0.0
France,CoalCCSadv,6,Generation,0.0
France,CoalCCSadv,7,Generation,0.0
France,CoalCCSadv,8,Generation,0.0
Germany,Gasexisting,1,Generation,0.0
Germany,Gasexisting,2,Generation,0.0
Germany,Gasexisting,3,Generation,0.0
Germany,Gasexisting,4,Generation,0.0
Germany,Gasexisting,5,Generation,0.0
Germany,Gasexisting,6,Generation,0.0
Germany,Gasexisting,7,Generation,0.0
Germany,Gasexisting,8,Generation,0.0
Denmark,Gasexisting,1,Generation,0.0
Denmark,Gasexisting,2,Generation,0.0
Denmark,Gasexisting,3,Generation,0.0
Denmark,Gasexisting,4,Generation,0.0
Denmark,Gasexisting,5,Generation,0.0
Denmark,Gasexisting,6,Generation,0.0
Denmark,Gasexisting,7,Generation,0.0
Denmark,Gasexisting,8,Generation,0.0
France,Gasexisting,1,Generation,0.0
France,Gasexisting,2,Generation,0.0
France,Gasexisting,3,Generation,0.0
France,Gasexisting,4,Generation,0.0
France,Gasexisting,5,Generation,0.0
France,Gasexisting,6,Generation,0.0
France,Gasexisting,7,Generation,0.0
France,Gasexisting,8,Generation,0.0
Germany,GasOCGT,1,Generation,27430.449507902627
Germany,GasOCGT,2,Generation,75908.76766593345
Germany,GasOCGT,3,Generation,1.7496166900659573e-14
Germany,GasOCGT,4,Generation,7.662460498544434e-15
Germany,GasOCGT,5,Generation,1.763670596736004e-14
Germany,GasOCGT,6,Generation,1.3073223345647452e-14
Germany,GasOCGT,7,Generation,2.28365033131664e-14
Germany,GasOCGT,8,Generation,89124.1081751119
Denmark,GasOCGT,1,Generation,780.58024875481
Denmark,GasOCGT,2,Generation,4226.2637650039105
Denmark,GasOCGT,3,Generation,874.6227154144751
Denmark,GasOCGT,4,Generation,7.805821750871149e-14
Denmark,GasOCGT,5,Generation,2.0476786726311133e-14
Denmark,GasOCGT,6,Generation,2.6101748641888178e-14
Denmark,GasOCGT,7,Generation,1.506441414940594e-14
Denmark,GasOCGT,8,Generation,13825.086883237269
France,GasOCGT,1,Generation,33674.82051404295
France,GasOCGT,2,Generation,1.902170716991493e-14
France,GasOCGT,3,Generation,3.811106771158551e-14
France,GasOCGT,4,Generation,5.844582192800341e-12
France,GasOCGT,5,Generation,5.174511556042382e-15
France,GasOCGT,6,Generation,1.976539652835776e-14
France,GasOCGT,7,Generation,13011.262964456988
France,GasOCGT,8,Generation,4.028823415307971e-14
Germany,GasCCGT,1,Generation,6.76982273293821e-14
Germany,GasCCGT,2,Generation,1.430475472160844e-14
Germany,GasCCGT,3,Generation,34621.69123999254
Germany,GasCCGT,4,Generation,59101.30312463291
Germany,GasCCGT,5,Generation,3.464230342637197e-14
Germany,GasCCGT,6,Generation,2937.7884615384846
Germany,GasCCGT,7,Generation,3.099772162789314e-14
Germany,GasCCGT,8,Generation,2.4353002628824842e-14
Denmark,GasCCGT,1,Generation,2.06271136285382e-14
Denmark,GasCCGT,2,Generation,2.467749027861442e-14
Denmark,GasCCGT,3,Generation,1.9893373685554332e-12
Denmark,GasCCGT,4,Generation,4042.1518426561224
Denmark,GasCCGT,5,Generation,6.86761089472007e-14
Denmark,GasCCGT,6,Generation,2.3295930201091812e-14
Denmark,GasCCGT,7,Generation,2.6956601217711425e-14
Denmark,GasCCGT,8,Generation,8.331057546477822e-14
France,GasCCGT,1,Generation,2.2097488679525964e-14
France,GasCCGT,2,Generation,44967.14028904282
France,GasCCGT,3,Generation,5967.9295274595315
France,GasCCGT,4,Generation,3.885890015059827e-14
France,GasCCGT,5,Generation,5.3540524063609064e-15
France,GasCCGT,6,Generation,6086.169277303114
France,GasCCGT,7,Generation,3.724624724529657e-14
France,GasCCGT,8,Generation,16386.359363567964
Germany,GasCCSadv,1,Generation,0.0
Germany,GasCCSadv,2,Generation,0.0
Germany,GasCCSadv,3,Generation,0.0
Germany,GasCCSadv,4,Generation,0.0
Germany,GasCCSadv,5,Generation,0.0
Germany,GasCCSadv,6,Generation,0.0
Germany,GasCCSadv,7,Generation,0.0
Germany,GasCCSadv,8,Generation,0.0
Denmark,GasCCSadv,1,Generation,0.0
Denmark,GasCCSadv,2,Generation,0.0
Denmark,GasCCSadv,3,Generation,0.0
Denmark,GasCCSadv,4,Generation,0.0
Denmark,GasCCSadv,5,Generation,0.0
Denmark,GasCCSadv,6,Generation,0.0
Denmark,GasCCSadv,7,Generation,0.0
Denmark,GasCCSadv,8,Generation,0.0
France,GasCCSadv,1,Generation,0.0
France,GasCCSadv,2,Generation,0.0
France,GasCCSadv,3,Generation,0.0
France,GasCCSadv,4,Generation,0.0
France,GasCCSadv,5,Generation,0.0
France,GasCCSadv,6,Generation,0.0
