Node,Energy_Type,Period,Type,Value
GreatBrit.,Belgium,1,Transmission,895.714090723228
GreatBrit.,Belgium,2,Transmission,0.0
GreatBrit.,Belgium,3,Transmission,104.28590927677205
GreatBrit.,Belgium,4,Transmission,0.0
GreatBrit.,Belgium,5,Transmission,0.0
GreatBrit.,Belgium,6,Transmission,0.0
GreatBrit.,Belgium,7,Transmission,0.0
GreatBrit.,Belgium,8,Transmission,0.0
GreatBrit.,Bio,1,Generation,0.0
GreatBrit.,Bio,2,Generation,0.0
GreatBrit.,Bio,3,Generation,0.0
GreatBrit.,Bio,4,Generation,0.0
GreatBrit.,Bio,5,Generation,0.0
GreatBrit.,Bio,6,Generation,0.0
GreatBrit.,Bio,7,Generation,0.0
GreatBrit.,Bio,8,Generation,0.0
GreatBrit.,Bio10cofiring,1,Generation,0.0
GreatBrit.,Bio10cofiring,2,Generation,0.0
GreatBrit.,Bio10cofiring,3,Generation,0.0
GreatBrit.,Bio10cofiring,4,Generation,0.0
GreatBrit.,Bio10cofiring,5,Generation,0.0
GreatBrit.,Bio10cofiring,6,Generation,0.0
GreatBrit.,Bio10cofiring,7,Generation,0.0
GreatBrit.,Bio10cofiring,8,Generation,0.0
GreatBrit.,Bio10cofiringCCS,1,Generation,0.0
GreatBrit.,Bio10cofiringCCS,2,Generation,0.0
GreatBrit.,Bio10cofiringCCS,3,Generation,0.0
GreatBrit.,Bio10cofiringCCS,4,Generation,0.0
GreatBrit.,Bio10cofiringCCS,5,Generation,0.0
GreatBrit.,Bio10cofiringCCS,6,Generation,0.0
GreatBrit.,Bio10cofiringCCS,7,Generation,0.0
GreatBrit.,Bio10cofiringCCS,8,Generation,0.0
GreatBrit.,Bioexisting,1,Generation,174422.90645675914
GreatBrit.,Bioexisting,2,Generation,24136.37925752659
GreatBrit.,Bioexisting,3,Generation,0.0
GreatBrit.,Bioexisting,4,Generation,0.0
GreatBrit.,Bioexisting,5,Generation,0.0
GreatBrit.,Bioexisting,6,Generation,0.0
GreatBrit.,Bioexisting,7,Generation,0.0
GreatBrit.,Bioexisting,8,Generation,0.0
GreatBrit.,Coal,1,Generation,0.0
GreatBrit.,Coal,2,Generation,0.0
GreatBrit.,Coal,3,Generation,0.0
GreatBrit.,Coal,4,Generation,0.0
GreatBrit.,Coal,5,Generation,0.0
GreatBrit.,Coal,6,Generation,0.0
GreatBrit.,Coal,7,Generation,0.0
GreatBrit.,Coal,8,Generation,0.0
GreatBrit.,CoalCCS,1,Generation,0.0
GreatBrit.,CoalCCS,2,Generation,0.0
GreatBrit.,CoalCCS,3,Generation,0.0
GreatBrit.,CoalCCS,4,Generation,0.0
GreatBrit.,CoalCCS,5,Generation,0.0
GreatBrit.,CoalCCS,6,Generation,0.0
GreatBrit.,CoalCCS,7,Generation,0.0
GreatBrit.,CoalCCS,8,Generation,0.0
GreatBrit.,CoalCCSadv,1,Generation,0.0
GreatBrit.,CoalCCSadv,2,Generation,0.0
GreatBrit.,CoalCCSadv,3,Generation,0.0
GreatBrit.,CoalCCSadv,4,Generation,14717.58929369913
GreatBrit.,CoalCCSadv,5,Generation,5407.385654679419
GreatBrit.,CoalCCSadv,6,Generation,11754.242238239816
GreatBrit.,CoalCCSadv,7,Generation,2975.1242667528377
GreatBrit.,CoalCCSadv,8,Generation,0.0
GreatBrit.,Coalexisting,1,Generation,89635.02609296051
GreatBrit.,Coalexisting,2,Generation,9761.634743086215
GreatBrit.,Coalexisting,3,Generation,0.0
GreatBrit.,Coalexisting,4,Generation,0.0
GreatBrit.,Coalexisting,5,Generation,0.0
GreatBrit.,Coalexisting,6,Generation,0.0
GreatBrit.,Coalexisting,7,Generation,0.0
GreatBrit.,Coalexisting,8,Generation,0.0
GreatBrit.,Denmark,1,Transmission,0.0
GreatBrit.,Denmark,2,Transmission,0.0
GreatBrit.,Denmark,3,Transmission,0.0
GreatBrit.,Denmark,4,Transmission,0.0
GreatBrit.,Denmark,5,Transmission,0.0
GreatBrit.,Denmark,6,Transmission,0.0
GreatBrit.,Denmark,7,Transmission,0.0
GreatBrit.,Denmark,8,Transmission,0.0
GreatBrit.,France,1,Transmission,3400.0
GreatBrit.,France,2,Transmission,2458.6180616197303
GreatBrit.,France,3,Transmission,2141.3819383802697
GreatBrit.,France,4,Transmission,0.0
GreatBrit.,France,5,Transmission,0.0
GreatBrit.,France,6,Transmission,0.0
GreatBrit.,France,7,Transmission,0.0
GreatBrit.,France,8,Transmission,0.0
GreatBrit.,GasCCGT,1,Generation,0.0
GreatBrit.,GasCCGT,2,Generation,0.0
GreatBrit.,GasCCGT,3,Generation,0.0
GreatBrit.,GasCCGT,4,Generation,0.0
GreatBrit.,GasCCGT,5,Generation,0.0
GreatBrit.,GasCCGT,6,Generation,0.0
GreatBrit.,GasCCGT,7,Generation,0.0
GreatBrit.,GasCCGT,8,Generation,0.0
GreatBrit.,GasCCS,1,Generation,0.0
GreatBrit.,GasCCS,2,Generation,0.0
GreatBrit.,GasCCS,3,Generation,0.0
GreatBrit.,GasCCS,4,Generation,0.0
GreatBrit.,GasCCS,5,Generation,0.0
