Node,Energy_Type,Period,Type,Value
Denmark,Bio10cofiring,1,Generation,0.0052036082432118085
Denmark,Bio10cofiring,2,Generation,0.0024864300481139733
Denmark,Bio10cofiring,3,Generation,0.001517487736981292
Denmark,Bio10cofiring,4,Generation,0.0017457235217684963
Denmark,Bio10cofiring,5,Generation,0.0008028396828098685
Denmark,Bio10cofiring,6,Generation,3.4656878819118037e-09
Denmark,Bio10cofiring,7,Generation,0.0009594915135449099
Denmark,Bio10cofiring,8,Generation,0.0021640111860459278
Denmark,Bio10cofiringCCS,1,Generation,0.0
Denmark,Bio10cofiringCCS,2,Generation,0.0
Denmark,Bio10cofiringCCS,3,Generation,0.0
Denmark,Bio10cofiringCCS,4,Generation,0.0
Denmark,Bio10cofiringCCS,5,Generation,0.0
Denmark,Bio10cofiringCCS,6,Generation,0.0
Denmark,Bio10cofiringCCS,7,Generation,0.0
Denmark,Bio10cofiringCCS,8,Generation,0.0
Denmark,Bioexisting,1,Generation,0.0
Denmark,Bioexisting,2,Generation,0.0
Denmark,Bioexisting,3,Generation,0.0
Denmark,Bioexisting,4,Generation,0.0
Denmark,Bioexisting,5,Generation,0.0
Denmark,Bioexisting,6,Generation,0.0
Denmark,Bioexisting,7,Generation,0.0
Denmark,Bioexisting,8,Generation,0.0
Denmark,Coal,1,Generation,0.0026215332343178096
Denmark,Coal,2,Generation,0.0022582077474830172
Denmark,Coal,3,Generation,0.0014977210907824439
Denmark,Coal,4,Generation,0.001732604014277644
Denmark,Coal,5,Generation,0.0007958414688949581
Denmark,Coal,6,Generation,4.13649655763333e-09
Denmark,Coal,7,Generation,0.000891679167544803
Denmark,Coal,8,Generation,0.0021438003947407075
Denmark,CoalCCSadv,1,Generation,0.0
Denmark,CoalCCSadv,2,Generation,0.0
Denmark,CoalCCSadv,3,Generation,0.0
Denmark,CoalCCSadv,4,Generation,0.0
Denmark,CoalCCSadv,5,Generation,0.0
Denmark,CoalCCSadv,6,Generation,0.0
Denmark,CoalCCSadv,7,Generation,0.0
Denmark,CoalCCSadv,8,Generation,0.0
Denmark,Coalexisting,1,Generation,0.0
Denmark,Coalexisting,2,Generation,0.0
Denmark,Coalexisting,3,Generation,0.0
Denmark,Coalexisting,4,Generation,0.0
Denmark,Coalexisting,5,Generation,0.0
Denmark,Coalexisting,6,Generation,0.0
Denmark,Coalexisting,7,Generation,0.0
Denmark,Coalexisting,8,Generation,0.0
Denmark,GasCCGT,1,Generation,149.0055442633341
Denmark,GasCCGT,2,Generation,2352.6371952007785
Denmark,GasCCGT,3,Generation,3362.685985131024
Denmark,GasCCGT,4,Generation,2740.726073240113
Denmark,GasCCGT,5,Generation,2.7940820084722546e-08
Denmark,GasCCGT,6,Generation,0.24542059778405895
Denmark,GasCCGT,7,Generation,89.44389570427006
Denmark,GasCCGT,8,Generation,232.98221859431806
Denmark,GasCCSadv,1,Generation,0.0
Denmark,GasCCSadv,2,Generation,0.0
Denmark,GasCCSadv,3,Generation,0.0
Denmark,GasCCSadv,4,Generation,0.0
Denmark,GasCCSadv,5,Generation,0.0
Denmark,GasCCSadv,6,Generation,0.0
Denmark,GasCCSadv,7,Generation,0.0
Denmark,GasCCSadv,8,Generation,0.0
Denmark,GasOCGT,1,Generation,0.006278090870032277
Denmark,GasOCGT,2,Generation,2.581284162446768
Denmark,GasOCGT,3,Generation,1094.9293873843144
Denmark,GasOCGT,4,Generation,1120.1314207190185
Denmark,GasOCGT,5,Generation,4.734496337304317
Denmark,GasOCGT,6,Generation,1.7044783132676695e-08
Denmark,GasOCGT,7,Generation,0.6678052341522074
Denmark,GasOCGT,8,Generation,32.700147433816696
Denmark,Gasexisting,1,Generation,0.0
Denmark,Gasexisting,2,Generation,0.0
Denmark,Gasexisting,3,Generation,0.0
Denmark,Gasexisting,4,Generation,0.0
Denmark,Gasexisting,5,Generation,0.0
Denmark,Gasexisting,6,Generation,0.0
Denmark,Gasexisting,7,Generation,0.0
Denmark,Gasexisting,8,Generation,0.0
Denmark,Hydrorun-of-the-river,1,Generation,0.7739882661121993
Denmark,Hydrorun-of-the-river,2,Generation,1.118480752000257
Denmark,Hydrorun-of-the-river,3,Generation,0.10753095564849866
Denmark,Hydrorun-of-the-river,4,Generation,8.3281847871983e-09
Denmark,Hydrorun-of-the-river,5,Generation,4.905110756980125e-09
Denmark,Hydrorun-of-the-river,6,Generation,2.112945826695205e-09
Denmark,Hydrorun-of-the-river,7,Generation,2.7408876588999047e-09
Denmark,Hydrorun-of-the-river,8,Generation,5.965383839725744e-09
Denmark,Oilexisting,1,Generation,0.0
Denmark,Oilexisting,2,Generation,0.0
Denmark,Oilexisting,3,Generation,0.0
Denmark,Oilexisting,4,Generation,0.0
Denmark,Oilexisting,5,Generation,0.0
