seed,num_samples,sampling(s),labeling(s)
1,1000,1233.7787,35072
2,1000,1172.3907,35552
3,1000,1212.7724,35952
4,1000,1291.1826,35006
5,1000,1269.5529,35789
6,1000,1217.5889,34767
7,1000,1245.5918,35252
8,1000,1176.0421,35671
9,1000,1233.0468,35419
10,1000,1187.1473,35650
1,5000,6214.4719,176863
2,5000,6537.4318,177521
3,5000,5973.8409,176483
4,5000,6310.1134,176807
5,5000,6125.5821,177984
6,5000,6489.2309,176414
7,5000,5998.4475,176997
8,5000,6255.9017,175314
9,5000,6078.1562,177122
10,5000,6241.9149,176695
