Node,Energy_Type,Period,Type,Value
Denmark,Bio10cofiring,1,Generation,9.369489500768951
Denmark,Bio10cofiring,2,Generation,0.6556815771708967
Denmark,Bio10cofiring,3,Generation,0.38806762930800776
Denmark,Bio10cofiring,4,Generation,0.4155713164273275
Denmark,Bio10cofiring,5,Generation,0.43970599499440766
Denmark,Bio10cofiring,6,Generation,0.18528915898173942
Denmark,Bio10cofiring,7,Generation,2.4012279417630635
Denmark,Bio10cofiring,8,Generation,2.3915884625115593
Denmark,Bio10cofiringCCS,1,Generation,0.0
Denmark,Bio10cofiringCCS,2,Generation,0.0
Denmark,Bio10cofiringCCS,3,Generation,0.0
Denmark,Bio10cofiringCCS,4,Generation,0.0
Denmark,Bio10cofiringCCS,5,Generation,0.0
Denmark,Bio10cofiringCCS,6,Generation,0.0
Denmark,Bio10cofiringCCS,7,Generation,0.0
Denmark,Bio10cofiringCCS,8,Generation,0.0
Denmark,Bioexisting,1,Generation,0.0
Denmark,Bioexisting,2,Generation,0.0
Denmark,Bioexisting,3,Generation,0.0
Denmark,Bioexisting,4,Generation,0.0
Denmark,Bioexisting,5,Generation,0.0
Denmark,Bioexisting,6,Generation,0.0
Denmark,Bioexisting,7,Generation,0.0
Denmark,Bioexisting,8,Generation,0.0
Denmark,Coal,1,Generation,8.195310973957863
Denmark,Coal,2,Generation,0.6781910703310918
Denmark,Coal,3,Generation,0.6624077371412876
Denmark,Coal,4,Generation,0.5164067496422691
Denmark,Coal,5,Generation,0.507267935232331
Denmark,Coal,6,Generation,0.29762089790324475
Denmark,Coal,7,Generation,2.9753245957642873
Denmark,Coal,8,Generation,2.687496946270986
Denmark,CoalCCSadv,1,Generation,0.0
Denmark,CoalCCSadv,2,Generation,0.0
Denmark,CoalCCSadv,3,Generation,0.0
Denmark,CoalCCSadv,4,Generation,0.0
Denmark,CoalCCSadv,5,Generation,0.0
Denmark,CoalCCSadv,6,Generation,0.0
Denmark,CoalCCSadv,7,Generation,0.0
Denmark,CoalCCSadv,8,Generation,0.0
Denmark,Coalexisting,1,Generation,0.0
Denmark,Coalexisting,2,Generation,0.0
Denmark,Coalexisting,3,Generation,0.0
Denmark,Coalexisting,4,Generation,0.0
Denmark,Coalexisting,5,Generation,0.0
Denmark,Coalexisting,6,Generation,0.0
Denmark,Coalexisting,7,Generation,0.0
Denmark,Coalexisting,8,Generation,0.0
Denmark,GasCCGT,1,Generation,13275.565913914314
Denmark,GasCCGT,2,Generation,7825.307928811651
Denmark,GasCCGT,3,Generation,9811.372264659203
Denmark,GasCCGT,4,Generation,10690.871829003892
Denmark,GasCCGT,5,Generation,7751.340482333801
Denmark,GasCCGT,6,Generation,5082.178943268891
Denmark,GasCCGT,7,Generation,13938.843153659158
Denmark,GasCCGT,8,Generation,6401.127425733872
Denmark,GasCCSadv,1,Generation,0.0
Denmark,GasCCSadv,2,Generation,0.0
Denmark,GasCCSadv,3,Generation,0.0
Denmark,GasCCSadv,4,Generation,0.0
Denmark,GasCCSadv,5,Generation,0.0
Denmark,GasCCSadv,6,Generation,0.0
Denmark,GasCCSadv,7,Generation,0.0
Denmark,GasCCSadv,8,Generation,0.0
Denmark,GasOCGT,1,Generation,8599.468918501112
Denmark,GasOCGT,2,Generation,2822.250741542561
