first stage decision,expected second stage value
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1043.0707634873245
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",164.54757227068308
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",34.994992465385835
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",795.2502924516701
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",42.27609961699887
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",77.27286552233883
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",951.728355375914
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",34.50032676386943
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",3170.9270241493737
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",61.95969199474305
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",12829.00197695358
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",5542.739653170635
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",4502.14873586233
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",34.56429973949612
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",51.324276197432354
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1828.7201975140968
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",9684.94562940214
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",46.11360808243733
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",60.42326558433642
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",3045.7358394605444
"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0]",47.47714874315353
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",40.22595047811901
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",33.74217871207782
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",35.43572204179749
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",49.273761246050974
"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",72.50607633909611
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",94.80529324022243
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",65.59904309158948
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",44.278878302481175
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",66.03872793494745
