first stage decision,expected second stage value,feasibility
"(1, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0.0,0
"(0, 0, 1, 0, 0, 0, 0, 1, 0, 0)",0.0,0
"(0, 0, 0, 0, 0, 1, 0, 0, 1, 0)",0.0,0
"(0, 0, 0, 0, 0, 0, 0, 1, 0, 1)",0.0,0
"(1, 0, 0, 0, 0, 0, 0, 0, 1, 0)",0.0,0
"(0, 0, 0, 0, 1, 0, 0, 1, 0, 0)",0.0,0
"(0, 0, 0, 0, 0, 0, 1, 1, 0, 0)",0.0,0
"(0, 0, 0, 1, 0, 0, 0, 1, 1, 0)",35.6824432921804,1
"(0, 0, 0, 0, 0, 0, 0, 1, 0, 0)",0.0,0
"(0, 0, 1, 0, 0, 1, 0, 1, 0, 0)",40.77539829413847,1
"(0, 1, 0, 0, 0, 0, 0, 1, 0, 0)",42.438816375604645,1
"(0, 1, 0, 0, 0, 0, 0, 0, 1, 0)",0.0,0
"(0, 0, 0, 0, 0, 1, 0, 1, 0, 0)",43.38252538728796,1
"(0, 0, 0, 0, 0, 0, 0, 1, 1, 0)",41.16968135111529,1
"(0, 0, 1, 0, 0, 0, 0, 1, 1, 0)",39.970338408499174,1
"(0, 0, 0, 1, 0, 0, 0, 1, 0, 0)",0.0,0
"(1, 0, 0, 0, 0, 1, 0, 0, 0, 0)",0.0,0
"(0, 1, 0, 1, 0, 0, 0, 1, 0, 0)",37.75485008358198,1
"(0, 0, 0, 1, 0, 1, 0, 1, 0, 0)",38.63478380088285,1
"(0, 1, 0, 0, 0, 0, 1, 1, 0, 0)",42.438816375604645,1
"(0, 0, 0, 0, 0, 0, 0, 1, 1, 1)",30.375553964258206,1
"(0, 0, 0, 0, 0, 0, 1, 1, 1, 0)",40.31312424076922,1
