first stage decision,expected second stage value
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",23103.878619211908
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",8165.753488228083
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1118.1498495958886
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",348.7666014308542
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",53.90502900065989
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",5573.823289549282
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",46.1568804339981
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",120.34385290543949
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",36.051665865118345
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",23103.878619211908
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",8165.753488228083
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",1118.1498495958886
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",348.7666014308542
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",53.90502900065989
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",5573.823289549282
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",46.1568804339981
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",120.34385290543949
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",36.051665865118345
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",62.712404395878046
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1518.1247489182279
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2749.919820585029
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1236.2898880658288
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",903.740433439338
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",64.59464323260133
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1]",838.4581835932946
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",14725.791218471453
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",53.718188970530335
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",680.5483207755658
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",38.96357555017171
"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]",516.990014241732
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",212.48066112678913
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",3207.864657576157
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",4792.808301673347
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",242.28761028548456
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2032.7642201638064
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",13253.433616738997
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",44.12887698896921
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",10144.29264248531
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",72.07624072610804
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",20216.323422897756
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",3695.151132319608
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",52.14216662940759
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",42.13377088072941
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",60.059276228966276
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",8283.288667017587
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",260.21138020474325
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1098.7722967856735
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",12291.819310099916
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",35.23421613061117
"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]",4019.2718687814054
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",16808.311245552773
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",475.53478740226507
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",54.39301379561889
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1207.2263892129863
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1738.547051967677
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",16940.361827047203
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",51.360282500978755
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",50.273303454676835
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",41.6792652002182
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1323.1144250892755
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",1096.854809825078
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",7420.239269280515
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",12764.901672489648
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",46.73142331282709
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",2488.8955669782868
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",7321.80306700314
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",2985.975290037246
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1806.0005590878084
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",67.73081824269187
"[0, 0, 0, 1, 0, 0, 0, 0, 1, 0]",633.9371449412405
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",7182.190237773868
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",927.6843895474318
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",11769.318395855586
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",42.704174499945395
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",1376.7529959402477
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",254.36443396468522
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",53.44598819875943
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",20412.756722118087
"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",62.80236843675187
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",6485.6974958215715
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",11579.115496868777
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",8326.137613806273
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",2273.3175400128653
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",80.49638612549745
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",13374.742085477403
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",2592.0472356638597
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",2959.8903661189747
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",957.5488312302815
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",62.19753513350115
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1071.195161235237
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",54.192092069800644
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",327.52100897047933
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",56.62962276359404
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",58.20992894078787
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",11385.69416331606
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1219.943553071075
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",4879.439450326755
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",191.3821042445287
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",49.479691060446264
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",21167.666729287175
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",5201.92215667185
"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",50.46331360557172
"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0]",4025.3985043261137
"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",59.766845198903546
"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",4537.368168608812
"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",2236.251712065614
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2935.639810950478
"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",59.304016277715284
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",5483.492529497966
